Period,Aset,Kas Dan Setara Kas,Deposito Berjangka,Deposito Pada Lembaga Kliring Dan Penjaminan,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Pihak Berelasi,Pihak Ketiga,Total Piutang Nasabah,Piutang Lain-Lain,Portofolio Efek,Pihak Berelasi,Pihak Ketiga,Total Portofolio Efek,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Pihak Berelasi,Pihak Ketiga,Total Utang Nasabah,Utang Pajak,Utang Lain-Lain,Beban Akrual,Utang Pihak Berelasi,Utang Pembiayaan Konsumen,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,53555458760.000000,,440313705.000000,8463226500.000000,,,6862887876.000000,6862887876.000000,633978067.000000,,40319864118.000000,125938240000.000000,166258104118.000000,809103512.000000,171008104.000000,31183006417.000000,,14726147984.000000,283103235043.000000,,,3976866000.000000,24204145500.000000,31751455823.000000,2691250.000000,31748764573.000000,31751455823.000000,590954804.000000,3103527252.000000,518134706.000000,97185000.000000,484477708.000000,781364519.000000,65508111312.000000,,100000000000.000000,,97730243140.000000,,,97730243140.000000,19864880591.000000,217595123731.000000,283103235043.000000,1000000000.000000
12M 2011,,11188483390.000000,,465992501.000000,9179405000.000000,,537089535.000000,6225413354.000000,6762502889.000000,651019254.000000,,41982567298.000000,140698982250.000000,182681549548.000000,187749212.000000,242559527.000000,36347837020.000000,,8665625362.000000,256372723703.000000,,,1325622000.000000,8320523500.000000,12195738449.000000,469257970.000000,11726480479.000000,12195738449.000000,466132045.000000,23397258.000000,531938634.000000,97185000.000000,184211875.000000,956212494.000000,24100961255.000000,,100000000000.000000,,110194082184.000000,,,110194082184.000000,22077680264.000000,232271762448.000000,256372723703.000000,1000000000.000000
12M 2012,,71617828431.000000,,913555890.000000,13091613000.000000,,12089099531.000000,49305960243.000000,61395059774.000000,119483965.000000,,42930327272.000000,145859967500.000000,188790294772.000000,49067212.000000,486819925.000000,29793269873.000000,8663696265.000000,38996599400.000000,413917288507.000000,,,,23367382500.000000,28629370291.000000,13528666023.000000,15100704268.000000,28629370291.000000,618597730.000000,118242292.000000,947447947.000000,555146000.000000,,1637052482.000000,55873239242.000000,,130016500000.000000,85612022373.000000,132528906654.000000,500000000.000000,132028906654.000000,132528906654.000000,9886620238.000000,358044049265.000000,413917288507.000000,1300165000.000000
12M 2013,,48326687635.000000,,,1150905124.000000,,,124277697864.000000,124277697864.000000,1350840246.000000,,47871467145.000000,188947958500.000000,236819425645.000000,,632985172.000000,28778653623.000000,,56646180480.000000,497983375789.000000,,,,39292410500.000000,6840713635.000000,2945736200.000000,3894977435.000000,6840713635.000000,3550794204.000000,4680431098.000000,1783316215.000000,,,2316084418.000000,58463750070.000000,,217447050000.000000,65448372373.000000,140003153413.000000,600000000.000000,139403153413.000000,140003153413.000000,16621049933.000000,439519625719.000000,497983375789.000000,2174470500.000000
12M 2014,,20177368493.000000,3000000000.000000,,4081273266.000000,,16656978804.000000,178666881682.000000,195323860486.000000,727502106.000000,,56633376214.000000,179018014750.000000,235651390964.000000,,877759738.000000,34550147773.000000,,56470013077.000000,550859315903.000000,,,,11426946900.000000,81217521838.000000,2928179664.000000,78289342174.000000,81217521838.000000,1397265662.000000,1934206850.000000,690596296.000000,,,3268461249.000000,99934998795.000000,,282681163100.000000,214259273.000000,142665935733.000000,700000000.000000,141965935733.000000,142665935733.000000,25362959002.000000,450924317108.000000,550859315903.000000,2826811631.000000
12M 2015,,19500356640.000000,3000000000.000000,,13228597714.000000,,45823919140.000000,97583846904.000000,143407766044.000000,1765212662.000000,,54503419074.000000,195907785500.000000,250411204574.000000,,1167149680.000000,32640162625.000000,43887252077.000000,8128808091.000000,517136510107.000000,,,,,60878508397.000000,55268739198.000000,5609769199.000000,60878508397.000000,619361779.000000,1466686404.000000,544957455.000000,,,4480456919.000000,67989970954.000000,,282681163100.000000,214259273.000000,143017114918.000000,800000000.000000,142217114918.000000,143017114918.000000,23234001862.000000,449146539153.000000,517136510107.000000,2826811631.000000
12M 2016,,29858972162.000000,3396288000.000000,,1460515573.000000,,12694474978.000000,91210371424.000000,103904846402.000000,972247431.000000,,60391246234.000000,187253453264.000000,247644699498.000000,,1369218507.000000,29641436973.000000,41446162281.000000,12194162312.000000,471888549139.000000,,,,8280678500.000000,9774480739.000000,2086786412.000000,7687694327.000000,9774480739.000000,1067210737.000000,1160019399.000000,561232957.000000,,,5468012960.000000,26311635292.000000,,282681163100.000000,245759273.000000,133491162452.000000,900000000.000000,132591162452.000000,133491162452.000000,29158829022.000000,445576913847.000000,471888549139.000000,11307246524.000000
12M 2017,,31223978665.000000,3601740164.000000,,3285281920.000000,,1545878134.000000,30733477830.000000,32279355964.000000,2667907025.000000,,89574752786.000000,240828642736.000000,330403395522.000000,,1666601266.000000,26763693468.000000,39005072485.000000,37016361191.000000,507913387670.000000,,,,907313700.000000,9195131800.000000,4005845176.000000,5189286624.000000,9195131800.000000,2408260717.000000,1961720946.000000,1544906017.000000,,,6741603187.000000,22758936367.000000,,282681163100.000000,245759273.000000,184236953610.000000,900000000.000000,183336953610.000000,184236953610.000000,17990575320.000000,485154451303.000000,507913387670.000000,11307246524.000000
12M 2018,,13789678117.000000,3781333780.000000,,7193233188.000000,,25007486.000000,12154104114.000000,12179111600.000000,2281592270.000000,,137577440350.000000,314821824092.000000,452399264442.000000,,8426384719.000000,25444633554.000000,5620837089.000000,12218794674.000000,543334863433.000000,,,,46181800.000000,8129663678.000000,11676600.000000,8117987078.000000,8129663678.000000,712673052.000000,485507172.000000,7979576751.000000,,,1918820572.000000,19272423025.000000,,282681163100.000000,245759273.000000,205652955148.000000,1000000000.000000,204652955148.000000,205652955148.000000,35482562887.000000,524062440408.000000,543334863433.000000,11307246524.000000
12M 2019,,11064399913.000000,3962340531.000000,,1648099099.000000,,6706700.000000,10186835883.000000,10193542583.000000,1279072820.000000,,123389424000.000000,204803802832.000000,328193226832.000000,,2263103524.000000,23168857619.000000,23333068893.000000,13288990895.000000,418394702709.000000,,,14625000000.000000,1074065100.000000,8462043394.000000,6839323032.000000,1622720362.000000,8462043394.000000,649526434.000000,415617738.000000,9177639382.000000,,,1306018945.000000,35709910993.000000,,282681163100.000000,245759273.000000,92513375407.000000,1100000000.000000,91413375407.000000,92513375407.000000,7244493936.000000,382684791716.000000,418394702709.000000,11307246524.000000
12M 2020,,5645060299.000000,,,10066241244.000000,,315047836.000000,10853868920.000000,11168916756.000000,943953898.000000,,109969099194.000000,143386538233.000000,253355637427.000000,,1610155707.000000,14227214764.000000,28780223005.000000,8811907513.000000,334609310613.000000,,,13887605042.000000,,17628722785.000000,1792618578.000000,15836104207.000000,17628722785.000000,238556527.000000,362305048.000000,198902039.000000,,,7469535838.000000,39785627279.000000,,282681163100.000000,245759273.000000,17947278405.000000,1100000000.000000,16847278405.000000,17947278405.000000,-6050517444.000000,294823683334.000000,334609310613.000000,11307246524.000000
12M 2021,,9312168150.000000,,,4796274213.000000,,13961026.000000,3811048583.000000,3825009609.000000,325168967.000000,,35312397684.000000,164301883990.000000,199614281674.000000,,1495263475.000000,12551470808.000000,27106683476.000000,7561534321.000000,266587854693.000000,,,12463235294.000000,,5435468571.000000,,5435468571.000000,5435468571.000000,218698230.000000,39569228.000000,254616511.000000,,,6210239929.000000,24621827763.000000,,282681163100.000000,245759273.000000,-38042967743.000000,1100000000.000000,-39142967743.000000,-38042967743.000000,-2917927700.000000,241966026930.000000,266587854693.000000,11307246524.000000
12M 2022,,4711288629.000000,,,5345111984.000000,,,3139894431.000000,3139894431.000000,359242349.000000,,29677459459.000000,128218242797.000000,157895702256.000000,,1350550583.000000,10917218290.000000,25433143947.000000,8150511757.000000,217302664226.000000,,,11038865546.000000,,7203086954.000000,96293565.000000,7106793389.000000,7203086954.000000,81484075.000000,305357077.000000,265751340.000000,,,5623579526.000000,24518124518.000000,,282681163100.000000,245759273.000000,-84055703826.000000,1100000000.000000,-85155703826.000000,-84055703826.000000,-6086678839.000000,192784539708.000000,217302664226.000000,11307246524.000000
12M 2023,,6415552692.000000,,,60801494881.000000,,,5133830812.000000,5133830812.000000,310648143.000000,,11650917796.000000,106195316690.000000,117846234486.000000,,1518053979.000000,9408577180.000000,23759604418.000000,13497355712.000000,238691352303.000000,,,9614495798.000000,,56179179555.000000,,56179179555.000000,56179179555.000000,37352904.000000,458049457.000000,372852295.000000,,,6245916884.000000,72907846893.000000,,282681163100.000000,245759273.000000,-108194070194.000000,1100000000.000000,-109294070194.000000,-108194070194.000000,-8949346769.000000,165783505410.000000,238691352303.000000,11307246524.000000
12M 2024,,13816192984.000000,,,26112607630.000000,,,4890473210.000000,4890473210.000000,426843286.000000,,14253793107.000000,70845477308.000000,85099270415.000000,,1727851160.000000,8336336709.000000,22086064889.000000,13472852076.000000,175968492359.000000,,,8190126050.000000,,852928222.000000,,852928222.000000,852928222.000000,2793157.000000,506608267.000000,816477329.000000,,,10293982873.000000,20662915898.000000,,282681163100.000000,245759273.000000,-121274874454.000000,1100000000.000000,-122374874454.000000,-121274874454.000000,-6346471458.000000,155305576461.000000,175968492359.000000,11307246524.000000
