Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Komisi Perantara Perdagangan Efek,Penjualan Portfolio Efek,Pembelian Portfolio Efek,Efek Beli Dengan Janji Jual Kembali (Reverse Repo),Penerimaan Atas Jasa Lain,Penerimaan Pendapatan Bunga,Piutang Perusahaan Efek,Penerimaan Penjamin Emisi Dan Penjualan Efek,Penerimaan Dari Transaksi Perdagangan Margin,Penerimaan (Pembayaran) Kepada Lembaga Kliring Dan Penjaminan - Bersih,Penerimaan (Pembayaran) Kepada Perusahaan Efek,Penerimaan (Pembayaran) Kepada Nasabah Pemilik Rekening Efek,Penerimaan Dividen,Penjualan Portofolio Efek,Pembelian Portofolio Efek,Penerimaan (Pembayaran) Lain-Lain Bersih,Pembayaran Bunga Pinjaman,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Portofolio Efek,Perolehan Properti Investasi,Penjualan Property Investasi,Hasil Penjualan Aset Tetap,Pembelian Portofolio Efek,Uang Muka Pembelian Bangunan,Peningkatan Investasi Reksadana,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Peningkatan Penyertaan,Penempatan Deposito Berjangka,Penempatan Deposito Berjangka Yang Dijaminkan,Pencairan Deposito Berjangka,Pendapatan Fixed Income,Peningkatan Deposito Pada Lembaga Kliring Dan Penjaminan,Perolehan Aset Lain-Lain,Pembayaran Uang Muka Renovasi,Pembayaran Investasi Dalam Saham,Hasil Penjualan Investasi Dalam Saham,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dari Pihak-Pihak Berelasi,Penerimaan Utang Subordinasi,Pembayaran Bunga,Penerimaan Utang Bank,Pembayaran Utang Bank,Peningkatan (Penurunan) Utang Bank,Pembayaran Utang Pembiayaan Konsumen,Hasil Penawaran Umum Perdana,Hasil Pelaksanaan Warran Seri I,Pembayaran Emisi Saham,Pembayaran Efek Beli Dengan Janji Jual Kembali,Penerimaan Efek Beli Dengan Janji Jual Kembali,Pembayaran Dividen Tunai,Peningkatan (Penurunan) Kepada Pihak-Pihak Berelasi,Penerimaan Dari Setoran Modal,Penerimaan Reverse Repo,Pembayaran Reverse Repo,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2010,61656699798.000000,8649178000.000000,,,,,2636282035.000000,,2467295471.000000,417801987.000000,30411486500.000000,26100000.000000,20670192434.000000,,,,-1873815539.000000,-848279960.000000,-899541130.000000,61656699798.000000,-66822400788.000000,424054831094.000000,,,502594166.000000,-475334593150.000000,,,,-10025034015.000000,,,,,,-23157229.000000,,-5947041654.000000,-50000000.000000,,,-66822400788.000000,43753453441.000000,-5123386022.000000,,,,-2651244000.000000,,-262176067.000000,,,,,,,1790259530.000000,50000000000.000000,,,43753453441.000000,38587752451.000000,14967706309.000000,53555458760.000000
12M 2011,-42077755704.000000,3948330727.000000,,,,,1196899111.000000,,110125479.000000,36130633.000000,-16599800500.000000,-26100000.000000,-19455332387.000000,106773736.000000,,,-10108249391.000000,-447791704.000000,-838741408.000000,-42077755704.000000,2040935867.000000,204788309500.000000,,,,-200652697000.000000,,,,-2268997837.000000,,,,,,-25678796.000000,,,,200000000.000000,,2040935867.000000,-2330155533.000000,,,,,-2651244000.000000,,-300265833.000000,,,,,,,621354300.000000,,,,-2330155533.000000,-42366975370.000000,53555458760.000000,11188483390.000000
12M 2012,-21856030405.000000,6213259141.000000,,,,,1237787874.000000,,6335517687.000000,48228527.000000,11134651000.000000,,-38198925043.000000,95145242.000000,,,-7865003336.000000,-38588919.000000,-818102578.000000,-21856030405.000000,-13534892161.000000,211882279550.000000,,,2200000.000000,-211123774450.000000,-8360000000.000000,,,-5427037917.000000,,,,,,-447563389.000000,-60995955.000000,,,,,-13534892161.000000,95820267607.000000,138682000.000000,,,,-1325622000.000000,,-184211875.000000,118500000000.000000,74250000.000000,-2052217233.000000,-100500000000.000000,80711425715.000000,,457961000.000000,,,,95820267607.000000,60429345041.000000,11188483390.000000,71617828431.000000
12M 2013,-37539278260.000000,22368993245.000000,,,,,4182446481.000000,,31053816.000000,1078110719.000000,28779291766.000000,,-81852743774.000000,11641068.000000,,,-11185035281.000000,,-953036300.000000,-37539278260.000000,-67237648536.000000,313042605000.000000,,,,-357756755000.000000,-21080517940.000000,,,-1442980596.000000,,,,,,,,,,,,-67237648536.000000,81485786000.000000,,,-9209833.000000,,,,-48154167.000000,,67266900000.000000,,-20960000000.000000,35236250000.000000,,,,,,81485786000.000000,-23291140796.000000,71617828431.000000,48326687635.000000
12M 2014,-21314446544.000000,13065923850.000000,,,,,5575679879.000000,,262674201.000000,5795154339.000000,-30795831742.000000,,7057033405.000000,160540435.000000,,,-19721072941.000000,,-2714547970.000000,-21314446544.000000,-16444580598.000000,377605994200.000000,,,2000000.000000,-374293785000.000000,-16245151440.000000,,,-513638358.000000,,-3000000000.000000,,,,,,,,,,-16444580598.000000,9609708000.000000,,,-38347070.000000,,,,-176944930.000000,,,,-2000000000.000000,11825000000.000000,,,,,,9609708000.000000,-28149319142.000000,48326687635.000000,20177368493.000000
12M 2015,18447601499.000000,8052846786.000000,,,,,5104730731.000000,,3939621047.000000,776209531.000000,-20574271348.000000,,31904201626.000000,343546942.000000,,,-10022935819.000000,,-1076347997.000000,18447601499.000000,-18721707220.000000,192049118900.000000,-1353762620.000000,,,-208035731200.000000,,,,-1381332300.000000,,,,,,,,,,,,-18721707220.000000,-402906132.000000,,,-35999410.000000,,,,-191776254.000000,,,,,2369000000.000000,-2544130468.000000,,,,,-402906132.000000,-677011853.000000,20177368493.000000,19500356640.000000
12M 2016,14028655158.000000,9067429441.000000,,,,,4690535480.000000,,752337462.000000,1711033938.000000,20048760641.000000,,-11131021366.000000,281454593.000000,,,-11289163825.000000,,-102711206.000000,14028655158.000000,-3449951300.000000,-141988543500.000000,,,462000000.000000,143726595200.000000,,,,-253715000.000000,-5000000000.000000,-396288000.000000,,,,,,,,,,-3449951300.000000,-220088336.000000,,,-31099904.000000,,,,-188988432.000000,,,,,,,,,,,-220088336.000000,10358615522.000000,19500356640.000000,29858972162.000000
12M 2017,68882776414.000000,14484039004.000000,,,,,4993503869.000000,,2966775.000000,,-9198131147.000000,,71425312958.000000,665453502.000000,,,-13490368547.000000,,,68882776414.000000,-65730667164.000000,144526985200.000000,,,240000000.000000,-185056267200.000000,,,,-235933000.000000,,-205452164.000000,-25000000000.000000,,,,,,,,,-65730667164.000000,-1787102747.000000,-1684775843.000000,,-18521783.000000,,,,-104846217.000000,,,,,,,,,12021041096.000000,-12000000000.000000,-1787102747.000000,1365006503.000000,29858972162.000000,31223978665.000000
12M 2018,-14578935386.000000,13039401233.000000,,,,,2483438413.000000,,504046718.000000,,-4769083168.000000,,20659211525.000000,1031038115.000000,,,-47526988222.000000,,,-14578935386.000000,-2855365162.000000,138650517398.000000,,72148649920.000000,140000000.000000,-236764103500.000000,,,,-1850835364.000000,,-179593616.000000,25000000000.000000,,,,,,,,,-2855365162.000000,,,,,,,,,,,,,,,,,,,,-17434300548.000000,31223978665.000000,13789678117.000000
12M 2019,7784193074.000000,10227473923.000000,,,,,1521108125.000000,,1001051070.000000,,6573017389.000000,105455000.000000,4219526205.000000,856076565.000000,,,-16719515203.000000,,,7784193074.000000,-10134471278.000000,183134384290.000000,-3450000000.000000,,,-189500071900.000000,,,,-137776917.000000,,-181006751.000000,,,,,,,,,,-10134471278.000000,-375000000.000000,,,,-375000000.000000,,,,,,,,,,,,,,-375000000.000000,-2725278204.000000,13789678117.000000,11064399913.000000
