Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Beban Operasional Lainnya - Bersih,Taksiran Tagihan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak Pertambahan Nilai (Ppn),Penerimaan Kembali (Restitusi) Pajak Penghasilan,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Perolehan Aset Tetap,Perolehan Jaminan,Pembayaran Jaminan,Pembayaran Uang Muka Proyek,Hasil Penjualan Aset Tetap,Pembayaran Atas Penambahan Aset Eksplorasi Dan Evaluasi,Penambahan Aset Dalam Penyelesaian,Pencairan Deposito Berjangka,Penambahan Investasi Pada Anak Perusahaan,Penerbitan Deposito Berjangka,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Penerimaan Atas Pelepasan Investasi,Penerimaan (Pembayaran) Pinjaman Dari Pihak Berelasi,Kas Entitas Anak Yang Didekonsolidasi,Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Dari Pinjaman Bank,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Total Penerimaan (Pembayaran) Dari Pinjaman Bank,Pembayaran Bunga Utang Bank,Liabilitas Keuangan Lainnya,Pembayaran Utang Pembiayaan,Penambahan Utang Pembiayaan,Pembayaran/Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Total Pembayaran/Penerimaan Utang Pihak Berelasi,Pembayaran Sewa Pembiayaan,Penerimaan Pinjaman Lainnya,Pembayaran Pinjaman Lainnya,Penerimaan Dari Pihak Ketiga,Penerimaan Utang Pembiayaan Konsumen,Perolehan Jaminan,Penerimaan Modal Saham Melalui Initial Public Offering,Penerimaan Piutang Setoran Modal Pada Entitas Anak,Pembayaran Utang Pihak Ketiga,Pembayaran Kepada Pihak Berelasi,Pembayaran Liabilitas Keuangan Lainnya,Perolehan Liabilitas Keuangan Lainnya,Penerbitan Saham Dari Penawaran Umum Terbatas,Dampak Atas Penerapan Psak No.70,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Pembayaran Untuk Aksi Korporasi,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Pengklasifikasian Kembali Saldo Aset Lain-Lain Setara Kas,Kas Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Akhir Periode
12M 2008,-3562032000.000000,281384646000.000000,-245520632000.000000,,,-245520632000.000000,-27103449000.000000,,-248533000.000000,,,-12074064000.000000,-3562032000.000000,-2502923000.000000,184728000.000000,-8099000.000000,,,-2679552000.000000,,,,,,,,,,,,-2502923000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6064955000.000000,6383809000.000000,,,,318854000.000000
12M 2009,7512024000.000000,325963018000.000000,-281874444000.000000,,,-281874444000.000000,-24349574000.000000,,-197338000.000000,,,-12029638000.000000,7512024000.000000,-9394082000.000000,208699000.000000,-40245000.000000,,,-9562536000.000000,,,,,,,,,,,,-9394082000.000000,6000000000.000000,,,6000000000.000000,,,6000000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000000.000000,4117942000.000000,318854000.000000,,,,4436796000.000000
12M 2010,12615974000.000000,566183665000.000000,-501229450000.000000,,,-501229450000.000000,-35549418000.000000,,-3850190000.000000,,,-12938633000.000000,12615974000.000000,-2851458000.000000,246260000.000000,-787710000.000000,,,-2310008000.000000,,,,,,,,,,,,-2851458000.000000,-5161767000.000000,,,,,,,,,,,-661767000.000000,,,-661767000.000000,,,,,,,,,,,,,,,,,-4500000000.000000,,-5161767000.000000,4602749000.000000,4436796000.000000,,,,9039545000.000000
12M 2011,-117937090000.000000,804707398000.000000,-811805098000.000000,,,-811805098000.000000,-65791176000.000000,,-25190330000.000000,,,-19857884000.000000,-117937090000.000000,-33010613000.000000,393368000.000000,-33753981000.000000,,,,350000000.000000,,,,,,,,,,,-33010613000.000000,171764096000.000000,,,178289605000.000000,,,178289605000.000000,,,,,-6525509000.000000,,,-6525509000.000000,,,,,,,,,,,,,,,,,,,171764096000.000000,20816393000.000000,9039545000.000000,,,,29855938000.000000
12M 2012,-88740319000.000000,1770981551000.000000,,-1723992176000.000000,-12211970000.000000,-1736204146000.000000,-48164903000.000000,,-22323592000.000000,,,-53029229000.000000,-88740319000.000000,-8515430000.000000,308166000.000000,-6473596000.000000,,,-2350000000.000000,,,,,,,,,,,,-8515430000.000000,94635856000.000000,862568228000.000000,226109945000.000000,,,,,,,,,300000000.000000,,,300000000.000000,,,,,,,,,,,,,1284000.000000,,,-21559709000.000000,-219719263000.000000,-753064629000.000000,94635856000.000000,-2619893000.000000,29855938000.000000,-7447000.000000,,,27228598000.000000
12M 2013,50442296000.000000,1279266857000.000000,,-794912117000.000000,-44642904000.000000,-839555021000.000000,-230627464000.000000,,-8279404000.000000,,,-150362672000.000000,50442296000.000000,-2131878775000.000000,58325759000.000000,-238789049000.000000,,,-100065387000.000000,,,,,-352728113000.000000,-150000000000.000000,,,,,-1348621985000.000000,-2131878775000.000000,2235001855000.000000,352452481000.000000,125916547000.000000,,,,,,,,,-4536766000.000000,,,-4536766000.000000,,,,,,,,,,,,,2354904033000.000000,,,-54904033000.000000,-109953978000.000000,-428876429000.000000,2235001855000.000000,153565376000.000000,27228598000.000000,,,,180793974000.000000
12M 2014,74738786000.000000,838759180000.000000,,-459855165000.000000,-57736658000.000000,-517591823000.000000,-221644489000.000000,,-19481605000.000000,,,-5302477000.000000,74738786000.000000,-175738532000.000000,7059560000.000000,-3623222000.000000,,,-1351238709000.000000,,,-37936161000.000000,,,150000000000.000000,,,,,1060000000000.000000,-175738532000.000000,110525163000.000000,230798500000.000000,23600000000.000000,,,,,-143268669000.000000,50000000000.000000,-840300000.000000,,14000000000.000000,,,14000000000.000000,,,,,,,,,,,,,,,,,-43263532000.000000,-20500836000.000000,110525163000.000000,9525417000.000000,10793974000.000000,,,,20319391000.000000
12M 2015,-115554541000.000000,914048161000.000000,,-851615925000.000000,-70492656000.000000,-922108581000.000000,-89143434000.000000,,-16924768000.000000,,,-1425919000.000000,-115554541000.000000,1364891000.000000,2692255000.000000,-1327364000.000000,,,,,,,,,,,,,,,1364891000.000000,177167305000.000000,,,,,,,-228027638000.000000,504396646000.000000,,,,,,,,,,342241822000.000000,,,,,,-50811564000.000000,-12953891000.000000,,,,,,-345649175000.000000,-32028895000.000000,177167305000.000000,62977655000.000000,20319391000.000000,,,,83297046000.000000
12M 2016,82782337000.000000,1984635609000.000000,,-1694434647000.000000,-44952588000.000000,-1739387235000.000000,-82058863000.000000,,-77857606000.000000,,,-2549568000.000000,82782337000.000000,92884707000.000000,2473949000.000000,-89242000.000000,,,,90500000000.000000,,,,,,,,,,,92884707000.000000,-205400769000.000000,,,,,,,-216819320000.000000,599500000000.000000,,,,,,,-490354000.000000,,,,,,,,-1755897000.000000,-800155000.000000,-377077417000.000000,,,,,,-97865063000.000000,-110092563000.000000,-205400769000.000000,-29733725000.000000,83797046000.000000,,,,54063321000.000000
12M 2017,-284439201000.000000,1883621268000.000000,,-969130883000.000000,-46100629000.000000,-1015231512000.000000,,,-975220576000.000000,,,-177608381000.000000,-284439201000.000000,902621000.000000,1082387000.000000,-179766000.000000,,,,,,,,,,,,,,,902621000.000000,354710582000.000000,,,,,,,,33950000000.000000,,,,,,,-26101000.000000,,,33235500000.000000,,,452073422000.000000,,,-45546114000.000000,-45401041000.000000,,,,,,,-73575084000.000000,354710582000.000000,71174002000.000000,54063321000.000000,,,,125237323000.000000
