Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Keuangan Lainnya,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Keuangan Lainnya,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Dari Pihak Berelasi,Utang Lain Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Others,Total Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,318854000.000000,,2227500000.000000,15792191000.000000,,15792191000.000000,15792191000.000000,26700000.000000,,,26700000.000000,155572017000.000000,1048085000.000000,174985347000.000000,,188047402000.000000,12772265000.000000,1576886000.000000,,396024532000.000000,598421085000.000000,773406432000.000000,,,39481783000.000000,,,29159000000.000000,,29159000000.000000,2298539000.000000,,,2298539000.000000,30233000.000000,365229000.000000,,,,,,4145000000.000000,,4145000000.000000,3483782000.000000,39481783000.000000,80828353000.000000,,79088503000.000000,,,,,,,,,79088503000.000000,,1739850000.000000,80828353000.000000,120310136000.000000,,643155057000.000000,643155057000.000000,643155057000.000000,4000000000.000000,5941239000.000000,,,5941239000.000000,,,653096296000.000000,773406432000.000000,4245000000.000000
12M 2009,,,4436796000.000000,,2227500000.000000,35644078000.000000,,35644078000.000000,35644078000.000000,8000000.000000,,,8000000.000000,205061190000.000000,1164376000.000000,248541940000.000000,,395352255000.000000,12772265000.000000,1655063000.000000,,220148214000.000000,629927797000.000000,878469737000.000000,,,121896146000.000000,,,103224917000.000000,,103224917000.000000,1154984000.000000,,,1154984000.000000,31999000.000000,390374000.000000,,,,,,14000000000.000000,,14000000000.000000,3093872000.000000,121896146000.000000,100725292000.000000,,71088503000.000000,,27539037000.000000,,,,,,,98627540000.000000,,2097752000.000000,100725292000.000000,222621438000.000000,,643155057000.000000,643155057000.000000,643155057000.000000,4000000000.000000,8693242000.000000,,,8693242000.000000,,,655848299000.000000,878469737000.000000,4245000000.000000
12M 2010,,,9039545000.000000,,2227500000.000000,229237528000.000000,,229237528000.000000,229237528000.000000,10000000.000000,,,10000000.000000,324842880000.000000,5429223000.000000,570786676000.000000,,402930466000.000000,12772265000.000000,3787645000.000000,,222461722000.000000,641952098000.000000,1212738774000.000000,,,390959856000.000000,,,348301955000.000000,,348301955000.000000,1235300000.000000,,,1235300000.000000,37672000.000000,22328057000.000000,,,,,,15000000000.000000,,15000000000.000000,4056872000.000000,390959856000.000000,95204623000.000000,,65588503000.000000,,26877270000.000000,,,,,,,92465773000.000000,,2738850000.000000,95204623000.000000,486164479000.000000,,643155057000.000000,643155057000.000000,643155057000.000000,4000000000.000000,79419238000.000000,,,79419238000.000000,,,726574295000.000000,1212738774000.000000,4245000000.000000
12M 2011,,,29855938000.000000,,,456400543000.000000,,456400543000.000000,456400543000.000000,12000000.000000,,,12000000.000000,509221994000.000000,40869400000.000000,1036359875000.000000,,453122152000.000000,12772265000.000000,5149167000.000000,,203285916000.000000,674329500000.000000,1710689375000.000000,,,782234245000.000000,,,545319537000.000000,39435437000.000000,584754974000.000000,976627000.000000,,,976627000.000000,137381000.000000,14899686000.000000,,,,,181135055000.000000,,,181135055000.000000,330522000.000000,782234245000.000000,91388309000.000000,,77743053000.000000,,10365036000.000000,,,,,,,88108089000.000000,,3280220000.000000,91388309000.000000,873622554000.000000,,643155057000.000000,643155057000.000000,643155057000.000000,4000000000.000000,189911764000.000000,,,189911764000.000000,,,837066821000.000000,1710689375000.000000,4245000000.000000
12M 2012,,,27228598000.000000,,,213071052000.000000,48784000.000000,213022268000.000000,213071052000.000000,,,,,550054673000.000000,15733221000.000000,806087544000.000000,,449317182000.000000,12772265000.000000,2774442000.000000,,232548642000.000000,697412531000.000000,1503500075000.000000,,,494480743000.000000,290638655000.000000,,95297530000.000000,57646086000.000000,152943616000.000000,18514344000.000000,,,18514344000.000000,822235000.000000,15228559000.000000,,,,,15699000000.000000,,,15699000000.000000,634334000.000000,494480743000.000000,90378068000.000000,,68434734000.000000,,11451854000.000000,,,,,,,79886588000.000000,,10491480000.000000,90378068000.000000,584858811000.000000,,643155314000.000000,643155314000.000000,643155314000.000000,4000000000.000000,271485950000.000000,,,271485950000.000000,,,918641264000.000000,1503500075000.000000,4246553140.000000
12M 2013,,,180793974000.000000,1348621985000.000000,,663225302000.000000,,663225302000.000000,663225302000.000000,106910531000.000000,,,106910531000.000000,831187596000.000000,922685294000.000000,4053424682000.000000,,1047551358000.000000,58907005000.000000,6472068000.000000,,349767223000.000000,1462697654000.000000,5516122336000.000000,,,1739220938000.000000,970275629000.000000,,,496542400000.000000,496542400000.000000,138037705000.000000,,,138037705000.000000,5535081000.000000,74379115000.000000,,,,,,4000601000.000000,734693000.000000,4735294000.000000,49715714000.000000,1739220938000.000000,520049775000.000000,,229155682000.000000,198713000.000000,142690541000.000000,116960469000.000000,,,116960469000.000000,,,489005405000.000000,2288139000.000000,28756231000.000000,520049775000.000000,2259270713000.000000,,1114136121000.000000,1114136121000.000000,1114136121000.000000,1258015379000.000000,353270113000.000000,142054887000.000000,211215226000.000000,353270113000.000000,531430010000.000000,,3256851623000.000000,5516122336000.000000,8956361206.000000
12M 2014,,,20319391000.000000,205000000000.000000,,870159144000.000000,,870159144000.000000,870159144000.000000,146769468000.000000,74673141000.000000,72096327000.000000,146769468000.000000,669751863000.000000,680159671000.000000,2592159537000.000000,,1032176305000.000000,96052901000.000000,74644089000.000000,,1717420105000.000000,2920293400000.000000,5512452937000.000000,,,2015479105000.000000,1155848061000.000000,,,351841226000.000000,351841226000.000000,126214669000.000000,,,126214669000.000000,32769402000.000000,57570316000.000000,50000000000.000000,,,50000000000.000000,,123957823000.000000,93106000.000000,124050929000.000000,117184502000.000000,2015479105000.000000,366469520000.000000,,110259560000.000000,,37305568000.000000,179456378000.000000,,,179456378000.000000,,,327021506000.000000,618127000.000000,38829887000.000000,366469520000.000000,2381948625000.000000,,1114136121000.000000,1114136121000.000000,1114136121000.000000,1640898807000.000000,239509730000.000000,,,239509730000.000000,135959654000.000000,,3130504312000.000000,5512452937000.000000,8956361206.000000
12M 2015,,,83297046000.000000,205000000000.000000,,938921951000.000000,,938921951000.000000,938921951000.000000,178975120000.000000,103286240000.000000,75688880000.000000,178975120000.000000,781038218000.000000,671440466000.000000,2858672801000.000000,,956981083000.000000,101370371000.000000,119197023000.000000,,1635781204000.000000,2813329681000.000000,5672002482000.000000,,,2470072241000.000000,808692913000.000000,,635989321000.000000,51832479000.000000,687821800000.000000,,26520196000.000000,127532018000.000000,154052214000.000000,34972416000.000000,72342054000.000000,541019406000.000000,,,541019406000.000000,,97663353000.000000,93106000.000000,97756459000.000000,73414979000.000000,2470072241000.000000,639995548000.000000,,84525136000.000000,423349000.000000,,446200822000.000000,,,446200822000.000000,61864141000.000000,,593013448000.000000,3281169000.000000,43700931000.000000,639995548000.000000,3110067789000.000000,,1114136121000.000000,1114136121000.000000,1114136121000.000000,1640898807000.000000,-295904063000.000000,,,-295904063000.000000,102875067000.000000,-71239000.000000,2561934693000.000000,5672002482000.000000,8956361206.000000
12M 2016,,,54063321000.000000,205000000000.000000,,1090142624000.000000,,,1090142624000.000000,185053096000.000000,113833359000.000000,71219737000.000000,185053096000.000000,611323734000.000000,571293573000.000000,2716876348000.000000,,563321074000.000000,89763235000.000000,98960860000.000000,,1709517705000.000000,2461562874000.000000,5178439222000.000000,,,2644867172000.000000,710827850000.000000,,817086245000.000000,46024051000.000000,863110296000.000000,,26520196000.000000,144911411000.000000,171431607000.000000,37674268000.000000,2993108000.000000,782335251000.000000,,,782335251000.000000,,11460786000.000000,,11460786000.000000,65034006000.000000,2644867172000.000000,620885450000.000000,,60635140000.000000,26101000.000000,,444444924000.000000,,,444444924000.000000,64923966000.000000,,570030131000.000000,2947648000.000000,47907671000.000000,620885450000.000000,3265752622000.000000,,1114136121000.000000,1114136121000.000000,1114136121000.000000,1646510007000.000000,-901770098000.000000,,,-901770098000.000000,53461259000.000000,349311000.000000,1912686600000.000000,5178439222000.000000,8956361206.000000
12M 2017,,,125237323000.000000,205000000000.000000,,762079957000.000000,,,762079957000.000000,230808021000.000000,156691854000.000000,74116167000.000000,230808021000.000000,54686366000.000000,545877673000.000000,1923689340000.000000,,501898057000.000000,,44336445000.000000,,1235167636000.000000,1781402138000.000000,3705091478000.000000,,,2404999645000.000000,263811568000.000000,,821917606000.000000,,821917606000.000000,,35819523000.000000,292681582000.000000,328501105000.000000,71083722000.000000,7862781000.000000,,50000000000.000000,720884209000.000000,770884209000.000000,,5834273000.000000,,5834273000.000000,135104381000.000000,2404999645000.000000,880230706000.000000,,439702853000.000000,,,,11255188000.000000,378121660000.000000,389376848000.000000,,,829079701000.000000,,51151005000.000000,880230706000.000000,3285230351000.000000,,1114136121000.000000,1114136121000.000000,1114136121000.000000,1646510007000.000000,-2485384757000.000000,125740050000.000000,-2611124807000.000000,-2485384757000.000000,144599756000.000000,,419861127000.000000,3705091478000.000000,8956361206.000000
