Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,281637745000.000000,-250884654000.000000,30753091000.000000,-16357765000.000000,-9003480000.000000,-7354285000.000000,-16357765000.000000,14395326000.000000,-11976994000.000000,-12074064000.000000,,234792000.000000,-137722000.000000,-11976994000.000000,2418332000.000000,-772243000.000000,-1026054000.000000,253811000.000000,,,-772243000.000000,1646089000.000000,,,1646089000.000000,1646089000.000000,,1646089000.000000,,,,
12M 2009,351513164000.000000,-320375006000.000000,31138158000.000000,-20584163000.000000,-8985712000.000000,-11598451000.000000,-20584163000.000000,10553995000.000000,-6638803000.000000,-12128815000.000000,,-321716000.000000,5811728000.000000,-6638803000.000000,3915192000.000000,-1163189000.000000,-1241366000.000000,78177000.000000,,,-1163189000.000000,2752003000.000000,,,2752003000.000000,2752003000.000000,,2752003000.000000,,,,
12M 2010,762186617000.000000,-623918938000.000000,138267679000.000000,-31186003000.000000,-14481449000.000000,-16704554000.000000,-31186003000.000000,107081676000.000000,-12703500000.000000,,,,,-12703500000.000000,94378176000.000000,-23652180000.000000,-25784763000.000000,2132583000.000000,,,-23652180000.000000,70725996000.000000,,,70725996000.000000,70725996000.000000,,70725996000.000000,,,,
12M 2011,1036506393000.000000,-860152654000.000000,176353739000.000000,-40178776000.000000,,,-40178776000.000000,136174963000.000000,-24273644000.000000,,,,,-24273644000.000000,111901319000.000000,-20435211000.000000,-22223250000.000000,1788039000.000000,,,-20435211000.000000,91466108000.000000,,91466108000.000000,91466108000.000000,91466108000.000000,,91466108000.000000,91466108000.000000,91466108000.000000,,91466108000.000000
12M 2012,1515417909000.000000,-1300229936000.000000,215187973000.000000,-63134531000.000000,,,-63134531000.000000,152053442000.000000,-46449083000.000000,,,,,-46449083000.000000,105604359000.000000,-24030173000.000000,-21655448000.000000,-2374725000.000000,,,-24030173000.000000,81574186000.000000,,81574186000.000000,81574186000.000000,81574186000.000000,,81574186000.000000,81574186000.000000,81574186000.000000,,81574186000.000000
12M 2013,1643633905000.000000,-1300269693000.000000,343364212000.000000,-158586487000.000000,,,-158586487000.000000,184777725000.000000,-58764837000.000000,,,,,-58764837000.000000,126012888000.000000,-22438678000.000000,-24626543000.000000,2187865000.000000,,,-22438678000.000000,103574210000.000000,,103574210000.000000,103574210000.000000,85315459000.000000,18258751000.000000,103574210000.000000,103574210000.000000,85315459000.000000,18258751000.000000,103574210000.000000
12M 2014,993413183000.000000,-856084588000.000000,137328595000.000000,-166157141000.000000,,,-166157141000.000000,-28828546000.000000,-151045961000.000000,,,,,-151045961000.000000,-179874507000.000000,69842033000.000000,,69842033000.000000,,,69842033000.000000,-110032474000.000000,,-110032474000.000000,-110032474000.000000,-97445546000.000000,-12586928000.000000,-110032474000.000000,-110032474000.000000,-97445546000.000000,-12586928000.000000,-110032474000.000000
12M 2015,1112555923000.000000,-1154552600000.000000,-41996677000.000000,-246862345000.000000,-23862634000.000000,-222999711000.000000,-246862345000.000000,-288859022000.000000,-321427838000.000000,-235661660000.000000,,3574000.000000,-85769752000.000000,-321427838000.000000,-610286860000.000000,70465823000.000000,,70465823000.000000,,,70465823000.000000,-539821037000.000000,2203995000.000000,-537617042000.000000,-539821037000.000000,-505961947000.000000,-33859090000.000000,-539821037000.000000,-537617042000.000000,-503712520000.000000,-33904522000.000000,-537617042000.000000
12M 2016,2221075505000.000000,-2152502053000.000000,68573452000.000000,-347068255000.000000,-25113604000.000000,-321954651000.000000,-347068255000.000000,-278494803000.000000,-404084340000.000000,-234886271000.000000,,-27175310000.000000,-142022759000.000000,-404084340000.000000,-682579143000.000000,53344037000.000000,,53344037000.000000,,,53344037000.000000,-629235106000.000000,428389000.000000,-628806717000.000000,-629235106000.000000,-597101438000.000000,-32133668000.000000,-629235106000.000000,-628806717000.000000,-596680888000.000000,-32125829000.000000,-628806717000.000000
12M 2017,1538822975000.000000,-1486541053000.000000,52281922000.000000,-374586383000.000000,-36934649000.000000,-337651734000.000000,-374586383000.000000,-322304461000.000000,-1568700316000.000000,-217143936000.000000,,,-1351556380000.000000,-1568700316000.000000,-1891004777000.000000,-88371458000.000000,,-88371458000.000000,,,-88371458000.000000,-1979376235000.000000,-1462480000.000000,-1980838715000.000000,-1979376235000.000000,-1576154079000.000000,-403222156000.000000,-1979376235000.000000,-1980838715000.000000,-1577247776000.000000,-403590939000.000000,-1980838715000.000000
12M 2018,2555488486000.000000,-2365140362000.000000,190348124000.000000,-630100441000.000000,-43195781000.000000,-586904660000.000000,-630100441000.000000,-439752317000.000000,-767578732000.000000,-258138754000.000000,,,-509439978000.000000,-767578732000.000000,-1207331049000.000000,-32590081000.000000,-6691743000.000000,-25725552000.000000,-172786000.000000,,-32590081000.000000,-1239921130000.000000,1748378000.000000,-1238172752000.000000,-1239921130000.000000,-840971912000.000000,-398949218000.000000,-1239921130000.000000,-1238172752000.000000,-839709682000.000000,-398463070000.000000,-1238172752000.000000
12M 2019,1220774774000.000000,-1125752036000.000000,95022738000.000000,-76440102000.000000,-7743573000.000000,-68696529000.000000,-76440102000.000000,18582636000.000000,97905323000.000000,-161281780000.000000,,,259187103000.000000,97905323000.000000,116487959000.000000,,,,,,,116487959000.000000,3290395000.000000,119778354000.000000,116487959000.000000,120697327000.000000,-4209368000.000000,116487959000.000000,119778354000.000000,123983510000.000000,-4205156000.000000,119778354000.000000
12M 2020,884575360000.000000,-774205581000.000000,110369779000.000000,-53348471000.000000,,-53348471000.000000,-53348471000.000000,57021308000.000000,-324012614000.000000,-159551343000.000000,,,-164461271000.000000,-324012614000.000000,-266991306000.000000,,,,,,,-266991306000.000000,1481909000.000000,-265509397000.000000,-266991306000.000000,-263559604000.000000,-3431702000.000000,-266991306000.000000,-265509397000.000000,-262078688000.000000,-3430709000.000000,-265509397000.000000
12M 2021,980326231000.000000,-846589942000.000000,133736289000.000000,-43747295000.000000,,-43747295000.000000,-43747295000.000000,89988994000.000000,-163141101000.000000,-156224759000.000000,,,-6916342000.000000,-163141101000.000000,-73152107000.000000,-2100828000.000000,,-2100828000.000000,,,-2100828000.000000,-75252935000.000000,399821000.000000,-74853114000.000000,-75252935000.000000,-73306987000.000000,-1945948000.000000,-75252935000.000000,-74853114000.000000,-72909400000.000000,-1943714000.000000,-74853114000.000000
12M 2022,1375279833000.000000,-1269444560000.000000,105835273000.000000,-54036835000.000000,,-54036835000.000000,-54036835000.000000,51798438000.000000,-93857079000.000000,-115356517000.000000,,,21499438000.000000,-93857079000.000000,-42058641000.000000,-17393817000.000000,-18058618000.000000,664801000.000000,,,-17393817000.000000,-59452458000.000000,-699718000.000000,-60152176000.000000,-59452458000.000000,-53529998000.000000,-5922460000.000000,-59452458000.000000,-60152176000.000000,-54229937000.000000,-5922239000.000000,-60152176000.000000
12M 2023,1741978238000.000000,-1543451650000.000000,198526588000.000000,-57450522000.000000,,-57450522000.000000,-57450522000.000000,141076066000.000000,-175122812000.000000,-71386303000.000000,,,-103736509000.000000,-175122812000.000000,-34046746000.000000,-7735470000.000000,-26488972000.000000,22531864000.000000,,-3778362000.000000,-7735470000.000000,-41782216000.000000,-216016000.000000,-41998232000.000000,-41782216000.000000,-41150920000.000000,-631296000.000000,-41782216000.000000,-41998232000.000000,-41365647000.000000,-632585000.000000,-41998232000.000000
12M 2024,1731480206000.000000,-1486601605000.000000,244878601000.000000,-64450018000.000000,,-64450018000.000000,-64450018000.000000,180428583000.000000,-83686107000.000000,-65826680000.000000,,,-17859427000.000000,-83686107000.000000,96742476000.000000,-25476234000.000000,-38262304000.000000,12786070000.000000,,,-25476234000.000000,71266242000.000000,-1937950000.000000,69328292000.000000,71266242000.000000,73032485000.000000,-1766243000.000000,71266242000.000000,69328292000.000000,71094445000.000000,-1766153000.000000,69328292000.000000
