Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kepada Pihak Ketiga Lainnya,Penerimaan Dari Penghasilan Keuangan,Pembayaran Biaya Keuangan,Pembayaran Pajak Penghasilan,Pembayaran Biaya Operasional Dan Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Piutang Lain-Lain - Pihak Berelasi,Pembayaran Piutang Lain-Lain - Pihak Berelasi,Pinjaman Kepada Pihak Ketiga,Penerimaan Hasil Penjualan Investasi Pada Entitas Asosiasi,Akuisi Pada Entitas Anak,Peningkatan Investasi Pada Entitas Asosiasi,Perolehan Investasi Lain-Lain,Penerimaan Hasil Penjualan Investasi Lain-Lain,Dividen Dari Investasi Pada Entitas Asosiasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Setoran Modal,Tambahan Modal Disetor,Pelaksanaan Waran,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2020,-4416994920.000000,5882241293.000000,-6426866592.000000,-1575823557.000000,-2871813366.000000,594999837.000000,-19733165.000000,,,630.000000,-4416994920.000000,-31311102658.000000,,-16025530712.000000,,,-1749999971.000000,-1350000000.000000,-13646941814.000000,1438467441.000000,120000000.000000,,-13077602.000000,-84020000.000000,-31311102658.000000,39028662051.000000,35130000000.000000,,,3898662051.000000,,,39028662051.000000,3300564473.000000,5230326084.000000,8530890557.000000
12M 2021,4840351316.000000,23252869533.000000,-12291116301.000000,-5213187470.000000,-1150217270.000000,295134350.000000,-23109526.000000,-30022000.000000,,,4840351316.000000,-19315831066.000000,792000000.000000,-3758300000.000000,,,-3249999885.000000,-12750000.000000,-29448951976.000000,16765013145.000000,,,-350342350.000000,-52500000.000000,-19315831066.000000,8905973597.000000,,,,12860050568.000000,-3629076971.000000,-325000000.000000,8905973597.000000,-5569506153.000000,8530890557.000000,2961384404.000000
12M 2022,1071126810.000000,36689982967.000000,-20826101968.000000,-9863915247.000000,-5014491830.000000,294466682.000000,-96128059.000000,-112685735.000000,,,1071126810.000000,3922508293.000000,16140391412.000000,-149750000.000000,,1500000000.000000,-5033734262.000000,-150000000.000000,-19687747235.000000,12966716863.000000,,,-1646524735.000000,-16843750.000000,3922508293.000000,2210711225.000000,15890662800.000000,,,166100884.000000,-13311236209.000000,-534816250.000000,2210711225.000000,7204346328.000000,2961384404.000000,10165730732.000000
12M 2023,-36920278298.000000,26065284737.000000,-30274860395.000000,-12434459990.000000,-20676622172.000000,758774293.000000,-176015608.000000,-182379163.000000,,,-36920278298.000000,-24745216921.000000,1243412373.000000,,2000000000.000000,,,,-19225000032.000000,8961809169.000000,45000000.000000,30000000.000000,-14117288888.000000,-3683149543.000000,-24745216921.000000,56432070070.000000,11400003200.000000,45600000000.000000,,143301870.000000,,-711235000.000000,56432070070.000000,-5233425149.000000,10165730732.000000,4932305583.000000
12M 2024,-5266695014.000000,20073162457.000000,-5395860536.000000,-11281962421.000000,-8805306210.000000,577333641.000000,-434061945.000000,,,,-5266695014.000000,2549709172.000000,2742087613.000000,,-939220000.000000,,,,,,966422310.000000,40012135.000000,-259592886.000000,,2549709172.000000,-149650497.000000,163280.000000,,1469520.000000,226911647.000000,,-378194944.000000,-149650497.000000,-2866636339.000000,4932305583.000000,2065669244.000000
