Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2019,,,,,,,,,,,,,,,0.0
12M 2020,17.25,103.26,12.54,107.97,21.16,,3.53,,28.9,,0.22,,0.29,,6.01
12M 2021,14.17,101.52,24.27,91.42,25.76,,3.6,,30.39,,0.37,,1.96,,1.8
12M 2022,27.47,124.15,23.21,128.41,13.29,,2.94,,18.08,,0.54,,1.11,,15.62
12M 2023,60.97,284.83,22.69,323.11,5.99,7.98,1.28,0.77,2.52,1.5,0.25,0.2,0.72,0.72,4.81
12M 2024,54.57,524.63,58.55,520.65,6.69,6.75,0.7,0.72,1.28,1.36,0.18,0.19,1.55,1.55,2.31
