Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Goodwill,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pihak Berelasi,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2020,,,8530890557.000000,610407036.000000,7492408041.000000,190000000.000000,7302408041.000000,7492408041.000000,1331738945.000000,8558419040.000000,26523863619.000000,,,447002555.000000,128393333.000000,17705454412.000000,,17705454412.000000,17705454412.000000,2361935483.000000,9562219214.000000,1554642955.000000,-190000000.000000,20000000.000000,31589647952.000000,58113511571.000000,,,4413665660.000000,161713184.000000,69449600.000000,4093450112.000000,75369126.000000,1194260.000000,,,,12489378.000000,,4413665660.000000,73653713.000000,,,,73653713.000000,73653713.000000,4487319373.000000,,51672000000.000000,-990000000.000000,906356207.000000,,,906356207.000000,2037835991.000000,,53626192198.000000,58113511571.000000,687.000000
12M 2021,,,2961384404.000000,1237136061.000000,10526570811.000000,431800000.000000,10094770811.000000,10526570811.000000,4954085234.000000,7632382887.000000,27311559397.000000,,5212498.000000,1119246492.000000,144992500.000000,20239954412.000000,,20239954412.000000,20239954412.000000,2211133621.000000,18036022302.000000,2763491240.000000,,73728800.000000,44593781865.000000,71905341262.000000,,,15174600085.000000,1341212274.000000,82749449.000000,13324423709.000000,97852267.000000,80125000.000000,,96961734.000000,96961734.000000,151275652.000000,,15174600085.000000,209899413.000000,,,,209899413.000000,209899413.000000,15384499498.000000,,51672000000.000000,-990000000.000000,912886596.000000,,,912886596.000000,4904431123.000000,21524045.000000,56520841764.000000,71905341262.000000,687.000000
12M 2022,,,10165730732.000000,4819141088.000000,3980899423.000000,682500000.000000,3298399423.000000,3980899423.000000,6144383286.000000,13466694232.000000,38576848761.000000,,94806543.000000,3332813943.000000,106550000.000000,4501113000.000000,,4501113000.000000,4501113000.000000,997422958.000000,25662737135.000000,2763491240.000000,,21700000.000000,37480634819.000000,76057483580.000000,,,2469030165.000000,733199578.000000,144777837.000000,181788384.000000,293848269.000000,588610642.000000,,292962146.000000,292962146.000000,,233843309.000000,2469030165.000000,980873192.000000,,741975192.000000,741975192.000000,238898000.000000,980873192.000000,3449903357.000000,,67562662800.000000,-990000000.000000,5969545132.000000,,5969545132.000000,5969545132.000000,2142906486.000000,-2077534195.000000,72607580223.000000,76057483580.000000,9515868.000000
12M 2023,,,4932305583.000000,3469258168.000000,5432539045.000000,3940200627.000000,1492338418.000000,5432539045.000000,21561853735.000000,7920886219.000000,43316842750.000000,,137807929.000000,16335260903.000000,3337142011.000000,,,,,1098351727.000000,46821810797.000000,2763491240.000000,,6693372638.000000,77187237245.000000,120504079995.000000,,,9009989985.000000,1473791587.000000,5544798765.000000,325090254.000000,572721897.000000,370753782.000000,,505365122.000000,505365122.000000,,217468578.000000,9009989985.000000,980153923.000000,,597377923.000000,597377923.000000,382776000.000000,980153923.000000,9990143908.000000,,78962666000.000000,39861575000.000000,-4675138669.000000,1045961985.000000,-5721100654.000000,-4675138669.000000,-1560481604.000000,-2074684640.000000,110513936087.000000,120504079995.000000,3948133300.000000
12M 2024,,,2065669244.000000,2317739927.000000,2460708542.000000,1195975602.000000,1264732940.000000,2460708542.000000,9781361115.000000,5402755315.000000,22028234143.000000,,2156965277.000000,13850082016.000000,2230312018.000000,1109220000.000000,1109220000.000000,,1109220000.000000,993499919.000000,48068477447.000000,2763491240.000000,,1803807244.000000,72975855161.000000,95004089304.000000,,,9555998843.000000,2024253216.000000,5364006304.000000,552001901.000000,1010945454.000000,238800371.000000,,338528114.000000,338528114.000000,,27463483.000000,9555998843.000000,592376988.000000,,88524988.000000,88524988.000000,503852000.000000,592376988.000000,10148375831.000000,,78962829280.000000,39863044520.000000,-21336335720.000000,1045961985.000000,-22382297705.000000,-21336335720.000000,-10573045007.000000,-2060779600.000000,84855713473.000000,95004089304.000000,3948133300.000000
