Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Direksi Dan Karyawan,Beban Operasional Lainnya,Total Pembayaran Kas Kepada :,Beban Usaha,Beban Lain-Lain - Bersih,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Administrasi Dan Provisi Bank,Pembayaran Pajak Penghasilan Badan,Penerimaan Hasil Restitusi,Penerimaan Pajak Pertambahan Nilai,Penerimaan Klaim Pajak Penghasilan,Pembayaran Jaminan,Pembayaran Piutang Lain-Lain,Utang Lain-Lain,Pembayaran Pajak Final,Denda Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Properti Investasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Tak Berwujud,Penghapusan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penurunan Deposito Berjangka,Penerimaan Piutang Non Usaha Pihak Berelasi,Pembayaran Piutang Non Usaha Pihak Berelasi,Penurunan Dana Yang Dibatasi Penggunaannya,Penurunan (Peningkatan) Beban Tangguhan,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Pelunasan Utang Afiliasi Dari Akuisisi Entitas Anak,Pembelian Saham Dari Non-Pengendali,Penerimaan Atas Penambahan Modal,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Total Penerimaan Utang Bank,Pembayaran Utang Bank,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Total Pembayaran Utang Bank,Pembayaran Piutang Non Usaha Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Penerimaan Utang Non-Usaha Pihak Berelasi,Pembayaran Utang Non-Usaha Pihak Berelasi,(Pembayaran) Penerimaan Utang Non-Usaha - Pihak Berelas,Pembayaran (Penerimaan) Piutang Pihak Berelasi,Penerimaan Dari Kepentingan Non Pengendali Pada Entitas Anak,Pembayaran Dari Kepentingan Non Pengendali Pada Entitas Anak,Penerimaan Piutang Afiliasi,Pembayaran Piutang Afiliasi,Pembayaran Utang Lain-Lain - Pembelian Aset Tetap,Pembayaran Utang Sewa Pembiayaan,Penerimaan Utang Sewa Pembiayaan,Pembayaran Utang Pembiayaan Konsumen,Utang Jangka Panjang Lainnya,Pembelian Saham Dari Non Pengendali,Kontribusi Modal Dari Kepentingan Non-Pengendali,Penerimaan Utang Dividen,Pelunasan Utang Afiliasi Dari Akuisisi Entitas Anak,Akuisisi Entitas Anak,Pembayaran Dividen Tunai,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,39119555852.000000,457128769142.000000,,-337032515775.000000,-37000153595.000000,,-374032669370.000000,-24420029033.000000,-2595233118.000000,,-14932293640.000000,-2678105071.000000,-9021102593.000000,1358674380.000000,12780104153.000000,,-582131155.000000,40681403.000000,-3927109246.000000,,,39119555852.000000,1001519951.000000,-1589211804.000000,,82000000.000000,,,,,,2508731755.000000,,,,,,,,,1001519951.000000,-37342076515.000000,,,,,-35694914326.000000,,,-35694914326.000000,,-1514503968.000000,,,,,120145494.000000,,,,,-60559161.000000,-167408032.000000,,-24836522.000000,,,,,,,,,-37342076515.000000,2778999288.000000,4523442617.000000,66241516.000000,7368683421.000000
12M 2009,-12104146492.000000,398306921959.000000,,-315120169138.000000,-33060860084.000000,,-348181029222.000000,-22395006117.000000,-2645979520.000000,,-14786678960.000000,-1713530895.000000,-9054043788.000000,,-10085116937.000000,,-2291568911.000000,-285728683.000000,1027614582.000000,,,-12104146492.000000,-252342405.000000,-1251868712.000000,,266050952.000000,,,,,,733475355.000000,,,,,,,,,-252342405.000000,13440379117.000000,,,,,-10033616373.000000,,,-10033616373.000000,,,23677950644.000000,,,,116100398.000000,,,,,-184305800.000000,-135749752.000000,,,,,,,,,,,13440379117.000000,1083890220.000000,7368683421.000000,163825087.000000,8616398728.000000
12M 2010,36163906092.000000,458358015909.000000,,-328951017472.000000,-48085450261.000000,,-377036467733.000000,-22393343652.000000,2232672013.000000,,-11248300196.000000,-1486996618.000000,-10974231641.000000,3445693975.000000,-7072060614.000000,,2094398822.000000,657984372.000000,-413458545.000000,,,36163906092.000000,-3763560838.000000,-3797230838.000000,,33670000.000000,,,,,,,,,,,,,,,-3763560838.000000,-28392388950.000000,,,,,-30218001902.000000,,,-30218001902.000000,,,1910181848.000000,,,,96253019.000000,,,,,-62077494.000000,-118744421.000000,,,,,,,,,,,-28392388950.000000,4007956304.000000,8616398728.000000,3299209.000000,12627654241.000000
12M 2011,24507027484.000000,546597665790.000000,,-419204455680.000000,-59301559339.000000,,-478506015019.000000,-31735300117.000000,966386289.000000,,-8879812728.000000,-2168254490.000000,-11898926088.000000,741837724.000000,2933038095.000000,,-312901315.000000,-1076670820.000000,7845980163.000000,,,24507027484.000000,-6070269222.000000,-7281215854.000000,,2840464607.000000,,,,,-1629517975.000000,,,,,,,,,,-6070269222.000000,-19027348803.000000,,,,,-3542480242.000000,,,-3542480242.000000,,-13768561972.000000,,,,,-273920555.000000,,,,,-325699996.000000,-62533352.000000,,-94152686.000000,,,,,,,-960000000.000000,,-19027348803.000000,-590590541.000000,12627654241.000000,-64449025.000000,11972614675.000000
12M 2012,15820299859.000000,580491321219.000000,,-427891513319.000000,-74312547614.000000,,-502204060933.000000,-35684742392.000000,-76321586.000000,,-8927285260.000000,-2028747009.000000,-13687086448.000000,,564196483.000000,,-1653509296.000000,-303088522.000000,-670376397.000000,,,15820299859.000000,-6453570109.000000,-6398047062.000000,,179372728.000000,,,,-234895775.000000,,,,,,,,,,,-6453570109.000000,-2632463256.000000,114860382301.000000,,,114860382301.000000,-107283344925.000000,,,-107283344925.000000,,-7697881087.000000,,,,,233024709.000000,,,,,-1262217125.000000,-888016870.000000,,-594410259.000000,,,,,,,,,-2632463256.000000,6734266494.000000,11972614675.000000,390996444.000000,19097877613.000000
12M 2013,16071176645.000000,612622386435.000000,,-428686966261.000000,-93680201278.000000,,-522367167539.000000,,-52675435953.000000,,-8119979722.000000,,-13388626576.000000,,,,,,,,,16071176645.000000,-11027286983.000000,-11654559712.000000,,627272729.000000,,,,,,,,,,,,,,,-11027286983.000000,-14316285682.000000,92469102821.000000,,,92469102821.000000,-98003721958.000000,,,-98003721958.000000,,,1812925324.000000,,,,501356015.000000,,,,,-31694198.000000,-758634428.000000,,-385619258.000000,,,,,,,-9920000000.000000,,-14316285682.000000,-9272396020.000000,19097877613.000000,657802581.000000,10483284174.000000
12M 2014,7522403005.000000,599130202149.000000,,-425469386149.000000,-100631979604.000000,,-526101365753.000000,,-28731930636.000000,111059484.000000,-12686879165.000000,,-24198683074.000000,,,,,,,,,7522403005.000000,-12501892127.000000,-7566362546.000000,,102347114.000000,,,-1679878902.000000,,,,9066119005.000000,-12424116798.000000,,,,,,,-12501892127.000000,13255992328.000000,,661279733459.000000,57872000000.000000,719151733459.000000,,-626543810705.000000,-71207163822.000000,-697750974527.000000,,-10819911870.000000,6038043565.000000,,,,,,,,,,-447423050.000000,,-570475249.000000,,,,,,,-2345000000.000000,,13255992328.000000,8276503206.000000,10483284174.000000,-17769211.000000,18742018169.000000
12M 2015,8412296213.000000,815975397148.000000,,-597322125573.000000,-117930823186.000000,,-715252948759.000000,,-49803855074.000000,112393536.000000,-12567694137.000000,,-15543170315.000000,,,,,,,-14507826186.000000,,8412296213.000000,-10084686129.000000,-10577416199.000000,,809552398.000000,,,-2603024812.000000,,,,,2286202484.000000,,,,,,,-10084686129.000000,-1548788434.000000,,987816231710.000000,73885240000.000000,1061701471710.000000,,-980313288809.000000,-78848589135.000000,-1059161877944.000000,,-1305317646.000000,,,,,,2900000.000000,,,,,-115165652.000000,,-405798902.000000,,,,,,,-2265000000.000000,,-1548788434.000000,-3221178350.000000,18742018169.000000,86792335.000000,15607632154.000000
12M 2016,-19705390136.000000,933701276958.000000,,-759255729207.000000,-128858842623.000000,,-888114571830.000000,,-25511338233.000000,140545024.000000,-12841148759.000000,,-11214621698.000000,,,,,,,-15865531598.000000,,-19705390136.000000,-10008020860.000000,-9954716680.000000,,684632709.000000,,,-693024022.000000,,,,,1241536116.000000,,,-1286448983.000000,,,,-10008020860.000000,27793904513.000000,,591503303049.000000,19509760000.000000,611013063049.000000,,-529240535708.000000,-42060885736.000000,-571301421444.000000,,-5617904022.000000,,,,,,3000000.000000,,,,,-705240236.000000,,-477592834.000000,,,,,,,-5120000000.000000,,27793904513.000000,-1919506483.000000,15607632154.000000,-27601801.000000,13660523870.000000
12M 2017,-37601380213.000000,809492424731.000000,,-664261609675.000000,-145136149495.000000,,-809397759170.000000,,10477182251.000000,148054239.000000,-19163411919.000000,,-15418688927.000000,,,,,,,-13739181418.000000,,-37601380213.000000,-37320696339.000000,-34670871238.000000,,300545454.000000,,,-3038360950.000000,,,,,87990395.000000,,,,,,,-37320696339.000000,67488737720.000000,,955859842676.000000,15595334175.000000,971455176851.000000,,-890039384713.000000,-2070253574.000000,-892109638287.000000,,9555000.000000,,,,,,,,,,,-560732302.000000,,-105623542.000000,,,,,,,-11200000000.000000,,67488737720.000000,-7433338832.000000,13660523870.000000,14986538.000000,6242171576.000000
