Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.85,164.23,0.85,164.23,82 B,27 B,108 B,101 B,(10 B)
12M 2009,0.50,188.63,0.50,188.63,75 B,47 B,122 B,113 B,27 B
12M 2010,1.04,269.84,1.04,269.84,35 B,,94 B,53 B,75 B
12M 2011,0.85,353.21,0.85,353.21,19 B,60 B,79 B,67 B,107 B
12M 2012,0.89,442.74,0.89,442.74,26 B,55 B,82 B,62 B,132 B
12M 2013,1.00,469.55,1.00,469.55,31 B,46 B,78 B,67 B,126 B
12M 2014,0.76,518.87,0.76,518.87,85 B,9 B,93 B,75 B,103 B
12M 2015,0.56,586.89,0.56,586.89,89 B,6 B,95 B,79 B,119 B
12M 2016,0.34,1233.37,0.35,1210.76,128 B,1 B,129 B,115 B,117 B
12M 2017,0.77,1266.93,0.78,1244.33,193 B,14 B,208 B,201 B,112 B
12M 2018,1.19,266.09,1.21,261.57,214 B,80 B,294 B,241 B,133 B
12M 2019,1.40,241.29,1.43,236.77,166 B,70 B,236 B,160 B,106 B
12M 2020,1.46,237.22,1.49,232.70,172 B,111 B,282 B,209 B,57 B
12M 2021,1.42,249.36,1.45,244.84,277 B,98 B,375 B,280 B,23 B
12M 2022,1.20,249.79,1.22,245.27,306 B,79 B,385 B,327 B,3 B
12M 2023,1.09,255.81,1.11,251.29,340 B,68 B,407 B,372 B,17 B
12M 2024,0.60,271.15,0.61,266.63,363 B,80 B,444 B,385 B,73 B
