Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,7368683421.000000,733475355.000000,47673860286.000000,,47673860286.000000,47673860286.000000,685988629.000000,63963102508.000000,99786984625.000000,220212094824.000000,,604241284.000000,,,604241284.000000,,84800875228.000000,4474787469.000000,,2831855590.000000,92711759571.000000,312923854395.000000,,,230072185440.000000,70504126280.000000,,14581393236.000000,74683252427.000000,89264645663.000000,26690209010.000000,,26690209010.000000,1485964029.000000,4291533960.000000,,10866364800.000000,,135749752.000000,11002114552.000000,26833591946.000000,230072185440.000000,30183182858.000000,2365522895.000000,,,23970132577.000000,,181277773.000000,24151410350.000000,3666249613.000000,30183182858.000000,260255368298.000000,,32000000000.000000,7357997920.000000,13588892198.000000,113323604.000000,-391727625.000000,52668486097.000000,312923854395.000000,320000000.000000
12M 2009,,,8616398728.000000,,46039073997.000000,,46039073997.000000,46039073997.000000,1084651922.000000,48679456408.000000,129357256144.000000,233776837199.000000,,862987872.000000,,,862987872.000000,,74053721749.000000,3603284790.000000,,7401207224.000000,85921201635.000000,319698038834.000000,,,207072274360.000000,68256077360.000000,,6307384029.000000,63853361891.000000,70160745920.000000,13254778009.000000,,13254778009.000000,2349042385.000000,4687095753.000000,,6322054100.000000,,118744421.000000,6440798521.000000,41923736412.000000,207072274360.000000,52137796541.000000,26768970294.000000,,,20341829527.000000,,62533352.000000,20404362879.000000,4964463368.000000,52137796541.000000,259210070901.000000,,32000000000.000000,7357997920.000000,21394113966.000000,127583672.000000,-391727625.000000,60487967933.000000,319698038834.000000,320000000.000000
12M 2010,,,12627654241.000000,,82004186462.000000,652406432.000000,81351780030.000000,82004186462.000000,450829490.000000,53877272813.000000,121425454212.000000,270385397218.000000,,729870524.000000,,,729870524.000000,,69812894108.000000,2122988022.000000,,4559660290.000000,77225412944.000000,347610810162.000000,,,195158075965.000000,28311737548.000000,,264871777.000000,53170657085.000000,53435528862.000000,12433007111.000000,,12433007111.000000,2153429992.000000,3930258012.000000,,6977055905.000000,,62533352.000000,7039589257.000000,87854525183.000000,195158075965.000000,65820055471.000000,29508209741.000000,,,29419695669.000000,,,29419695669.000000,6892150061.000000,65820055471.000000,260978131436.000000,,32000000000.000000,7357997920.000000,47382947396.000000,283461035.000000,-391727625.000000,86632678726.000000,347610810162.000000,320000000.000000
12M 2011,,,11972614675.000000,,41426399259.000000,23539554.000000,41402859705.000000,41426399259.000000,1636229040.000000,38438772263.000000,204629897081.000000,298103912318.000000,,1134756199.000000,,,1134756199.000000,,69648499891.000000,1578783047.000000,,4169964741.000000,76532003878.000000,374635916196.000000,,,191147795755.000000,11248559623.000000,,1750560894.000000,67428884083.000000,69179444977.000000,11631179872.000000,,11631179872.000000,11024011554.000000,2954928930.000000,,7877055914.000000,84159478.000000,,7961215392.000000,77148455407.000000,191147795755.000000,70157529823.000000,16587382928.000000,,,43427893343.000000,30187836.000000,,43458081179.000000,10112065716.000000,70157529823.000000,261305325578.000000,,32000000000.000000,7357997920.000000,74061330954.000000,302989369.000000,-391727625.000000,113330590618.000000,374635916196.000000,320000000.000000
12M 2012,,,19097877613.000000,,60718422698.000000,,60718422698.000000,60718422698.000000,1991968213.000000,40527530024.000000,226435996668.000000,348771795216.000000,,1019239540.000000,,,1019239540.000000,20986989322.000000,49585074772.000000,1791843588.000000,,6726163625.000000,80109310847.000000,428881106063.000000,,,216282948572.000000,15077595932.000000,,3793328643.000000,78016736826.000000,81810065469.000000,15703875591.000000,,15703875591.000000,9123112230.000000,3773370251.000000,,9864253069.000000,402944500.000000,758634428.000000,11025831997.000000,79769097102.000000,216282948572.000000,70524271423.000000,9325293538.000000,,,45188697255.000000,391492555.000000,562588702.000000,46142778512.000000,15056199373.000000,70524271423.000000,286807219995.000000,,32000000000.000000,7357997920.000000,102710791171.000000,396824602.000000,-391727625.000000,142073886068.000000,428881106063.000000,320000000.000000
12M 2013,,,10483284174.000000,,59854021136.000000,3203469973.000000,56650551163.000000,59854021136.000000,2996518759.000000,51009421595.000000,162494975978.000000,286838221642.000000,,1079868722.000000,,,1079868722.000000,20122864085.000000,54771246337.000000,2656348284.000000,,12135391756.000000,90765719184.000000,377603940826.000000,,,161015133742.000000,20837238793.000000,,691254109.000000,67976727856.000000,68667981965.000000,16548100130.000000,,16548100130.000000,10298514354.000000,4783469916.000000,,9628163821.000000,570475261.000000,447423050.000000,10646062132.000000,29233766452.000000,161015133742.000000,65927627287.000000,11636155168.000000,,,34130524505.000000,431944809.000000,115165652.000000,34677634966.000000,19613837153.000000,65927627287.000000,226942761029.000000,,32000000000.000000,6966270295.000000,111289454713.000000,405454789.000000,,150661179797.000000,377603940826.000000,320000000.000000
12M 2014,,,18742018169.000000,,44782199743.000000,2917536321.000000,41864663422.000000,44782199743.000000,623288178.000000,58949056215.000000,202824818527.000000,325921380832.000000,,4798118847.000000,565579041.000000,4232539806.000000,4798118847.000000,11338596577.000000,63644996346.000000,3252715908.000000,,11657213023.000000,94691640701.000000,420613021533.000000,,,222947875416.000000,55573161547.000000,,2703243834.000000,78310804951.000000,81014048785.000000,,9657290021.000000,9657290021.000000,15124392186.000000,2050968413.000000,,28673524504.000000,248626277.000000,115165652.000000,29037316433.000000,30490698031.000000,222947875416.000000,31289257320.000000,6923621668.000000,,,1750000000.000000,183318545.000000,,1933318545.000000,22432317107.000000,31289257320.000000,254237132736.000000,,32000000000.000000,6966270295.000000,127071180367.000000,338438135.000000,,166375888797.000000,420613021533.000000,320000000.000000
12M 2015,,,15607632154.000000,,83756456835.000000,858288280.000000,82898168555.000000,83756456835.000000,351294305.000000,64604062645.000000,185496427693.000000,349815873632.000000,,2511916363.000000,1182389852.000000,1329526511.000000,2511916363.000000,9045513753.000000,67145829442.000000,3749128235.000000,,15631127943.000000,98083515736.000000,447899389368.000000,,,230332826306.000000,59076104448.000000,,2597975737.000000,94420268032.000000,97018243769.000000,,5419069160.000000,5419069160.000000,14543717230.000000,1315160656.000000,,28958312713.000000,477592834.000000,134290607.000000,29570196154.000000,23390334889.000000,230332826306.000000,29394288885.000000,5618304022.000000,,,501862656.000000,105623542.000000,111301091.000000,718787289.000000,23057197574.000000,29394288885.000000,259727115191.000000,,32000000000.000000,6966270295.000000,148837032741.000000,368971141.000000,,188172274177.000000,447899389368.000000,320000000.000000
12M 2016,,,13660523870.000000,,104100271120.000000,20730627.000000,104079540493.000000,104100271120.000000,1443012227.000000,58246559853.000000,197373596813.000000,374823963883.000000,,166855153.000000,78864758.000000,87990395.000000,166855153.000000,77951220000.000000,196476668882.000000,4925379226.000000,7233953315.000000,19667795761.000000,306421872337.000000,681245836220.000000,,,257418271000.000000,125338871789.000000,,1077520930.000000,93861100992.000000,94938621922.000000,,8402408868.000000,8402408868.000000,4773558400.000000,1863134192.000000,,1959095634.000000,97371323.000000,552116751.000000,2608583708.000000,19493092121.000000,257418271000.000000,28364820391.000000,400000.000000,,,949953999.000000,8252219.000000,128234711.000000,1086440929.000000,27277979462.000000,28364820391.000000,285783091391.000000,,32000000000.000000,7593665295.000000,173901085005.000000,784115364.000000,181183879165.000000,395462744829.000000,681245836220.000000,320000000.000000
12M 2017,,,6242171576.000000,,101011936044.000000,4807000.000000,101007129044.000000,101011936044.000000,1370927912.000000,77602253978.000000,283885300696.000000,470112590206.000000,,1227210735.000000,1227210735.000000,,1227210735.000000,79785510000.000000,220503464915.000000,5126045827.000000,7233953315.000000,27115072461.000000,340991257253.000000,811103847459.000000,,,358580630112.000000,191159329752.000000,,6754488442.000000,107276958369.000000,114031446811.000000,,8944933666.000000,8944933666.000000,7784719011.000000,1198776394.000000,,2126284290.000000,,110214356.000000,2236498646.000000,33224925832.000000,358580630112.000000,46605544063.000000,9955000.000000,,,14307845944.000000,,9404804.000000,14317250748.000000,32278338315.000000,46605544063.000000,405186174175.000000,,32000000000.000000,7887595807.000000,184347236098.000000,498962214.000000,181183879165.000000,405917673284.000000,811103847459.000000,320000000.000000
