Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.61,197.80,0.61,197.80,50 B,10 B,60 B,50 B,9 B
12M 2009,0.58,199.31,0.58,199.31,19 B,7 B,26 B,24 B,3 B
12M 2010,0.54,202.81,0.54,202.81,39 B,,39 B,24 B,3 B
12M 2011,0.52,217.76,0.52,217.76,50 B,,50 B,37 B,(26 B)
12M 2012,0.57,236.02,0.57,236.02,136 B,,136 B,129 B,(11 B)
12M 2013,0.66,239.88,0.66,239.88,67 B,,67 B,49 B,(16 B)
12M 2014,0.60,258.35,0.60,258.35,85 B,,85 B,51 B,14 B
12M 2015,0.50,263.89,0.50,263.89,60 B,,60 B,53 B,20 B
12M 2016,0.84,285.94,0.84,285.94,59 B,,,(11 B),91 B
12M 2017,0.40,706.62,0.40,706.62,130 B,,130 B,3 B,114 B
12M 2018,0.34,733.45,0.34,733.45,30 B,,30 B,(11 B),141 B
12M 2019,0.40,757.52,0.40,757.52,150 B,,,118 B,154 B
12M 2020,0.29,751.44,0.29,751.44,95 B,,95 B,79 B,152 B
12M 2021,0.21,1083.42,0.21,1083.42,177 B,,,114 B,146 B
12M 2022,0.22,1111.30,0.22,1111.30,58 B,,58 B,46 B,193 B
12M 2023,0.23,1129.24,0.23,1129.24,,,,(55 B),243 B
12M 2024,0.23,1269.47,0.23,1269.47,,,,(18 B),264 B
