Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Dalam Pelaksanaan,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,9638248278.000000,,11670000000.000000,143548355867.000000,,,143548355867.000000,5195300356.000000,,,5195300356.000000,44440893997.000000,,1241834517.000000,215734633015.000000,,240338185928.000000,,,3037810128.000000,243375996056.000000,459110629071.000000,,,207089486443.000000,46713529450.000000,,107435723766.000000,3108256238.000000,110543980004.000000,1813509535.000000,1797180763.000000,,3600000000.000000,80745000.000000,3680745000.000000,35068984419.000000,,,35068984419.000000,7471557272.000000,207089486443.000000,26819647403.000000,15762982318.000000,,9700000000.000000,1356665085.000000,26819647403.000000,233909133846.000000,,211400000000.000000,832577513.000000,832577513.000000,832577513.000000,9302150138.000000,,,9302150138.000000,3666767574.000000,,225201495225.000000,459110629071.000000,1120000000.000000
12M 2009,,,2159376021.000000,,4739680000.000000,55545227267.000000,,,55545227267.000000,1148467758.000000,,,1148467758.000000,48847365516.000000,,1643040585.000000,114083157147.000000,,238056887055.000000,,,2640829311.000000,240697716366.000000,354780873513.000000,,,111276705638.000000,15251799963.000000,,72498074866.000000,9740301382.000000,82238376248.000000,901888324.000000,430846381.000000,,3200000000.000000,100259000.000000,3300259000.000000,,,,,9153535722.000000,111276705638.000000,19788585009.000000,10414799578.000000,,7200000000.000000,2173785431.000000,19788585009.000000,131065290647.000000,,211400000000.000000,832577513.000000,832577513.000000,832577513.000000,10997280260.000000,,,10997280260.000000,485725093.000000,,223715582866.000000,354780873513.000000,1120000000.000000
12M 2010,,,14319138784.000000,,2100000000.000000,105787446987.000000,,,105787446987.000000,1632585049.000000,,,1632585049.000000,35357873969.000000,,6286217849.000000,165483262638.000000,,232988366743.000000,3489900000.000000,,1233185887.000000,237711452630.000000,403194715268.000000,,,162567014172.000000,38500000000.000000,,105354981344.000000,10222891007.000000,115577872351.000000,2083047563.000000,1651892736.000000,,,11853000.000000,11853000.000000,,,,,4742348522.000000,162567014172.000000,13026531963.000000,9977706878.000000,,,3048825085.000000,13026531963.000000,175593546135.000000,,211400000000.000000,832577513.000000,832577513.000000,832577513.000000,14918892115.000000,,,14918892115.000000,449699505.000000,,227601169133.000000,403194715268.000000,1120000000.000000
12M 2011,,,12893308349.000000,,2100000000.000000,183026892062.000000,,,183026892062.000000,1769370485.000000,,,1769370485.000000,116697532344.000000,,43047226535.000000,359534329775.000000,,282192612400.000000,144000000.000000,,1083826211.000000,283420438611.000000,642954768386.000000,,,385749697877.000000,50000000000.000000,,239446121938.000000,65893811885.000000,305339933823.000000,611074273.000000,12859359909.000000,,,,,826463167.000000,,,826463167.000000,16112866705.000000,385749697877.000000,12840938748.000000,10235134053.000000,,,2605804695.000000,12840938748.000000,398590636625.000000,,211400000000.000000,832577513.000000,832577513.000000,832577513.000000,31663325586.000000,,,31663325586.000000,468228662.000000,,244364131761.000000,642954768386.000000,1120000000.000000
12M 2012,,,7320204639.000000,,,242447482081.000000,,,242447482081.000000,543366011.000000,,,543366011.000000,172013559300.000000,,8199601093.000000,430524213124.000000,,289798194867.000000,,1710608559.000000,908322695.000000,292417126121.000000,722941339245.000000,,,441527159095.000000,136480335340.000000,,268307029916.000000,12605775873.000000,280912805789.000000,5228531047.000000,6507953283.000000,,,,,1589184833.000000,,,1589184833.000000,10808348803.000000,441527159095.000000,16668115691.000000,13075923845.000000,,,3592191846.000000,16668115691.000000,458195274786.000000,,211400000000.000000,832577513.000000,832577513.000000,832577513.000000,52104662861.000000,,,52104662861.000000,408824085.000000,,264746064459.000000,722941339245.000000,1120000000.000000
12M 2013,,,18602014545.000000,,,214289622785.000000,,,214289622785.000000,8615449805.000000,,,8615449805.000000,101884229643.000000,,9279629317.000000,352670946095.000000,,299487271006.000000,355000000.000000,954426551.000000,828613283.000000,301625310840.000000,654296256935.000000,,,368703142721.000000,67122249045.000000,,273494805753.000000,9476898428.000000,282971704181.000000,1588653218.000000,6743003425.000000,,,,,933452841.000000,,,933452841.000000,9344080011.000000,368703142721.000000,15928954401.000000,11420400782.000000,,,4508553619.000000,15928954401.000000,384632097122.000000,,211400000000.000000,832577513.000000,832577513.000000,832577513.000000,56431331107.000000,,,56431331107.000000,1000251193.000000,,269664159813.000000,654296256935.000000,1120000000.000000
12M 2014,,,34219353693.000000,,,217998356376.000000,,,217998356376.000000,2479958359.000000,,,2479958359.000000,91036548405.000000,,11014368210.000000,356748585043.000000,,289754886655.000000,,444478729.000000,748903871.000000,290948269255.000000,647696854298.000000,,,342700429672.000000,84935728349.000000,,230405585050.000000,12764477064.000000,243170062114.000000,2336296523.000000,6047264939.000000,,,,,486470853.000000,,,486470853.000000,5724606894.000000,342700429672.000000,14708551484.000000,10610426892.000000,,,4098124592.000000,14708551484.000000,357408981156.000000,,211400000000.000000,832577513.000000,832577513.000000,832577513.000000,77117861026.000000,,,77117861026.000000,937434603.000000,,290287873142.000000,647696854298.000000,1120000000.000000
12M 2015,,,6747985842.000000,,,188382157321.000000,188083067321.000000,299090000.000000,188382157321.000000,1598238152.000000,,,1598238152.000000,137507066544.000000,,28042297767.000000,362277745626.000000,,291209032493.000000,,229744483.000000,669194459.000000,292107971435.000000,654385717061.000000,,,342643691341.000000,59900000000.000000,,252657048497.000000,12820621677.000000,265477670174.000000,2330364561.000000,5665872214.000000,,,,,2324327198.000000,,,2324327198.000000,6945457194.000000,342643691341.000000,15266645714.000000,9274545516.000000,,,5992100198.000000,15266645714.000000,357910337055.000000,,211400000000.000000,832577513.000000,832577513.000000,832577513.000000,84175634002.000000,,,84175634002.000000,915155290.000000,-847986799.000000,296475380006.000000,654385717061.000000,1120000000.000000
12M 2016,,,69819512096.000000,,,125811633199.000000,77007482386.000000,48804150813.000000,125811633199.000000,5186723557.000000,960696420.000000,4226027137.000000,5186723557.000000,153138363028.000000,,40781922108.000000,394738153988.000000,,244138597496.000000,,214615433.000000,,244353212929.000000,639091366917.000000,,,303264273023.000000,59300000000.000000,,205705142698.000000,27200263649.000000,232905406347.000000,4392746696.000000,1849802428.000000,,,,,217057211.000000,,,217057211.000000,4599260341.000000,303264273023.000000,15171816630.000000,8782061291.000000,,,6389755339.000000,15171816630.000000,318436089653.000000,,211400000000.000000,8805991624.000000,8805991624.000000,8805991624.000000,100043371067.000000,1369793921.000000,98673577146.000000,100043371067.000000,405914573.000000,,320655277264.000000,639091366917.000000,1120000000.000000
12M 2017,,,126807432464.000000,,,225854420637.000000,154425410221.000000,71429010416.000000,225854420637.000000,670580039.000000,670580039.000000,,670580039.000000,148328308855.000000,,47179360135.000000,548840102130.000000,,682650826458.000000,,3707918880.000000,,686358745338.000000,1235198847468.000000,,,434423462965.000000,130000000000.000000,,255671488329.000000,36650451529.000000,292321939858.000000,446448613.000000,7481452434.000000,,,,,1790206034.000000,,,1790206034.000000,2383416026.000000,434423462965.000000,9346807304.000000,,,,9346807304.000000,9346807304.000000,443770270269.000000,,211400000000.000000,8595214116.000000,8595214116.000000,8595214116.000000,140443000340.000000,1569793921.000000,138873206419.000000,140443000340.000000,11134477.000000,430979228266.000000,791428577199.000000,1235198847468.000000,1120000000.000000
12M 2018,,,40902446640.000000,,,292714739183.000000,211887405177.000000,80827334006.000000,292714739183.000000,1604476398.000000,1604476398.000000,,1604476398.000000,213185453039.000000,,55946101323.000000,604353216583.000000,,694005261792.000000,,,,694005261792.000000,1298358478375.000000,,,463589374916.000000,30000000000.000000,,388800942154.000000,27820047507.000000,416620989661.000000,8221750139.000000,3613573287.000000,,,,,895103017.000000,,,895103017.000000,4237958812.000000,463589374916.000000,13297819406.000000,3326259073.000000,,,9971560333.000000,13297819406.000000,476887194322.000000,,211400000000.000000,8595214116.000000,8595214116.000000,8595214116.000000,170235712974.000000,2286560165.000000,167949152809.000000,170235712974.000000,10284715.000000,431230072248.000000,821471284053.000000,1298358478375.000000,1120000000.000000
12M 2019,,,32211039930.000000,,,186879547989.000000,133822796601.000000,53056751388.000000,186879547989.000000,1988270460.000000,1988270460.000000,,1988270460.000000,311356187069.000000,,43482854718.000000,575917900166.000000,,708519458254.000000,,,,708519458254.000000,1284437358420.000000,,,422310102458.000000,150000000000.000000,,184170709918.000000,3223921289.000000,187394631207.000000,3319261050.000000,8090902366.000000,,,,,,1217469000.000000,1679558668.000000,2897027668.000000,70608280167.000000,422310102458.000000,13700227536.000000,1063812702.000000,,,12636414834.000000,13700227536.000000,436010329994.000000,,211400000000.000000,2732577513.000000,,2732577513.000000,203890439183.000000,3067460337.000000,200822978846.000000,203890439183.000000,,430404011730.000000,848427028426.000000,1284437358420.000000,1120000000.000000
12M 2020,,,16178240346.000000,,,112047360807.000000,88410227239.000000,23637133568.000000,112047360807.000000,1728983500.000000,1728983500.000000,,1728983500.000000,171103760186.000000,,19438742678.000000,320497087517.000000,,703056169529.000000,,,3209625450.000000,706265794979.000000,1026762882496.000000,,,168071546757.000000,95000000000.000000,,13647216000.000000,592825831.000000,14240041831.000000,142176322.000000,5216349228.000000,,,,,,,67606000.000000,67606000.000000,53405373376.000000,168071546757.000000,17078479794.000000,2432681712.000000,,,14645798082.000000,17078479794.000000,185150026551.000000,,211400000000.000000,2732577513.000000,,2732577513.000000,199254210643.000000,3467460337.000000,195786750306.000000,199254210643.000000,,428226067789.000000,841612855945.000000,1026762882496.000000,1120000000.000000
12M 2021,,,62936197262.000000,,,152776675459.000000,96014506702.000000,56762168757.000000,152776675459.000000,1102781250.000000,1102781250.000000,,1102781250.000000,185140744063.000000,,10389981313.000000,412346379347.000000,,1076905718959.000000,,,7928923150.000000,1084834642109.000000,1497181021456.000000,,,266614137737.000000,176745644624.000000,,25518504657.000000,6206126188.000000,31724630845.000000,182063182.000000,5941114666.000000,,,,,,,,,52020684420.000000,266614137737.000000,17136378160.000000,4763580569.000000,,,12372797591.000000,17136378160.000000,283750515897.000000,,211400000000.000000,2732577513.000000,,2732577513.000000,179961189885.000000,2874142257.000000,177087047628.000000,179961189885.000000,,819336738161.000000,1213430505559.000000,1497181021456.000000,1120000000.000000
12M 2022,,,11661752737.000000,,,236690739564.000000,159174165619.000000,77516573945.000000,236690739564.000000,1631707659.000000,1631707659.000000,,1631707659.000000,185136040154.000000,,5629096058.000000,440749336172.000000,,1063127722497.000000,,,4719297700.000000,1067847020197.000000,1508596356369.000000,,,247684626134.000000,58000000000.000000,,118623417957.000000,12397146287.000000,131020564244.000000,1306905139.000000,8019692787.000000,,,,,,,,,49337463964.000000,247684626134.000000,16260326022.000000,4985644890.000000,,,11274681132.000000,16260326022.000000,263944952156.000000,,211400000000.000000,2732577513.000000,,2732577513.000000,210458653631.000000,2874142257.000000,207584511374.000000,210458653631.000000,,820060173069.000000,1244651404213.000000,1508596356369.000000,1120000000.000000
12M 2023,,,55065517280.000000,,,311823352193.000000,207755277796.000000,104068074397.000000,311823352193.000000,3206456738.000000,3206456738.000000,,3206456738.000000,165238359740.000000,,19452587495.000000,554786273446.000000,,1042656145330.000000,,,,1042656145330.000000,1597442418776.000000,,,312057359270.000000,,,283090502667.000000,11341950318.000000,294432452985.000000,5715116542.000000,11125147585.000000,,,,,,,,,784642158.000000,312057359270.000000,20635956395.000000,7126895889.000000,,,13509060506.000000,20635956395.000000,332693315665.000000,,211400000000.000000,2732577513.000000,,2732577513.000000,232264622657.000000,3174142257.000000,229090480400.000000,232264622657.000000,,818351902941.000000,1264749103111.000000,1597442418776.000000,1120000000.000000
12M 2024,,,18346987843.000000,,,494346375393.000000,284159320413.000000,210187054980.000000,494346375393.000000,3473015702.000000,3473015702.000000,,3473015702.000000,173274622326.000000,,20884442315.000000,710325443579.000000,,1180823559981.000000,,,,1180823559981.000000,1891149003560.000000,,,446505291752.000000,,,418739712212.000000,8037427939.000000,426777140151.000000,10543520771.000000,7755453243.000000,,,,,,,,,1429177587.000000,446505291752.000000,22841398086.000000,9136364885.000000,,,13705033201.000000,22841398086.000000,469346689838.000000,,211400000000.000000,2732577513.000000,,2732577513.000000,301357114168.000000,3474142257.000000,297882971911.000000,301357114168.000000,,906312622041.000000,1421802313722.000000,1891149003560.000000,1120000000.000000
