Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,11 B,(5 B),5 B,266297.11
12M 2018,(30 B),(10 B),(40 B),-56.12
12M 2019,16 B,(20 B),(5 B),-6.96
12M 2020,3 B,(12 B),(9 B),-13.08
12M 2021,14 B,(11 B),3 B,3.60
12M 2022,4 B,(1 B),3 B,3.99
12M 2023,15 B,(5 B),10 B,14.06
12M 2024,5 B,(10 B),(5 B),-7.10
