Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Dari Restitusi Pajak,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penerimaan Deposito Berjangka,Uang Muka Pembelian Aset Tetap,Penempatan Dana Yang Dibatasi Penggunaannya,Pencairan Deposito,Penempatan Deposito Berjangka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Dari Pihak Berelasi,Pembayaran Utang Lain-Lain Jangka Panjang,Pembayaran Dividen Tunai,Penerimaan Dari Obligasi Konversi,Setoran Modal,Penerimaan Dari Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,10688350214.000000,94173540580.000000,-82790545416.000000,,,79780376.000000,-405623742.000000,-368801584.000000,10688350214.000000,-5362408065.000000,-5362408065.000000,,,,,,,-5362408065.000000,-1547321937.000000,469000000.000000,-593316041.000000,,-1423005896.000000,,,,,-1547321937.000000,3778620212.000000,10694817453.000000,14473437665.000000
12M 2018,-30112413319.000000,83238390507.000000,-106894274494.000000,,,149488178.000000,-377612648.000000,-6228404862.000000,-30112413319.000000,-34107353117.000000,-10052673117.000000,,,,,,-24054680000.000000,-34107353117.000000,58438794724.000000,3296397729.000000,-3227379145.000000,,-870545360.000000,-12301318000.000000,,2480098000.000000,69061541500.000000,58438794724.000000,-5780971712.000000,14473437665.000000,8692465953.000000
12M 2019,15503721946.000000,116618444340.000000,-100698969574.000000,,,1622506303.000000,-325035733.000000,-1713223390.000000,15503721946.000000,-4052403259.000000,-20486726259.000000,,,-565677000.000000,,,17000000000.000000,-4052403259.000000,-835197373.000000,,-69018584.000000,,-766178789.000000,,,,,-835197373.000000,10616121314.000000,8692465953.000000,19308587267.000000
12M 2020,2832686206.000000,127998882127.000000,-123428920164.000000,,1609142577.000000,359667295.000000,-62526695.000000,-3643558934.000000,2832686206.000000,-8305018829.000000,-12197300229.000000,,,,,,3892281400.000000,-8305018829.000000,-721252006.000000,3051544390.000000,,,-194048196.000000,-3578748200.000000,,,,-721252006.000000,-6193584629.000000,19308587267.000000,13115002638.000000
12M 2021,13918612484.000000,103462632676.000000,-88597615451.000000,,,196081646.000000,-303877087.000000,-838609300.000000,13918612484.000000,-11339913633.000000,-11339913633.000000,,,,,,,-11339913633.000000,2360937087.000000,2360937087.000000,,,,,,,,2360937087.000000,4939635938.000000,13115002638.000000,18054638576.000000
12M 2022,3747220178.000000,133174576129.000000,-113766247189.000000,-15550946844.000000,1690169602.000000,239418565.000000,-638208534.000000,-1401541551.000000,3747220178.000000,-5499756879.000000,-891919544.000000,441813665.000000,,,-5049651000.000000,,,-5499756879.000000,13880694348.000000,13880694348.000000,,,,,,,,13880694348.000000,12128157647.000000,18054638576.000000,30182796223.000000
12M 2023,15416496453.000000,114361927524.000000,-81963653774.000000,-15883045673.000000,,267210508.000000,-181554113.000000,-1184388019.000000,15416496453.000000,-7667284562.000000,-5354419070.000000,687134508.000000,,,-6000000000.000000,3000000000.000000,,-7667284562.000000,-2462878380.000000,1206444341.000000,-3714322721.000000,45000000.000000,,,,,,-2462878380.000000,5286333511.000000,30182796223.000000,35469129734.000000
12M 2024,5144134729.000000,90563082349.000000,-70224279995.000000,-14802703759.000000,,328016542.000000,-107831955.000000,-612148453.000000,5144134729.000000,-7708667513.000000,-10229354387.000000,2520686874.000000,,,,,,-7708667513.000000,861359655.000000,861359655.000000,,,,,,,,861359655.000000,-1703173129.000000,35469129734.000000,33765956605.000000
