Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,14473437665.000000,,13069684874.000000,,10298103284.000000,1580360346.000000,39421586169.000000,,,,,,60907160588.000000,8128499.000000,60915289087.000000,100336875256.000000,,,22511376708.000000,,8360641636.000000,7293717932.000000,5787429427.000000,74104640.000000,870545360.000000,124937713.000000,22511376708.000000,5826486307.000000,220226984.000000,2571331086.000000,3034928237.000000,5826486307.000000,28337863015.000000,,20000000000.000000,204600000.000000,29066314866.000000,,29066314866.000000,29066314866.000000,,22728097375.000000,71999012241.000000,100336875256.000000,20000.000000
12M 2018,,,8692465953.000000,24054680000.000000,32457213893.000000,,11896629809.000000,5025764745.000000,82126754400.000000,,,,,,63747688214.000000,2327318405.000000,66075006619.000000,148201761019.000000,,,13709973547.000000,69018584.000000,10857565700.000000,1269688963.000000,829136025.000000,507864900.000000,163294614.000000,13404761.000000,13709973547.000000,7510482814.000000,56932370.000000,3219823226.000000,4233727218.000000,7510482814.000000,21220456361.000000,,71574964000.000000,35068745914.000000,197427092.000000,100000000.000000,97427092.000000,197427092.000000,,20140167652.000000,126981304658.000000,148201761019.000000,715749640.000000
12M 2019,,,19308587267.000000,6892281400.000000,49614980984.000000,45000000.000000,24160403646.000000,6772503205.000000,106793756502.000000,,,,,,77796061978.000000,2442843550.000000,80238905528.000000,187032662030.000000,,,45158762831.000000,,42766343880.000000,72342841.000000,1848435197.000000,49881724.000000,180242747.000000,241516442.000000,45158762831.000000,7775042362.000000,13805449.000000,2812501783.000000,4948735130.000000,7775042362.000000,52933805193.000000,,71574964000.000000,35068745914.000000,8138022311.000000,100000000.000000,8038022311.000000,8138022311.000000,45091250.000000,19272033362.000000,134098856837.000000,187032662030.000000,715749640.000000
12M 2020,,,13115002638.000000,3000000000.000000,21074058835.000000,101143005.000000,22083006870.000000,13718402666.000000,73091614014.000000,,,,,,79169470809.000000,2585767657.000000,81755238466.000000,154846852480.000000,,,19457563778.000000,3051544390.000000,15505350603.000000,225616535.000000,190925892.000000,34732816.000000,,449393542.000000,19457563778.000000,8717096576.000000,,1583437114.000000,7133659462.000000,8717096576.000000,28174660354.000000,,71574964000.000000,35068745914.000000,1762670465.000000,1000000000.000000,762670465.000000,1762670465.000000,42847141.000000,18222964606.000000,126672192126.000000,154846852480.000000,715749640.000000
12M 2021,,,18054638576.000000,3000000000.000000,19259844161.000000,45000000.000000,21689619003.000000,16883695307.000000,78932797047.000000,,,,,,83175566855.000000,3068505353.000000,86244072208.000000,165176869255.000000,,,21118109618.000000,5412481477.000000,14879705458.000000,318320592.000000,118783060.000000,43640100.000000,,345178931.000000,21118109618.000000,8741463116.000000,,3049317030.000000,5692146086.000000,8741463116.000000,29859572734.000000,,71574964000.000000,35068745914.000000,4221941098.000000,1000000000.000000,3221941098.000000,4221941098.000000,59647690.000000,24391997819.000000,135317296521.000000,165176869255.000000,715749640.000000
12M 2022,,,30182796223.000000,3000000000.000000,22454454840.000000,,27961756550.000000,19599345529.000000,103198353142.000000,,45000000.000000,45000000.000000,45000000.000000,,71452226221.000000,41731997.000000,71538958218.000000,174737311360.000000,,,29155171262.000000,19293175825.000000,8823914579.000000,247249221.000000,271690977.000000,43640100.000000,,475500560.000000,29155171262.000000,9212138279.000000,,2569670079.000000,6642468200.000000,9212138279.000000,38367309541.000000,,71574964000.000000,35068745914.000000,6955370510.000000,1000000000.000000,5955370510.000000,6955370510.000000,79987076.000000,22690934319.000000,136370001819.000000,174737311360.000000,715749640.000000
12M 2023,,,35469129734.000000,,15979496225.000000,,30553076863.000000,27430696946.000000,109432399768.000000,,,,,,65174130490.000000,,65174130490.000000,174606530258.000000,,,28611824746.000000,16785297445.000000,11271355019.000000,60092721.000000,180485922.000000,,,314593639.000000,28611824746.000000,9399989967.000000,,1921806249.000000,7478183718.000000,9399989967.000000,38011814713.000000,,71574964000.000000,35068745914.000000,8909403709.000000,1000000000.000000,7909403709.000000,8909403709.000000,57562778.000000,20984039144.000000,136594715545.000000,174606530258.000000,715749640.000000
12M 2024,,,33765956605.000000,,18055854249.000000,,26625870848.000000,15908321067.000000,94356002769.000000,,,,,2556784844.000000,65970083026.000000,,68526867870.000000,162882870639.000000,,,22148701444.000000,17646657099.000000,3617265014.000000,161140075.000000,485500022.000000,,,238139234.000000,22148701444.000000,9450661963.000000,,1684671410.000000,7765990553.000000,9450661963.000000,31599363407.000000,,71574964000.000000,35068745914.000000,5393200680.000000,1000000000.000000,4393200680.000000,5393200680.000000,-31447331.000000,19278043969.000000,131283507232.000000,162882870639.000000,715749640.000000
