Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Karyawan Dan Operasional Lainnya,Pembayaran Beban Pajak,Pembayaran Provisi Dan Beban Bunga Pinjaman,Pembayaran Lain-Lain,Penerimaan Penghasilan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Entitas Anak,Penambahan Deposito Yang Dijaminkan,Penerimaan Atas Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penyertaan Saham,Penambahan Piutang Lain Lain,Penambahan Aset Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Emisi Saham,Pembayaran Dividen Tunai,Penambahan Piutang Lain-Lain,Pembayaran Piutang Lain-Lain,Penambahan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Penambahan Utang Lembaga Keuangan,Pembayaran Utang Lembaga Keuangan,Penambahan Dana Syirkah Temporer,Pembayaran Dana Syirkah Temporer,Tambahan Modal Di Setor,Setoran Modal,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,-16058112684.000000,307325642418.000000,-295120244844.000000,-14492031102.000000,-2178885544.000000,-13539971508.000000,,1947377896.000000,-16058112684.000000,-15908439689.000000,,,,-15908439689.000000,,,,,-15908439689.000000,68822548384.000000,,,,,,,50279308401.000000,,,-6092400000.000000,-241186305.000000,,-123173712.000000,,,,25000000000.000000,,68822548384.000000,36855996011.000000,16499201685.000000,53355197696.000000
12M 2017,61278615330.000000,395471812553.000000,-264753514286.000000,-46979898644.000000,-5818077852.000000,-17722046048.000000,,1080339607.000000,61278615330.000000,-101358973723.000000,-222230000.000000,-20252242470.000000,,-76922644394.000000,,,,-3961856859.000000,-101358973723.000000,-4051763632.000000,-1802500000.000000,-11400000000.000000,-34195102858.000000,,,,39466854855.000000,,,-5240000000.000000,-305707169.000000,,-276708460.000000,,,,9701400000.000000,,-4051763632.000000,-44132122025.000000,53355197696.000000,9223075671.000000
12M 2018,-29898620061.000000,432878673366.000000,-381654846933.000000,-57819289540.000000,-6905754960.000000,-17525978871.000000,,1128576877.000000,-29898620061.000000,-94728986817.000000,,-7083367551.000000,,-7982841125.000000,-82624635000.000000,-1000000000.000000,,3961856859.000000,-94728986817.000000,140191414693.000000,-3387025769.000000,,-40000000.000000,2287602858.000000,1000000000.000000,,21705332450.000000,,2800000000.000000,-5092800003.000000,-39841646.000000,5044550000.000000,-386803197.000000,34998000000.000000,,,81302400000.000000,,140191414693.000000,15563807815.000000,9223075671.000000,24786883486.000000
12M 2019,80232352743.000000,321913822164.000000,-185760907636.000000,-29263183402.000000,-4756769000.000000,-21900609383.000000,,,80232352743.000000,62420195532.000000,,62456095533.000000,,-6854839089.000000,6818939088.000000,,,,62420195532.000000,-147998503484.000000,,,,,,,,-105643657404.000000,,-5608232337.000000,-1748613743.000000,,,,-34998000000.000000,,,,-147998503484.000000,-5345955209.000000,24786883486.000000,19440928277.000000
12M 2020,-32765382153.000000,235005686755.000000,-211266037212.000000,-33743916735.000000,-9116708460.000000,-16369854254.000000,,2725447753.000000,-32765382153.000000,27761274973.000000,,,,-5032145206.000000,-2323489753.000000,,35116909932.000000,,27761274973.000000,-14023960986.000000,-2866075801.000000,,,,,,,-11001638505.000000,,-2699641193.000000,,2543394513.000000,,,,,,,-14023960986.000000,-19028455533.000000,19440928277.000000,412472744.000000
12M 2021,-15866832249.000000,231049957606.000000,-180286478205.000000,-42837860905.000000,-456561932.000000,-14729320932.000000,-8641447861.000000,34879980.000000,-15866832249.000000,-122694057.000000,,,3600000.000000,-126294057.000000,,,,,-122694057.000000,16763456119.000000,,,,,18936000000.000000,,,-599311918.000000,,,-1456272776.000000,-116959187.000000,,,,,,,16763456119.000000,773929813.000000,412472744.000000,1186402557.000000
