Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,3167978206000.000000,-2777543261000.000000,390434945000.000000,-164110450000.000000,-53683296000.000000,-110750635000.000000,323481000.000000,-164110450000.000000,226324495000.000000,-35465116000.000000,8169051000.000000,-43634167000.000000,-35465116000.000000,190859379000.000000,-52433781000.000000,138425598000.000000,354614797000.000000,,354614797000.000000,493040395000.000000,138425598000.000000,136113229000.000000,2312369000.000000,138425598000.000000,493040395000.000000,479670791000.000000,13369604000.000000,493040395000.000000
12M 2017,3490087264000.000000,-2969444832000.000000,520642432000.000000,-196056937000.000000,-78730904000.000000,-127863795000.000000,10537762000.000000,-196056937000.000000,324585495000.000000,-21802787000.000000,1775794000.000000,-23578581000.000000,-21802787000.000000,302782708000.000000,-71908740000.000000,230873968000.000000,-7615781000.000000,,-7615781000.000000,223258187000.000000,230873968000.000000,227865377000.000000,3008591000.000000,230873968000.000000,223258187000.000000,220455467000.000000,2802720000.000000,223258187000.000000
12M 2018,4353287585000.000000,-3733538921000.000000,619748664000.000000,-230698741000.000000,-120496081000.000000,-142708809000.000000,32506149000.000000,-230698741000.000000,389049923000.000000,-3999281000.000000,14382628000.000000,-18381909000.000000,-3999281000.000000,385050642000.000000,-87421727000.000000,297628915000.000000,8461618000.000000,,8461618000.000000,306090533000.000000,297628915000.000000,294513353000.000000,3115562000.000000,297628915000.000000,306090533000.000000,302827215000.000000,3263318000.000000,306090533000.000000
12M 2019,4632864612000.000000,-4030942873000.000000,601921739000.000000,-293151813000.000000,-144127255000.000000,-167971811000.000000,18947253000.000000,-293151813000.000000,308769926000.000000,-10948461000.000000,10860895000.000000,-21809356000.000000,-10948461000.000000,297821465000.000000,-74194846000.000000,223626619000.000000,-4741038000.000000,,-4741038000.000000,218885581000.000000,223626619000.000000,222899129000.000000,727490000.000000,223626619000.000000,218885581000.000000,218116820000.000000,768761000.000000,218885581000.000000
12M 2020,3870552460000.000000,-3051870631000.000000,818681829000.000000,-330139472000.000000,-136312520000.000000,-191492651000.000000,-2334301000.000000,-330139472000.000000,488542357000.000000,675265000.000000,15598111000.000000,-14922846000.000000,675265000.000000,489217622000.000000,-115563777000.000000,373653845000.000000,583787000.000000,,583787000.000000,374237632000.000000,373653845000.000000,371602077000.000000,2051768000.000000,373653845000.000000,374237632000.000000,372191924000.000000,2045708000.000000,374237632000.000000
12M 2021,4441512773000.000000,-3576105488000.000000,865407285000.000000,-336280948000.000000,-162796355000.000000,-186383078000.000000,12898485000.000000,-336280948000.000000,529126337000.000000,1995330000.000000,14277992000.000000,-12282662000.000000,1995330000.000000,531121667000.000000,-114912320000.000000,416209347000.000000,124169723000.000000,,124169723000.000000,540379070000.000000,416209347000.000000,413892219000.000000,2317128000.000000,416209347000.000000,540379070000.000000,537734150000.000000,2644920000.000000,540379070000.000000
12M 2022,5030424255000.000000,-4200116575000.000000,830307680000.000000,-368793984000.000000,-183559827000.000000,-186655599000.000000,1421442000.000000,-368793984000.000000,461513696000.000000,-8040707000.000000,7952148000.000000,-15992855000.000000,-8040707000.000000,453472989000.000000,-98571799000.000000,354901190000.000000,3146374000.000000,,3146374000.000000,358047564000.000000,354901190000.000000,352857039000.000000,2044151000.000000,354901190000.000000,358047564000.000000,355988840000.000000,2058724000.000000,358047564000.000000
12M 2023,4703224343000.000000,-3838768812000.000000,864455531000.000000,-383018406000.000000,-202620131000.000000,-199636035000.000000,19237760000.000000,-383018406000.000000,481437125000.000000,-2214920000.000000,11873746000.000000,-14088666000.000000,-2214920000.000000,479222205000.000000,-103237044000.000000,375985161000.000000,-1812988000.000000,,-1812988000.000000,374172173000.000000,375985161000.000000,374153078000.000000,1832083000.000000,375985161000.000000,374172173000.000000,372338233000.000000,1833940000.000000,374172173000.000000
12M 2024,5245897681000.000000,-4194729413000.000000,1051168268000.000000,-437812565000.000000,-223843348000.000000,-229689190000.000000,15719973000.000000,-437812565000.000000,613355703000.000000,7232973000.000000,23916352000.000000,-16683379000.000000,7232973000.000000,620588676000.000000,-133417128000.000000,487171548000.000000,143893810000.000000,,143893810000.000000,631065358000.000000,487171548000.000000,484971111000.000000,2200437000.000000,487171548000.000000,631065358000.000000,628632353000.000000,2433005000.000000,631065358000.000000
