Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Beban Gaji,Pembayaran Kas Untuk Beban Operasional,Penerimaan (Pembayaran) Lainnya,Pembayaran Kas Untuk Pajak Penghasilan,Penerimaan Kas Dari Restitusi Pajak,Penerimaan Kas Dari Bunga,Pembayaran Kas Untuk Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Lain-Lain,Pelepasan Aset Lain-Lain,Perolehan Aset Tak Berwujud,Penambahan Properti Investasi,Pelepasan Properti Investasi,Perolehan Investasi Di Aset Keuangan,Penerimaan Dari Aset Lain-Lain,Penerimaan Dari Investasi Jangka Panjang,Pengeluaran Untuk Investasi Jangka Panjang,Perolehan Investasi Obligasi,Pencairan (Penempatan) Dana Yang Dibatasi Penggunaannya Dari Aktivitas Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan (Pembayaran) Piutang Pihak Berelasi,Perolehan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Dari Penerbitan Saham Biasa,Pembayaran Biaya Emisi Saham,Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Utang Bank Jangka Panjang,Perolehan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Dividen Kas Entitas Anak,Pembayaran Dividen,Penerimaan (Pengeluaran) Kas Lainnya,Penyetoran Modal Saham Entitas Anak Oleh Pemegang Saham Nonpengendali,Penyetoran Dividen Kas Entitas-Entitas Anak Kepada Pemegang Saham Non Pengendalinya,Perolehan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,89994877000.000000,3168994943000.000000,-2926971942000.000000,,-145590496000.000000,64876581000.000000,-27680042000.000000,,,-43634167000.000000,89994877000.000000,-89286791000.000000,-50277906000.000000,9598782000.000000,-1758041000.000000,-49251399000.000000,,,,,,,,,,2401773000.000000,-89286791000.000000,5325780000.000000,,41093788000.000000,-2597024000.000000,110000000000.000000,,,,-143794397000.000000,,,,,2038395000.000000,,,1255209000.000000,-2670191000.000000,5325780000.000000,6033866000.000000,15877044000.000000,,21910910000.000000
12M 2017,147174123000.000000,3435772540000.000000,-2991784016000.000000,,-180090268000.000000,8103577000.000000,-103024923000.000000,,,-21802787000.000000,147174123000.000000,-24788955000.000000,-35691679000.000000,2659289000.000000,,-234048000.000000,,,,,,,,,,8477483000.000000,-24788955000.000000,174689961000.000000,,197483000.000000,-125199000.000000,318750000000.000000,-10888783000.000000,,,-133425169000.000000,,,,,,,,3228924000.000000,-3047295000.000000,174689961000.000000,297075129000.000000,21910910000.000000,,318986039000.000000
12M 2018,-259927455000.000000,4292206700000.000000,-4086309182000.000000,-199427078000.000000,-127671760000.000000,10693801000.000000,-144430374000.000000,,14382628000.000000,-19372190000.000000,-259927455000.000000,41350508000.000000,-77881008000.000000,104131711000.000000,,-40289000.000000,,,,,,,,,,15140094000.000000,41350508000.000000,83361527000.000000,,,,,-2049835000.000000,,,-16000000000.000000,2411282409000.000000,-2229683562000.000000,-1242571000.000000,-80625000000.000000,,,,1680086000.000000,,83361527000.000000,-135215420000.000000,318986039000.000000,,183770619000.000000
12M 2019,550462013000.000000,4661186425000.000000,-3651067599000.000000,-132155764000.000000,-242505457000.000000,21991284000.000000,-95125457000.000000,,10860895000.000000,-22722314000.000000,550462013000.000000,-148272125000.000000,-151566048000.000000,3396610000.000000,,-420068000.000000,,,-134824000.000000,,,,,,,452205000.000000,-148272125000.000000,-240739391000.000000,10000000.000000,,,,,,,,2581721332000.000000,-2724610362000.000000,-1242476000.000000,-93750000000.000000,,195007000.000000,,-3062892000.000000,,-240739391000.000000,161450497000.000000,209492929000.000000,-4450475000.000000,366492951000.000000
12M 2020,536058768000.000000,3909329718000.000000,-2958642048000.000000,-102260466000.000000,-278840822000.000000,16991046000.000000,-50785239000.000000,,15512991000.000000,-15246412000.000000,536058768000.000000,-175429376000.000000,-97028814000.000000,6206251000.000000,,-589896000.000000,,,-117754000.000000,3272727000.000000,,,,-87482836000.000000,,310946000.000000,-175429376000.000000,-269671963000.000000,,,,,,11843832000.000000,,,1895303517000.000000,-2029168966000.000000,-1611000000.000000,-110625000000.000000,,,,,-35414346000.000000,-269671963000.000000,90957429000.000000,366492951000.000000,3014189000.000000,460464569000.000000
12M 2021,142033597000.000000,4381886944000.000000,-3707582381000.000000,-315565824000.000000,-142742453000.000000,23044516000.000000,-126175182000.000000,25351316000.000000,15491703000.000000,-11675042000.000000,142033597000.000000,-254073970000.000000,-222752948000.000000,2117377000.000000,,-212470000.000000,,,-7635536000.000000,,,,17731407000.000000,-43321800000.000000,,,-254073970000.000000,-194481715000.000000,1068226000.000000,,,,,,-6415755000.000000,-2571499000.000000,655387531000.000000,-649352506000.000000,-2273757000.000000,-187500000000.000000,,,,,-2823955000.000000,-194481715000.000000,-306522088000.000000,460464569000.000000,-1652886000.000000,152289595000.000000
12M 2022,209776561000.000000,5021238841000.000000,-4135952849000.000000,-359504128000.000000,-170735477000.000000,11124294000.000000,-152887833000.000000,3211030000.000000,8903037000.000000,-15620354000.000000,209776561000.000000,-24635528000.000000,-97094283000.000000,2465922000.000000,,-845197000.000000,,,-97500000.000000,,,,70935530000.000000,,,,-24635528000.000000,-117019757000.000000,17692850000.000000,,,,,,-5710546000.000000,-3017179000.000000,1215420609000.000000,-1131887654000.000000,-1382399000.000000,-206250000000.000000,,,,,-1885438000.000000,-117019757000.000000,68121276000.000000,152289595000.000000,6725253000.000000,227136124000.000000
12M 2023,508727345000.000000,4679409106000.000000,-3520131534000.000000,-389613778000.000000,-154568210000.000000,17484325000.000000,-122491893000.000000,913266000.000000,11687717000.000000,-13961654000.000000,508727345000.000000,-143796240000.000000,-70647212000.000000,878825000.000000,,-4203113000.000000,,,-32500000.000000,,,,40000000000.000000,,-109792240000.000000,,-143796240000.000000,-241531148000.000000,-5970000000.000000,,,,,,-6784693000.000000,-2814653000.000000,708537461000.000000,-742816218000.000000,-2224714000.000000,-187500000000.000000,,,,,-1958331000.000000,-241531148000.000000,123399957000.000000,227136124000.000000,-2472086000.000000,348063995000.000000
12M 2024,499885577000.000000,5216939086000.000000,-4056945523000.000000,-424616564000.000000,-159915391000.000000,10019018000.000000,-111376469000.000000,21649118000.000000,20301187000.000000,-16168885000.000000,499885577000.000000,-422674461000.000000,-48967076000.000000,1898350000.000000,,74370000.000000,,-2193578000.000000,,,,-11196000.000000,16945760000.000000,,-390421091000.000000,,-422674461000.000000,-315398402000.000000,,25250000000.000000,-21320000000.000000,,,,-5751828000.000000,-3078965000.000000,1167867924000.000000,-1175015590000.000000,-1457526000.000000,-300000000000.000000,,,,,-1892417000.000000,-315398402000.000000,-238187286000.000000,348063995000.000000,3466250000.000000,113342959000.000000
