Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,1163386.60,0.00,1043756.35,36 B,117 B,153 B,118 B,26 B
12M 2014,0.00,1792211.54,0.00,1696819.25,57 B,140 B,196 B,151 B,38 B
12M 2015,0.00,1684364.74,0.00,1637404.50,50 B,57 B,106 B,61 B,51 B
12M 2016,4.29,1351.75,4.32,1343.23,65 B,61 B,126 B,"(1,051 B)","1,192 B"
12M 2017,2.54,1453.96,2.57,1440.28,57 B,42 B,99 B,(689 B),"1,017 B"
12M 2018,1.37,1666.31,1.38,1649.77,54 B,21 B,76 B,(27 B),"1,038 B"
12M 2019,2.04,1770.24,2.06,1757.07,37 B,10 B,47 B,(45 B),"1,111 B"
12M 2020,1.70,1907.52,1.72,1892.65,26 B,6 B,32 B,(333 B),"1,150 B"
12M 2021,3.83,2402.44,3.88,2370.75,54 B,3 B,57 B,(551 B),"1,500 B"
12M 2022,2.27,2462.04,2.40,2334.78,51 B,2 B,53 B,(645 B),"1,235 B"
12M 2023,2.15,2515.39,2.38,2273.47,34 B,2 B,36 B,(506 B),"1,057 B"
12M 2024,1.02,2647.91,1.15,2340.10,68 B,3 B,72 B,(370 B),816 B
