Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Karyawan, Pemasok Dan Pihak Ketiga",Penghasilan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Uang Muka Pembelian Aset Tetap,Penambahan Aset Tidak Berwujud,Pengurangan Aset Hak Guna,Penempatan Deposito Berjangka,Penempatan Investasi Reksa Dana,Pencairan Deposito Berjangka,Penempatan Investasi Entitas Asosiasi,Penjualan Investasi Saham Di Entitas Anak,Penambahan Sewa Dibayar Dimuka,Pengurangan Aset Tidak Lancar,Penambahan Aset Tidak Lancar,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman,Pembayaran Pinjaman,Setoran Modal,Penerimaan Utang Jangka Panjang,Setoran Modal Oleh Kepentingan Non Pengendali,Pembayaran Utang Sewa Pembiayaan,Penambahan (Pembayaran) Utang Pembiayaan Konsumen,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Hak Guna,Pembayaran Dividen Tunai,Pembayaran Utang Jangka Panjang,Pengeluaran Kas Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Bank Entitas Anak Yang Didivestasi,Kas Dan Setara Kas Akhir Periode
12M 2013,82664729507.000000,998450124489.000000,-882124343497.000000,314121495.000000,,-33975172980.000000,82664729507.000000,-58951743659.000000,10005996978.000000,-65710684705.000000,,,-3247055932.000000,,,,,,,,,,-58951743659.000000,-14169151953.000000,79202390167.000000,-17212052654.000000,,,900000000.000000,-2542822800.000000,,,,-74516666666.000000,,,-14169151953.000000,9543833895.000000,2216720.000000,25037480949.000000,,34583531564.000000
12M 2014,105658756890.000000,1088735477081.000000,-951027899871.000000,1346266725.000000,,-33395087045.000000,105658756890.000000,-122641840192.000000,6472175906.000000,-128681106695.000000,,,-432909403.000000,,,,,,,,,,-122641840192.000000,27502982497.000000,44478211551.000000,-16299899703.000000,57000000000.000000,,2100000000.000000,-1775329351.000000,,,,-58000000000.000000,,,27502982497.000000,10519899195.000000,8739322.000000,34583531564.000000,,45112170081.000000
12M 2015,158164814201.000000,1188775478887.000000,-1001595246705.000000,658719502.000000,,-29674137483.000000,158164814201.000000,63410959044.000000,352974171130.000000,-320468406836.000000,,,-1313830250.000000,,,,,,32219025000.000000,,,,63410959044.000000,-219158670171.000000,65297000000.000000,-178512362606.000000,,,,-5943307565.000000,,,,-100000000000.000000,,,-219158670171.000000,2417103074.000000,4310634.000000,45112170081.000000,-2556663116.000000,44976920673.000000
12M 2016,119253694641.000000,1323567654952.000000,-1178320867767.000000,5146524169.000000,,-31139616713.000000,119253694641.000000,-72419299309.000000,4753157130.000000,-71298136750.000000,,,-5874319689.000000,,,,,,,,,,-72419299309.000000,1085679884918.000000,31130483347.000000,-10909653793.000000,1146525782799.000000,,,-6066727435.000000,,,,-75000000000.000000,,,1085679884918.000000,1132514280250.000000,-1279476.000000,44976920673.000000,,1177489921447.000000
12M 2017,93470000000.000000,1446715000000.000000,-1359733000000.000000,55454000000.000000,-8499000000.000000,-40467000000.000000,93470000000.000000,-409105000000.000000,717000000.000000,-199479000000.000000,,,-10343000000.000000,,-200000000000.000000,,,,,,,,-409105000000.000000,-73426000000.000000,20000000000.000000,-60139000000.000000,,,,-6847000000.000000,,,,-26440000000.000000,,,-73426000000.000000,-389061000000.000000,,1177490000000.000000,,788429000000.000000
12M 2018,239829000000.000000,1564985000000.000000,-1336319000000.000000,47668000000.000000,-5891000000.000000,-30614000000.000000,239829000000.000000,-844272000000.000000,353000000.000000,-181456000000.000000,-1167000000.000000,,-9087000000.000000,,-635000000000.000000,,,,,-17456000000.000000,,-459000000.000000,-844272000000.000000,-81502000000.000000,,-16545000000.000000,,,,-2733000000.000000,-1794000000.000000,,,-60319000000.000000,-111000000.000000,,-81502000000.000000,-685945000000.000000,,788429000000.000000,,102484000000.000000
12M 2019,341825000000.000000,1762168000000.000000,-1423618000000.000000,52072000000.000000,-3258000000.000000,-45539000000.000000,341825000000.000000,-241741000000.000000,965000000.000000,-77161000000.000000,-1938000000.000000,,-3615000000.000000,,-85000000000.000000,,,,,-75161000000.000000,169000000.000000,,-241741000000.000000,-110716000000.000000,,-20578000000.000000,,,,-817000000.000000,-1599000000.000000,,,-87725000000.000000,3000000.000000,,-110716000000.000000,-10632000000.000000,,102484000000.000000,,91852000000.000000
12M 2020,434631000000.000000,1879350000000.000000,-1447858000000.000000,42476000000.000000,-1524000000.000000,-37813000000.000000,434631000000.000000,5662000000.000000,640000000.000000,-130780000000.000000,-2717000000.000000,,-10260000000.000000,,,,150000000000.000000,,,-392000000.000000,,-829000000.000000,5662000000.000000,-167157000000.000000,,-10203000000.000000,,,,-437000000.000000,-1544000000.000000,,-49839000000.000000,-105131000000.000000,-3000000.000000,,-167157000000.000000,273136000000.000000,,91852000000.000000,,364988000000.000000
12M 2021,777266000000.000000,2606719000000.000000,-1736478000000.000000,33481000000.000000,-772000000.000000,-125684000000.000000,777266000000.000000,-333443000000.000000,2933000000.000000,-100069000000.000000,-4038000000.000000,,-24642000000.000000,-78577000000.000000,-130000000000.000000,,,,,,950000000.000000,,-333443000000.000000,-200978000000.000000,,-3427000000.000000,,,,,-1031000000.000000,,-35272000000.000000,-161248000000.000000,,,-200978000000.000000,242845000000.000000,,364988000000.000000,,607833000000.000000
12M 2022,459768000000.000000,2185231000000.000000,-1619219000000.000000,26047000000.000000,-414000000.000000,-131877000000.000000,459768000000.000000,65388000000.000000,963000000.000000,-133783000000.000000,-3794000000.000000,,-97720000000.000000,,399999000000.000000,-100000000000.000000,,,,,-277000000.000000,,65388000000.000000,-434586000000.000000,,-3427000000.000000,,,3000000000.000000,,2002000000.000000,,-63187000000.000000,-372974000000.000000,,,-434586000000.000000,90570000000.000000,,607833000000.000000,,698403000000.000000
