Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Liabilitas Keuangan Lainnya,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Keuangan Lainnya,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Keuangan Lainnya,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,34583531564.000000,,62491913167.000000,,,62491913167.000000,15056198441.000000,49872745407.000000,162004388579.000000,,41807328291.000000,1667024151.000000,272608322804.000000,8972268477.000000,26578920677.000000,351633864400.000000,513638252979.000000,,,136360265333.000000,4791979057.000000,,533744807.000000,31922932563.000000,32456677370.000000,22265141813.000000,44204544923.000000,,4143490101.000000,10942358543.000000,15085848644.000000,,14757920646.000000,1583476629.000000,,,16341397275.000000,1214676251.000000,136360265333.000000,288954280506.000000,,111542470788.000000,1147068180.000000,,,112689538968.000000,,,3945019229.000000,3945019229.000000,172319722309.000000,288954280506.000000,425314545839.000000,,18000000000.000000,,125451752831.000000,,,125451752831.000000,1069712308.000000,-56197758000.000000,88323707139.000000,513638252978.000000,75000.000000
12M 2014,,,45112170081.000000,,74473362154.000000,,,74473362154.000000,19732082484.000000,44180716087.000000,183498330806.000000,,52444278229.000000,2656959253.000000,362906950176.000000,7154421360.000000,25670475251.000000,450833084269.000000,634331415075.000000,,,145870962641.000000,5731684721.000000,,223434416.000000,30491621831.000000,30715056247.000000,13284127781.000000,43925316753.000000,,600000000.000000,18862952550.000000,19462952550.000000,,27959102368.000000,3581539935.000000,,,31540642303.000000,1211182286.000000,145870962641.000000,354206377251.000000,,122649568435.000000,5963382670.000000,,,128612951105.000000,,3916807849.000000,7038454853.000000,10955262702.000000,214638163444.000000,354206377251.000000,500077339892.000000,,75000000000.000000,,126011984286.000000,,,126011984286.000000,-161790113.000000,-66596118990.000000,134254075183.000000,634331415075.000000,75000.000000
12M 2015,,,44976920673.000000,,78407626563.000000,,,78407626563.000000,25785616043.000000,46866167822.000000,196036331101.000000,,60800714387.000000,83745575348.000000,196284269448.000000,3522017873.000000,37477120491.000000,381829697547.000000,577866028648.000000,,,145095917230.000000,1000000000.000000,,701250478.000000,42359391573.000000,43060642051.000000,14989044356.000000,34709974520.000000,,510757964.000000,29436811461.000000,29947569425.000000,,13538614659.000000,5316540529.000000,,,18855155188.000000,2533531690.000000,145095917230.000000,306442756132.000000,,50363348180.000000,4785372913.000000,,,55148721093.000000,,766807849.000000,656766881.000000,1423574730.000000,249870460309.000000,306442756132.000000,451538673362.000000,,75000000000.000000,25370362828.000000,85036978708.000000,,,85036978708.000000,,-59079986250.000000,126327355286.000000,577866028648.000000,75000.000000
12M 2016,,,1177489921448.000000,,113504057587.000000,,,113504057587.000000,19125203237.000000,74536603022.000000,1384655785294.000000,,73919232297.000000,4384036850.000000,225645337963.000000,7986018071.000000,127455680204.000000,439390305385.000000,1824046090679.000000,,,192926324556.000000,23460651983.000000,,1056090292.000000,39240151598.000000,40296241890.000000,14801975346.000000,71360425087.000000,,1029278379.000000,17858400981.000000,18887679360.000000,,16667539353.000000,5873188127.000000,,,22540727480.000000,1578623410.000000,192926324556.000000,363853123262.000000,,55904254851.000000,4685467722.000000,,,60589722573.000000,,182802500.000000,656666880.000000,839469380.000000,302423931309.000000,363853123262.000000,556779447818.000000,,93750000000.000000,1153146145627.000000,98171966234.000000,,,98171966234.000000,,-77801469000.000000,1267266642861.000000,1824046090679.000000,937500000.000000
12M 2017,,,788429000000.000000,200000000000.000000,132807000000.000000,,,132807000000.000000,27703000000.000000,14912000000.000000,1163851000000.000000,,74673000000.000000,36000000.000000,410272000000.000000,12831000000.000000,186538000000.000000,684350000000.000000,1848201000000.000000,,,147117000000.000000,,,,46099000000.000000,46099000000.000000,7750000000.000000,34319000000.000000,,112000000.000000,36580000000.000000,36692000000.000000,,16546000000.000000,3646000000.000000,,,20192000000.000000,2065000000.000000,147117000000.000000,337994000000.000000,,39348000000.000000,2078000000.000000,,,41426000000.000000,,,756000000.000000,756000000.000000,295812000000.000000,337994000000.000000,485111000000.000000,,93750000000.000000,1153146000000.000000,104617000000.000000,5000000000.000000,99617000000.000000,104617000000.000000,,11577000000.000000,1363090000000.000000,1848201000000.000000,937500000.000000
12M 2018,,,102484000000.000000,835000000000.000000,164537000000.000000,,,164537000000.000000,33970000000.000000,66104000000.000000,1202095000000.000000,,45621000000.000000,,519806000000.000000,15511000000.000000,147348000000.000000,728286000000.000000,1930381000000.000000,,,164283000000.000000,,,741000000.000000,47335000000.000000,48076000000.000000,23471000000.000000,38143000000.000000,,945000000.000000,30961000000.000000,31906000000.000000,,20579000000.000000,703000000.000000,1233000000.000000,,22515000000.000000,172000000.000000,164283000000.000000,203932000000.000000,,18770000000.000000,551000000.000000,1209000000.000000,,20530000000.000000,,,646000000.000000,646000000.000000,182756000000.000000,203932000000.000000,368215000000.000000,,93750000000.000000,1153146000000.000000,298963000000.000000,5000000000.000000,293963000000.000000,298963000000.000000,,16307000000.000000,1562166000000.000000,1930381000000.000000,937500000.000000
12M 2019,,,91852000000.000000,920000000000.000000,146995000000.000000,,,146995000000.000000,32650000000.000000,62853000000.000000,1254350000000.000000,,49635000000.000000,12000000.000000,517906000000.000000,12344000000.000000,176720000000.000000,756617000000.000000,2010967000000.000000,,,143554000000.000000,,,1500000000.000000,42032000000.000000,43532000000.000000,26427000000.000000,36656000000.000000,,1846000000.000000,22578000000.000000,24424000000.000000,,10202000000.000000,437000000.000000,1506000000.000000,,12145000000.000000,370000000.000000,143554000000.000000,207814000000.000000,,8569000000.000000,,1149000000.000000,,9718000000.000000,,,649000000.000000,649000000.000000,197447000000.000000,207814000000.000000,351368000000.000000,,93750000000.000000,1153146000000.000000,395448000000.000000,5000000000.000000,390448000000.000000,395448000000.000000,,17255000000.000000,1659599000000.000000,2010967000000.000000,937500000.000000
12M 2020,,,364988000000.000000,769554000000.000000,138525000000.000000,,,138525000000.000000,68199000000.000000,18746000000.000000,1360012000000.000000,,43342000000.000000,12000000.000000,567933000000.000000,13935000000.000000,246818000000.000000,872040000000.000000,2232052000000.000000,,,210155000000.000000,,,2810000000.000000,79390000000.000000,82200000000.000000,51783000000.000000,32247000000.000000,,818000000.000000,20776000000.000000,21594000000.000000,,3427000000.000000,,976000000.000000,17579000000.000000,21982000000.000000,349000000.000000,210155000000.000000,233598000000.000000,,5141000000.000000,,423000000.000000,16351000000.000000,21915000000.000000,,,646000000.000000,646000000.000000,211037000000.000000,233598000000.000000,443753000000.000000,,93750000000.000000,1153146000000.000000,524148000000.000000,5000000000.000000,519148000000.000000,524148000000.000000,,17255000000.000000,1788299000000.000000,2232052000000.000000,937500000.000000
12M 2021,,,607833000000.000000,899850000000.000000,185773000000.000000,180716000000.000000,5057000000.000000,185773000000.000000,46541000000.000000,29060000000.000000,1769057000000.000000,,39659000000.000000,,596070000000.000000,29716000000.000000,284062000000.000000,949507000000.000000,2718564000000.000000,,,268910000000.000000,,,750000000.000000,59748000000.000000,60498000000.000000,87498000000.000000,56113000000.000000,,2206000000.000000,47904000000.000000,50110000000.000000,,3427000000.000000,,420000000.000000,9792000000.000000,13639000000.000000,1052000000.000000,268910000000.000000,197362000000.000000,,1714000000.000000,,244000000.000000,17298000000.000000,19256000000.000000,,,646000000.000000,646000000.000000,177460000000.000000,197362000000.000000,466272000000.000000,,93750000000.000000,1153146000000.000000,1000586000000.000000,5000000000.000000,995586000000.000000,1000586000000.000000,,4810000000.000000,2252292000000.000000,2718564000000.000000,937500000.000000
12M 2022,,,698403000000.000000,499951000000.000000,182293000000.000000,174433000000.000000,7860000000.000000,182293000000.000000,45168000000.000000,39165000000.000000,1464980000000.000000,,25154000000.000000,,684210000000.000000,119305000000.000000,375942000000.000000,1204611000000.000000,2669591000000.000000,,,230224000000.000000,,,774000000.000000,54015000000.000000,54789000000.000000,56245000000.000000,55443000000.000000,,1916000000.000000,46444000000.000000,48360000000.000000,,1714000000.000000,,1115000000.000000,11363000000.000000,14192000000.000000,1195000000.000000,230224000000.000000,128223000000.000000,,,,1551000000.000000,15801000000.000000,17352000000.000000,,,646000000.000000,646000000.000000,110225000000.000000,128223000000.000000,358447000000.000000,,93750000000.000000,1153146000000.000000,1060322000000.000000,5000000000.000000,1055322000000.000000,1060322000000.000000,2979000000.000000,947000000.000000,2311144000000.000000,2669591000000.000000,937500000.000000
