Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,-841.05,-0.00,0.00,,-0.72%,-0.90%,-1.53%,
12M 2021,0.96 B,0.71,0.00,0.00,,1.44%,1.47%,1.71%,
12M 2022,0.96 B,1.69,25.44,4.14,,2.30%,2.36%,3.27%,
12M 2023,1.20 B,0.19,210.53,4.66,,0.32%,0.33%,0.37%,
