Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak,Pembayaran Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Properti Investasi,Perolehan Aset Tetap,Penerimaan Piutang Lain-Lain,Uang Muka Pembuatan Keramba Kerapu,Penerimaan (Pembayaran) Kepada Pemegang Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Dana Penawaran Saham Perdana,Pembayaran Utang Kepada Pemegang Saham,Peningkatan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,1028481275.000000,2616171600.000000,-305097900.000000,-623000000.000000,,-659592425.000000,1028481275.000000,-30752089400.000000,-30750000000.000000,-2089400.000000,,,,-30752089400.000000,32305189219.000000,,-4694810781.000000,37000000000.000000,32305189219.000000,2581581094.000000,,102781471.000000,2684362565.000000
12M 2021,1203932887.000000,4894812508.000000,-1682067891.000000,-1165731116.000000,,-843080614.000000,1203932887.000000,939998000.000000,-1811250000.000000,,2751248000.000000,,,939998000.000000,-1768549219.000000,,-7768549219.000000,6000000000.000000,-1768549219.000000,375381668.000000,,2684362565.000000,3059744233.000000
12M 2022,1389267341.000000,6905500184.000000,-5099705218.000000,-1100672754.000000,,684145129.000000,1389267341.000000,-38674999.000000,,-38674999.000000,,,,-38674999.000000,20826875000.000000,20826875000.000000,,,20826875000.000000,22177467342.000000,,3059744234.000000,25237211576.000000
12M 2023,-1000734913.000000,10020186868.000000,-6179456148.000000,-1621693077.000000,,-3219772556.000000,-1000734913.000000,-1703900000.000000,,,,-1703900000.000000,,-1703900000.000000,,,,,,-2704634913.000000,,25237211576.000000,22532576663.000000
