Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Properti Investasi,Aset Tetap,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,2684362565.000000,461300008.000000,106425004.000000,354875004.000000,461300008.000000,23000000.000000,23000000.000000,,23000000.000000,34650000.000000,3203312573.000000,,2751248000.000000,2751248000.000000,,2751248000.000000,41143408900.000000,1295450479.000000,,425000000.000000,45615107379.000000,48818419952.000000,,,1113643760.000000,7250000.000000,104672160.000000,,1001721600.000000,1113643760.000000,8285169126.000000,7768549219.000000,516619907.000000,8285169126.000000,9398812886.000000,,42000000000.000000,,-2562246520.000000,,,-2562246520.000000,-18146414.000000,39419607066.000000,48818419952.000000,420000.000000
12M 2021,,,3059744233.000000,477500000.000000,445000000.000000,32500000.000000,477500000.000000,,,,,182468000.000000,3719712233.000000,,,,,,42126571300.000000,973828155.000000,,456360000.000000,43556759455.000000,47276471688.000000,,,654941370.000000,112375000.000000,270566370.000000,22000000.000000,250000000.000000,654941370.000000,488663990.000000,,488663990.000000,488663990.000000,1143605360.000000,,48000000000.000000,,-1882192470.000000,,,-1882192470.000000,15058798.000000,46132866328.000000,47276471688.000000,960000000.000000
12M 2022,,,25237211576.000000,3188224004.000000,2634129004.000000,554095000.000000,3188224004.000000,,,,,156021800.000000,28581457380.000000,,,,,,41298483700.000000,696880830.000000,,,41995364530.000000,70576821910.000000,,,1448613503.000000,42375000.000000,727408503.000000,63630000.000000,615200000.000000,1448613503.000000,561712109.000000,,561712109.000000,561712109.000000,2010325612.000000,,60000000000.000000,8826875000.000000,-261357470.000000,,,-261357470.000000,978768.000000,68566496298.000000,70576821910.000000,960000000.000000
12M 2023,,,22532576663.000000,3826159500.000000,2602159750.000000,1223999750.000000,3826159500.000000,,,,,4166540600.000000,30525276763.000000,,,,,,40485331927.000000,381589730.000000,,,40866921657.000000,71392198420.000000,,,1940101298.000000,206892000.000000,505805198.000000,263630000.000000,963774100.000000,1940101298.000000,664256055.000000,,664256055.000000,664256055.000000,2604357353.000000,,60000000000.000000,8826875000.000000,-34061071.000000,,,-34061071.000000,-4972862.000000,68787841067.000000,71392198420.000000,1200000000.000000
