Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,2255906000.000000,-1109535500.000000,1146370500.000000,-1511718080.000000,-1511718080.000000,-1511718080.000000,-365347580.000000,12108562.000000,12108562.000000,12108562.000000,-353239018.000000,,,,,,-353239018.000000,-39394166.000000,,-39394166.000000,-392633184.000000,-353239018.000000,-353239018.000000,,-353239018.000000,-392633184.000000,-392633184.000000,,-392633184.000000
12M 2021,5662734100.000000,-2467462491.000000,3195271609.000000,-2389387769.000000,-2389387769.000000,-2389387769.000000,805883840.000000,5956240.000000,5956240.000000,5956240.000000,811840080.000000,-131786030.000000,,,-131786030.000000,,680054050.000000,33205212.000000,,33205212.000000,713259262.000000,680054050.000000,680054050.000000,,680054050.000000,713259262.000000,713259262.000000,,713259262.000000
12M 2022,9981424190.000000,-5040680157.000000,4940744033.000000,-3051062656.000000,-3051062656.000000,-3051062656.000000,1889681377.000000,52072087.000000,52072087.000000,52072087.000000,1941753464.000000,-320918464.000000,,,-320918464.000000,,1620835000.000000,-14080030.000000,,-14080030.000000,1606754970.000000,1620835000.000000,1620835000.000000,,1620835000.000000,1606754970.000000,1606754970.000000,,1606754970.000000
12M 2023,10309548266.000000,-7157124921.000000,3152423345.000000,-2898590425.000000,-2898590425.000000,-2898590425.000000,253832920.000000,16911077.000000,16911077.000000,16911077.000000,270743997.000000,-43447598.000000,,,-43447598.000000,,227296399.000000,-5951629.000000,,-5951629.000000,221344770.000000,227296399.000000,227296399.000000,,227296399.000000,221344770.000000,221344770.000000,,221344770.000000
