Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,10621571.06,0.00,8534190.94,26 B,67 B,93 B,76 B,(24 B)
12M 2011,0.00,111.29,0.00,110.59,34 B,408 B,442 B,395 B,(134 B)
12M 2012,0.00,133.09,0.00,87.44,226 B,314 B,540 B,380 B,(174 B)
12M 2013,1.23,191.04,1.47,160.14,109 B,380 B,490 B,284 B,38 B
12M 2014,0.75,183.35,0.90,153.43,97 B,457 B,553 B,446 B,(30 B)
12M 2015,0.41,157.80,0.50,129.03,163 B,392 B,555 B,444 B,(120 B)
12M 2016,0.41,143.20,0.49,117.55,196 B,331 B,527 B,427 B,(99 B)
12M 2017,0.38,146.30,0.46,121.73,115 B,295 B,410 B,303 B,(24 B)
12M 2018,0.47,164.17,0.55,139.64,55 B,110 B,165 B,(5 B),131 B
12M 2019,0.69,172.07,0.80,147.55,45 B,81 B,126 B,(54 B),142 B
12M 2020,0.45,121.32,0.50,109.07,122 B,73 B,194 B,84 B,(22 B)
12M 2021,0.73,103.30,0.82,91.11,128 B,70 B,198 B,114 B,(58 B)
12M 2022,0.86,113.79,0.91,107.75,107 B,89 B,196 B,53 B,53 B
12M 2023,0.64,131.93,0.68,125.41,130 B,90 B,220 B,(18 B),78 B
12M 2024,0.58,154.22,0.60,148.77,80 B,44 B,124 B,(133 B),154 B
