Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Aset Dalam Pelaksanaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Goodwill,Adjustment,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Pemegang Saham,Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,17469564424.000000,4685000000.000000,,26546104373.000000,,,26546104373.000000,1898339212.000000,1965536406.000000,3483265324.000000,18327749981.000000,5078523812.000000,79454083532.000000,,,,1027783863.000000,1092306376.000000,113123657452.000000,2922332170.000000,,,18352651254.000000,136518731115.000000,,215972814647.000000,,,103744792539.000000,,40065839604.000000,,,40065839604.000000,3205140664.000000,3458078418.000000,17854586470.000000,20457823448.000000,,3348655429.000000,2046822117.000000,,5395477546.000000,,13307846389.000000,103744792539.000000,91742329318.000000,,66434846530.000000,760136070.000000,,67194982600.000000,,,,,24547346718.000000,91742329318.000000,195487121857.000000,,1400000000.000000,13470199483.000000,,,,,5615493307.000000,,20485692790.000000,215972814647.000000,1400.000000
12M 2011,,,46861132927.000000,4865980000.000000,,40796260014.000000,,,40796260014.000000,7165841603.000000,1643667179.000000,6555709969.000000,23593738331.000000,8907011085.000000,140389341108.000000,,3899682037.000000,,3277494161.000000,21932653982.000000,831494985773.000000,2088603502.000000,,,52601607549.000000,915295027004.000000,,1055684368112.000000,,,274645310689.000000,,38043916167.000000,,,38043916167.000000,113557481336.000000,19637227901.000000,41511702245.000000,11005388028.000000,,21075766132.000000,1632918950.000000,,22708685082.000000,,28180909930.000000,274645310689.000000,412745090798.000000,,407709457349.000000,580058568.000000,,408289515917.000000,,,,,4455574881.000000,412745090798.000000,687390401487.000000,,299096427900.000000,33753083347.000000,,,,,35444455378.000000,,368293966625.000000,1055684368112.000000,2990964297.000000
12M 2012,,,160434282362.000000,324500000.000000,,95193361096.000000,,,95193361096.000000,18751237974.000000,3026845820.000000,5699427775.000000,53102219705.000000,30701388388.000000,367233263120.000000,,3937812594.000000,,4595805339.000000,20222767237.000000,787702667924.000000,23858754516.000000,112683655714.000000,,98218542914.000000,1051220006238.000000,,1418453269358.000000,,,540895816579.000000,164725000000.000000,73896853600.000000,,,73896853600.000000,143679938993.000000,20081817644.000000,46454346015.000000,30275063028.000000,,28441372065.000000,2601637341.000000,,31043009406.000000,,30739787893.000000,540895816579.000000,324129334156.000000,,311303500277.000000,2627233568.000000,,313930733845.000000,1221961417.000000,,,,8976638894.000000,324129334156.000000,865025150735.000000,,299096427900.000000,98982696741.000000,,,,,155348993982.000000,,553428118623.000000,1418453269358.000000,2990964297.000000
12M 2013,,,205518794338.000000,375000000.000000,,149362322677.000000,145560328751.000000,3801993926.000000,149362322677.000000,21012740906.000000,4198882305.000000,12293656638.000000,27149003132.000000,11115222251.000000,431025622247.000000,,3064727051.000000,21795000000.000000,5101654353.000000,27419807958.000000,1105253062868.000000,19363753536.000000,112683655714.000000,,67891990269.000000,1362573651749.000000,,1793599273996.000000,,,393510994017.000000,1695000000.000000,,77223420814.000000,2158994289.000000,79382415103.000000,91882149267.000000,22038299102.000000,57464255790.000000,25673346419.000000,,78747663515.000000,3044356744.000000,,81792020259.000000,,33583508077.000000,393510994017.000000,395753222642.000000,,377669002026.000000,2824324656.000000,,380493326682.000000,1756525798.000000,,,,13503370162.000000,395753222642.000000,789264216659.000000,,427296427900.000000,265825972776.000000,139884154720.000000,15000000000.000000,124884154720.000000,139884154720.000000,188033704441.000000,-16705202500.000000,1004335057337.000000,1793599273996.000000,4272964279.000000
12M 2014,,,107238237591.000000,100000000.000000,,134241551741.000000,131270175275.000000,2971376466.000000,134241551741.000000,16403632329.000000,6347069054.000000,7454206896.000000,22968705050.000000,11024611677.000000,305778014338.000000,,2265560294.000000,,5382795562.000000,52004560856.000000,1196445465908.000000,15130184636.000000,112683655714.000000,,75503980150.000000,1459416203120.000000,,1765194217458.000000,,,335528352176.000000,3955314585.000000,,60358805193.000000,1579455903.000000,61938261096.000000,77390496987.000000,22547135292.000000,47679596836.000000,26486268891.000000,,63490226154.000000,2585919942.000000,,66076146096.000000,,29455132393.000000,335528352176.000000,472454206354.000000,,456018906003.000000,886484088.000000,,456905390091.000000,,,,,15548816263.000000,472454206354.000000,807982558530.000000,,427296427900.000000,265825972776.000000,113967402794.000000,20000000000.000000,93967402794.000000,113967402794.000000,173778352592.000000,-23656497134.000000,957211658928.000000,1765194217458.000000,4272964279.000000
12M 2015,,,110985848958.000000,62500000.000000,,126875767655.000000,118975414396.000000,7900353259.000000,126875767655.000000,14786345966.000000,6502331887.000000,12275847639.000000,20173741815.000000,10282624390.000000,301945008310.000000,,1497010627.000000,,5105585136.000000,51110088915.000000,1097675326024.000000,10260916238.000000,112683655714.000000,,68457859750.000000,1346790442404.000000,,1648735450714.000000,,,421609150733.000000,88689215905.000000,,64694542827.000000,8490531153.000000,73185073980.000000,72866119151.000000,24681611766.000000,44663185872.000000,22381044069.000000,,50372021719.000000,1783304670.000000,,52155326389.000000,,42987573601.000000,421609150733.000000,411012785559.000000,,390254382034.000000,1256268515.000000,,391510650549.000000,,,,,19502135010.000000,411012785559.000000,832621936292.000000,,427296427900.000000,265825972776.000000,4810227567.000000,20000000000.000000,-15189772433.000000,4810227567.000000,141837383313.000000,-23656497134.000000,816113514422.000000,1648735450714.000000,4272964279.000000
12M 2016,,,99649817797.000000,347500000.000000,,121597142663.000000,117516960300.000000,4080182363.000000,121597142663.000000,10914264753.000000,6084789534.000000,21652010618.000000,17253485265.000000,18344332858.000000,295843343488.000000,,,,13192433453.000000,53083414724.000000,1004866671934.000000,5394066799.000000,104208437475.000000,,61501466956.000000,1242246491341.000000,,1538089834829.000000,,,394770172543.000000,118400000000.000000,,70938900919.000000,5900424192.000000,76839325111.000000,21140571931.000000,32843621183.000000,24949586135.000000,34974400041.000000,,40634926772.000000,1609158469.000000,,42244085241.000000,,43378582901.000000,394770172543.000000,354286409660.000000,,326791158882.000000,4101726958.000000,,330892885840.000000,,,,,23393523820.000000,354286409660.000000,749056582203.000000,,427296427900.000000,265825972776.000000,-54244202433.000000,20000000000.000000,-74244202433.000000,-54244202433.000000,177151248166.000000,-26996193783.000000,789033252626.000000,1538089834829.000000,4272964279.000000
12M 2017,,,107403156431.000000,337500000.000000,,146218829256.000000,141238158726.000000,4980670530.000000,146218829256.000000,11783562496.000000,6022765381.000000,13243687542.000000,11592400345.000000,13858158010.000000,310460059461.000000,,,,23955066748.000000,19453644572.000000,945271959489.000000,778976408.000000,104208437475.000000,,48552641001.000000,1142220725693.000000,,1452680785154.000000,,,334516531193.000000,54387400000.000000,,74784754937.000000,12346040807.000000,87130795744.000000,31438322920.000000,27996336197.000000,28827382033.000000,17101261886.000000,,41745126561.000000,1808770078.000000,,43553896639.000000,,44081135774.000000,334516531193.000000,326852113407.000000,,288726806783.000000,6487603336.000000,,295214410119.000000,,,,,31637703288.000000,326852113407.000000,661368644600.000000,,427296427900.000000,,-46596754804.000000,20000000000.000000,-66596754804.000000,-46596754804.000000,166180489226.000000,244431978232.000000,791312140554.000000,1452680785154.000000,4272964279.000000
12M 2018,,,169591998589.000000,128750000.000000,1104970828.000000,147890743405.000000,145698274479.000000,2192468926.000000,147890743405.000000,38071984209.000000,7762806203.000000,17541394297.000000,12900220901.000000,11631543206.000000,406624411638.000000,,,,8471998684.000000,20253995313.000000,668004938529.000000,568788251.000000,104208437475.000000,,21793433833.000000,823301592085.000000,,1229926003723.000000,,,275705870972.000000,24913999847.000000,,61668710001.000000,17520881707.000000,79189591708.000000,19857509742.000000,40153795561.000000,22553412186.000000,4500000.000000,,27392178531.000000,2322819622.000000,,29714998153.000000,,59318063775.000000,275705870972.000000,140926455842.000000,,103434955195.000000,6432496745.000000,,109867451940.000000,,,,,31059003902.000000,140926455842.000000,416632326814.000000,,427296427900.000000,,30122394104.000000,20000000000.000000,10122394104.000000,30122394104.000000,111819918406.000000,244054936499.000000,813293676909.000000,1229926003723.000000,4272964279.000000
12M 2019,,,180559323060.000000,,1681987500.000000,155653482211.000000,147968178066.000000,7685304145.000000,155653482211.000000,12896306771.000000,6878318623.000000,34902775226.000000,20416366735.000000,10665755068.000000,423654315194.000000,,,,8176154871.000000,32628272326.000000,623057370408.000000,548749801.000000,104208437475.000000,,22768091862.000000,791387076743.000000,,1215041391937.000000,,,281656341780.000000,15499988926.000000,,49093462198.000000,4304790433.000000,53398252631.000000,17282248315.000000,74175847456.000000,22294075291.000000,,,27392178531.000000,2178371124.000000,,29570549655.000000,,69435379506.000000,281656341780.000000,108411097142.000000,,76042776664.000000,5117643199.000000,,81160419863.000000,,,,,27250677279.000000,108411097142.000000,390067438922.000000,,427296427900.000000,,40263451910.000000,20000000000.000000,20263451910.000000,40263451910.000000,89721921627.000000,267692151578.000000,824973953015.000000,1215041391937.000000,4272964279.000000
