Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Penghasilan Bunga,Pembayaran Kepada Pemasok Dan Lain-Lain,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Pajak Penghasilan,Pembayaran Beban Keuangan,Penerimaan Tagihan Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pelepasan Aset Tetap,Penerimaan Pelepasan Investasi Saham,Penerimaan Pelepasan Investasi Jangka Pendek,"Penerimaan Pelepasan Penyerataan Saham Entitas Anak, Setelah Dikurangi Kas Dan Setara Kas Dan Bank Overdraft Yang Dilepas",Peningkatan Kas Neto Dari Transaksi Akuisisi Entitas Anak,Penambahan Penyertaan Saham - Neto,Penambahan Sewa Tanah Dibayar Di Muka,Penambahan Piutang Dari Pihak-Pihak Berelasi,Penurunan Piutang Dari Pihak Berelasi,Penambahan Aset Lain-Lain,Penurunan Aset Lain-Lain,Penambahan Investasi Jangka Pendek,Penerimaan Pelepasan Penyertaan Saham,Penerimaan Dividen,Penurunan (Penambahan) Kas Di Bank Yang Dibatasi Penggunaannya,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Pinjaman Bank,Penambahan Utang Sewa Pembiayaan Dan Pembiayaan Konsumen,Penambahan Setoran Modal,Peningkatan Modal Saham Entitas Anak Oleh Kepentingan Nonpengendali,Pembayaran Pinjaman Bank,Penerimaan (Pengembalian) Pinjaman Pihak Berelasi - Neto,Pembayaran Utang Sewa Pembiayaan Dan Dan Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Dividen,Pembayaran Dividen Kepada Pemilik Modal Entitas Induk,Pembayaran Dividen Kepada Kepentingan Non-Pengendali Entitas Anak,Penerbitan Saham Baru,Penawaran Umum Saham Perdana,Penerimaan Dari Pelepasan Kepentingan Pada Entitas Anak,Uang Muka Setoran Modal Dari Kepentingan Non-Pengendali Entitas Anak,Setoran Modal Saham Dari Kepentingan Non Pengendali,Akuisisi Modal Saham Entitas Anak Dari Kepentingan Non Pengendali,Modal Saham Dari Entitas Anak,Pembayaran Biaya Emisi Efek Ekuitas,Penjualan Saham Treasuri,Pembelian Saham Treasuri,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Entitas Anak Yang Dikonsolidasi,Kas Dan Setara Kas Akhir Periode
12M 2011,74431916107.000000,378088507878.000000,352360780.000000,-240213884648.000000,-48981959127.000000,-7346543101.000000,-7466565675.000000,,74431916107.000000,-348399153294.000000,-29288123438.000000,,1802789622.000000,,2420826623.000000,,,-318656309900.000000,,,,-3279207098.000000,,-3851980000.000000,2668000000.000000,,,-215149103.000000,-348399153294.000000,283548562421.000000,41500000000.000000,657110000.000000,297696427901.000000,,-26635427316.000000,-21045254361.000000,-1624293803.000000,,,-7000000000.000000,,,,,,,,,,,,,283548562421.000000,9581325234.000000,17469564424.000000,19810243269.000000,46861132927.000000
12M 2012,23004047752.000000,570606162937.000000,2970193201.000000,-408657525820.000000,-93651789097.000000,-10281509407.000000,-37981484062.000000,,23004047752.000000,-110489568805.000000,-228624561095.000000,,14214575775.000000,,5728199434.000000,,,-4957728292.000000,,,,-24267741064.000000,,-1000999230.000000,129828000000.000000,,,-1409314333.000000,-110489568805.000000,201058670488.000000,264361521923.000000,4366879122.000000,3671000000.000000,,-58150199219.000000,-10238806374.000000,-2633524964.000000,,,-318200000.000000,,,,,,,,,,,,,201058670488.000000,113573149435.000000,46861132927.000000,,160434282362.000000
12M 2013,5958442426.000000,854950163378.000000,11205962443.000000,-656866333235.000000,-137900103153.000000,-23925692987.000000,-41505554020.000000,,5958442426.000000,-366564003045.000000,-363658604691.000000,,1844146662.000000,,999539417.000000,,,-5872370000.000000,,,,-2414361209.000000,,-1641959250.000000,4602347280.000000,,,-422741254.000000,-366564003045.000000,405690072595.000000,222283165290.000000,4532604393.000000,,,-268641372092.000000,18334599964.000000,-3892793902.000000,,,-8545928558.000000,,,,448700000000.000000,,9625000000.000000,,,,,,-16705202500.000000,405690072595.000000,45084511976.000000,160434282362.000000,,205518794338.000000
12M 2014,19867623390.000000,930411569910.000000,7118070677.000000,-696189684181.000000,-134204903714.000000,-29250126820.000000,-58017302482.000000,,19867623390.000000,-179036264632.000000,-190736791346.000000,,15758160466.000000,,,,,-9627786000.000000,,,,-2643118098.000000,,,10090247641.000000,650000000.000000,-1634825545.000000,-892151750.000000,-179036264632.000000,60888084495.000000,130661548130.000000,,,,-57317067304.000000,2218323333.000000,-5525291327.000000,,,-12631718337.000000,,-6449000000.000000,,,,,9931290000.000000,,,,,,60888084495.000000,-98280556747.000000,205518794338.000000,,107238237591.000000
12M 2015,24884495717.000000,798377958431.000000,5766303537.000000,-558622202482.000000,-152511112220.000000,-13977041581.000000,-54149409968.000000,,24884495717.000000,-42460553652.000000,-93701480171.000000,,2577918979.000000,,,,,-1110000000.000000,,,,7664558139.000000,,,42697643396.000000,,-289688995.000000,-299505000.000000,-42460553652.000000,21323669302.000000,139133623476.000000,,,,-111274211867.000000,54358584.000000,-431632891.000000,,,,,-6158468000.000000,,,,,,,,,,,21323669302.000000,3747611367.000000,107238237591.000000,,110985848958.000000
12M 2016,48481680.000000,905292673874.000000,3140484655.000000,-678152999674.000000,-161174442602.000000,-10616805126.000000,-58440429447.000000,,48481680.000000,21513041732.000000,-19523794078.000000,,1055983750.000000,,,,,,,,,935828726.000000,,,39651039116.000000,,-524142782.000000,-81873000.000000,21513041732.000000,-32897554573.000000,315017741868.000000,,,,-357213134343.000000,15513612522.000000,-2102335565.000000,,,,,-2871439055.000000,,,,,,,-1242000000.000000,,,,-32897554573.000000,-11336031161.000000,110985848958.000000,,99649817797.000000
12M 2017,37061895563.000000,837645742928.000000,2294038124.000000,-590073562649.000000,-146167131832.000000,-11195317958.000000,-55441873050.000000,,37061895563.000000,85332939674.000000,-29033597148.000000,,69060692479.000000,,,,,512000000.000000,,,,1450979292.000000,,,43400000000.000000,,-43653000.000000,-13481949.000000,85332939674.000000,-114641496603.000000,195207968789.000000,,,,-296943715211.000000,-7525190392.000000,-2134660106.000000,,,,,-3245899683.000000,,,,,,,,,,,-114641496603.000000,7753338634.000000,99649817797.000000,,107403156431.000000
12M 2018,135322387752.000000,1048280204298.000000,2760781541.000000,-718258142830.000000,-149125369364.000000,-18716647594.000000,-30349248861.000000,730810562.000000,135322387752.000000,84079739223.000000,-42527640387.000000,,60910916207.000000,,,,,-3663303779.000000,,,3477547255.000000,,2317111214.000000,,62296676937.000000,,1298636322.000000,-30204546.000000,84079739223.000000,-157213284817.000000,387726332603.000000,,,,-525345656610.000000,-17096761886.000000,-2153602703.000000,,,,,-3457187223.000000,,,,,,,,,3113591002.000000,,-157213284817.000000,62188842158.000000,107403156431.000000,,169591998589.000000
12M 2019,60714286481.000000,980515216327.000000,6031173181.000000,-683117888214.000000,-217614470850.000000,-11349914574.000000,-13749829389.000000,,60714286481.000000,-7441841681.000000,-18885495836.000000,,2968031000.000000,,158000000.000000,,,-15061643360.000000,,-22564523.000000,,-340187340.000000,,,22845000000.000000,1500000000.000000,-577016672.000000,-25964950.000000,-7441841681.000000,-44877309408.000000,5000000000.000000,,,,-44378378531.000000,-4500000.000000,-2503449335.000000,,,,-8545928557.000000,-3605680700.000000,,,,,,,,,9160627715.000000,,-44877309408.000000,8395135392.000000,169164198742.000000,,177559334134.000000
12M 2020,-111162350849.000000,408726297319.000000,6431635957.000000,-354200135811.000000,-149267829859.000000,-3277378210.000000,-19574940245.000000,,-111162350849.000000,-32515479548.000000,-21483637228.000000,-164586200.000000,1896595457.000000,,,,,-1050000000.000000,,-9910398804.000000,,-733614727.000000,,,,,-138012500.000000,-931825546.000000,-32515479548.000000,59763152103.000000,88250000000.000000,,,9857000000.000000,-38383758953.000000,6000000000.000000,-2229545366.000000,-3702503578.000000,,,,-28040000.000000,,,,,,,,,,,59763152103.000000,-83914678294.000000,177559334134.000000,,93644655840.000000
