Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,368449891345.000000,-238994700676.000000,129455190669.000000,-99421119720.000000,-9137459688.000000,-90283660032.000000,-99421119720.000000,30034070949.000000,-7847183076.000000,352360780.000000,852609775.000000,54066951.000000,-659406390.000000,-7466565675.000000,-980248517.000000,-7847183076.000000,22186887873.000000,-7765196692.000000,-8360016838.000000,594820146.000000,-7765196692.000000,14421691181.000000,,14421691181.000000,14421691181.000000,12466522104.000000,1955169077.000000,14421691181.000000,14421691181.000000,12466522104.000000,1955169077.000000,14421691181.000000
12M 2012,624190404062.000000,-388690908297.000000,235499495765.000000,-186279185445.000000,-21258518356.000000,-165020667089.000000,-186279185445.000000,49220310320.000000,44239012881.000000,2970193201.000000,4159287741.000000,696412612.000000,500008725.000000,-37981484062.000000,73894594664.000000,44239012881.000000,93459323201.000000,-28507423066.000000,-26703327891.000000,-1804095175.000000,-28507423066.000000,64951900135.000000,,64951900135.000000,64951900135.000000,65229613394.000000,-277713259.000000,64951900135.000000,64951900135.000000,65229613394.000000,-277713259.000000,64951900135.000000
12M 2013,908141536033.000000,-572737330905.000000,335404205128.000000,-230489914017.000000,-28312678099.000000,-202177235918.000000,-230489914017.000000,104914291111.000000,-18741092988.000000,11205962443.000000,40047982.000000,2391150284.000000,1324670719.000000,-34184267630.000000,481343214.000000,-18741092988.000000,86173198123.000000,-28859391320.000000,-30020788863.000000,1161397543.000000,-28859391320.000000,57313806803.000000,,57313806803.000000,57313806803.000000,49447386537.000000,7866420266.000000,57313806803.000000,57313806803.000000,49447386537.000000,7866420266.000000,57313806803.000000
12M 2014,920877538440.000000,-633256512386.000000,287621026054.000000,-252089024346.000000,-30558840619.000000,-221530183727.000000,-252089024346.000000,35532001708.000000,-21797244802.000000,7118070677.000000,3069491655.000000,1096342613.000000,4880622674.000000,-52666990106.000000,14705217685.000000,-21797244802.000000,13734756906.000000,-26072306321.000000,-28184504613.000000,2112198292.000000,-26072306321.000000,-12337549415.000000,,-12337549415.000000,-12337549415.000000,-13285033589.000000,947484174.000000,-12337549415.000000,-12337549415.000000,-13285033589.000000,947484174.000000,-12337549415.000000
12M 2015,773813296918.0,-626762489678.0,147050807240.0,-240672408432.0,-21687705477.0,-218984702955.0,-240672408432.0,-93621601192.0,-14549490413.0,5815165825.0,-648939807.0,1547273195.0,-369471943.0,-60592076812.0,39698559129.0,-14549490413.0,-108171091605.0,-11532810835.0,-11146529259.0,-386281576.0,-11532810835.0,-119703902440.0,1529744622.0,-118174157818.0,-119703902440.0,-108794945704.0,-10908956736.0,-119703902440.0,-118174157818.0,-107762179042.0,-10411978776.0,-118174157818.0
12M 2016,899017559239.0,-664807641390.0,234209917849.0,-274568668826.0,-26030407101.0,-248538261725.0,-274568668826.0,-40358750977.0,-15058541850.0,3137195558.0,673709181.0,-361693880.0,2309113665.0,-59522984634.0,38706118260.0,-15058541850.0,-55417292827.0,-6161172884.0,-14365738793.0,8204565909.0,-6161172884.0,-61578465711.0,353152783.0,-61225312928.0,-61578465711.0,-59573536697.0,-2004929014.0,-61578465711.0,-61225312928.0,-59054430000.0,-2170882928.0,-61225312928.0
12M 2017,861193680750.0,-644418663034.0,216775017716.0,-221532967640.0,-8260319596.0,-213272648044.0,-221532967640.0,-4757949924.0,13903634464.0,2294038124.0,49954705996.0,19347732.0,2245160106.0,-53587563232.0,12977945738.0,13903634464.0,9145684540.0,-1582440208.0,-11665587932.0,10083147724.0,-1582440208.0,7563244332.0,-2038456721.0,5524787611.0,7563244332.0,9178650325.0,-1615405993.0,7563244332.0,5524787611.0,7647447629.0,-2122660018.0,5524787611.0
12M 2018,1035508850963.000000,-694804974807.000000,340703876156.000000,-239999883906.000000,-9203174446.000000,-230796709460.000000,-239999883906.000000,100703992250.000000,902304485.000000,2760781541.000000,518071148.000000,,2351036432.000000,-30882193340.000000,26154608704.000000,902304485.000000,101606296735.000000,-21291250271.000000,-17503473896.000000,-3787776375.000000,-21291250271.000000,80315046464.000000,724138264.000000,81039184728.000000,80315046464.000000,76610563515.000000,3704482949.000000,80315046464.000000,81039184728.000000,76719148908.000000,4320035820.000000,81039184728.000000
12M 2019,980145831991.000000,-682255151407.000000,297890680584.000000,-254608244796.000000,-7984377814.000000,-246623866982.000000,-254608244796.000000,43282435788.000000,-8672452026.000000,6031173181.000000,833728765.000000,,1644277013.000000,-13735582139.000000,-3446048846.000000,-8672452026.000000,34609983762.000000,-14509647725.000000,-14113846474.000000,-395801251.000000,-14509647725.000000,20100336037.000000,-299872314.000000,19800463723.000000,20100336037.000000,19275294761.000000,825041276.000000,20100336037.000000,19800463723.000000,18686986363.000000,1113477360.000000,19800463723.000000
12M 2020,284181538459.000000,-237921357900.000000,46260180559.000000,-235610486134.000000,-4848724318.000000,-230761761816.000000,-235610486134.000000,-189350305575.000000,-64009642606.000000,6431635957.000000,910737511.000000,,-654283682.000000,-19597706971.000000,-51100025421.000000,-64009642606.000000,-253359948181.000000,-2732682441.000000,-980055795.000000,-1752626646.000000,-2732682441.000000,-256092630622.000000,-589597440.000000,-256682228062.000000,-256092630622.000000,-215580500766.000000,-40512129856.000000,-256092630622.000000,-256682228062.000000,-216302406453.000000,-40379821609.000000,-256682228062.000000
