Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Kepada Pemasok,Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Dari (Pembayaran Untuk) :,Pendapatan Bunga,Beban Bunga,Pajak Penghasilan,Kegiatan Usaha Lainnya,Total Penerimaan Dari (Pembayaran Untuk) :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Penjualan Aset Tetap,Penempatan Deposito Berjangka Pendek,Perolehan Aset Tetap,Penambahan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari (Penambahan) Piutang Pihak Berelasi,Uang Muka Diterima Dari Pihak Ketiga,Perolehan Aset Hak Guna,Penerimaan Dari Penjualan Aset Hak Guna Sewa,Penerimaan Bersih Dari Pelepasan Entitas Anak,Penempatan Investasi Pada Entitas Anak,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penjualan Investasi Pada Entitas Anak Oleh Kepentingan Nonpengendali,Pencairan (Penempatan) Deposito Berjangka Yang Dibatasi Penggunaannya,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Pencairan Deposito Berjangka Yang Dibatasi Penggunaannya,Total Pencairan (Penempatan) Deposito Berjangka Yang Dibatasi Penggunaannya,Penjualan Investasi,Pembelian Saham Entitas Anak Dari Kepentingan Non Pengendali,Pembayaran Kepada Kepentingan Non-Pengendali Sehubungan Dengan Penurunan Modal Disetor Pada Entitas Anak,Pembayaran Kepada Kepentingan Nonpengendali Untuk Mengakuisisi Saham Tambahan Pada Entitas Anak,Penambahan Piutang Pihak Berelasi Jangka Pendek,Akuisisi Entitas Anak,Penurunan Piutang Pihak Berelasi Jangka Pendek,Penerimaan Bunga,Penambahan Utang Anjak Piutang,Pembayaran Utang Anjak Piutang,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktifitas Investasi,Penerimaan Piutang Lain-Lain Pihak Ketiga,Penerimaan Dari Transaksi Jual Dan Sewa Kembali,Pembayaran Provisi,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Utang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Utang Bank Jangka Panjang,Penerimaan Pinjaman Lain-Lain Jangka Pendek,Pendirian Entitas Anak,Pembayaran Utang Lain-Lain Pihak Ketiga,Penerimaan Utang Lain-Lain Pihak Ketiga,Pembayaran Kepada Kepentingan Nonpengendali Untuk Mengakuisisi Saham Tambahan Pada Entitas Anak,Akuisisi Kepemilikan Saham Kepentingan Non Pengendali Pada Entitas Anak,Penerimaan Modal Disetor Dari Kepentingan Nonpengendali,Setoran Modal Atas Pendirian Entitas Anak Dari Kepentingan Nonpengendali,Setoran Modal Dari Penawaran Umum Saham Perdana,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penerimaan (Pembayaran) Piutang Pihak Berelasi,Penarikan (Penempatan) Bank Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Penerimaan Penjualan Kepemilikan Entitas Anak Kepada Kepentingan Nonpengendali,Penambahan (Pembayaran) Utang Anjak Piutang,Pembayaran Dividen Kepada Pemegang Saham Kepentingan Nonpengendali,Pembayaran Utang Pembiayaan Konsumen,Penambahan Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Pembayaran Bunga,Penurunan Investasi Pada Entitas Anak Dari Kepentingan Non Pengendali,Agio Saham Dari Penawaran Umum Perdana Saham,Agio Saham Yang Berasal Dari Penambahan Modal Dengan Hak Memesan Efek Terlebih Dahulu,Penambahan Modal Dengan Hak Memesan Efek Terlebih Dahulu,Beban Emisi Saham,Penambahan Modal Disetor,Penerimaan Dari Program Opsi Saham Karyawan,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktifitas Pendanaan,Pembayaran Dividen,Pengampunan Pajak,Pembayaran Beban Emisi Atas Penambahan Modal Dengan Hak Memesan Efek Terlebih Dahulu,Pembayaran Untuk Beban Bunga Obligasi Konversi,Penerbitan Obligasi Konversi,Beban Emisi Penerbitan Obligasi Konversi,Pembayaran Transaksi Dengan Kepentingan Non Pengendali,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan Neto Kas Dan Setara Kas Dari Operasi Yang Dihentikan,Kas Dan Setara Kas Entitas Anak Saat Dijual,Kas Dan Setara Kas Entitas Anak Saat Akuisisi,Kas Dan Setara Kas Akhir Periode
12M 2014,67245192765.000000,2686452207885.000000,-2445751806536.000000,,,-2445751806536.000000,,1990331959.000000,-34781560985.000000,-20998183516.000000,-119665796042.000000,-173455208584.000000,67245192765.000000,-88345020990.000000,4834526344.000000,,-66814409633.000000,,,,,,,,,,-15025153702.000000,,,-12604592159.000000,-12604592159.000000,3350000000.000000,,,,,,,,,,,,,,-2085391840.000000,-88345020990.000000,30626534616.000000,-68983603847.000000,96281802047.000000,,,96281802047.000000,,,,8231946080.000000,,,5043268000.000000,,,3950250310.000000,-7913098303.000000,,,,,-1380121395.000000,,-1353919885.000000,,,,,,,,11609.000000,,,-3250000000.000000,,,,,,,,30626534616.000000,9526706391.000000,270495399540.000000,4281875657.000000,,-3076532102.000000,,281227449486.000000
12M 2015,-88364469960.000000,2809527688229.000000,-2723586009572.000000,,,-2723586009572.000000,,7870173820.000000,-50336001951.000000,-35040628604.000000,-96799691882.000000,-174306148617.000000,-88364469960.000000,-259984026408.000000,712041540.000000,,-214338263531.000000,,,,,,,,,,-2399000000.000000,,-21186372834.000000,22227568417.000000,1041195583.000000,,,,,-45000000000.000000,,,,,,,,,,,-259984026408.000000,305903456995.000000,39663034398.000000,-19716979541.000000,,,-19716979541.000000,,,,5079474378.000000,,,4112024000.000000,,37500000000.000000,30153148968.000000,20954355775.000000,,,,,-1669839282.000000,,-2263652985.000000,,,,225000000000.000000,,,-13658108716.000000,,,,-19250000000.000000,,,,,,,,305903456995.000000,-42445039373.000000,281227449486.000000,-7531538472.000000,,,,231250871641.000000
12M 2016,-1718797435.000000,3933839153494.000000,,-3531666434274.000000,-207097344451.000000,-3738763778725.000000,,3697026781.000000,-78862010880.000000,-26692081472.000000,-94937106633.000000,-196794172204.000000,-1718797435.000000,-161501786255.000000,801070347.000000,,-88797161365.000000,,,,,,,,,,,,,2163854469.000000,2163854469.000000,,,,,,,48046531425.000000,,,,-118678936986.000000,,,,-5037144145.000000,-161501786255.000000,218608766552.000000,211009552715.000000,,,,,,,,,,-5000000000.000000,640000000.000000,,,28658638032.000000,,,,,,-1435841479.000000,,-2427984160.000000,,,,,,,,,7000000.000000,7157401444.000000,-20000000000.000000,,,,,,,,218608766552.000000,55388182862.000000,231250871641.000000,-11568497020.000000,,,,275070557483.000000
12M 2017,-212497556914.000000,4398261855770.000000,,-4313127522248.000000,,-4313127522248.000000,,3051224286.000000,-112925442041.000000,-54981301494.000000,-132776371187.000000,-297631890436.000000,-212497556914.000000,-42338403974.000000,4072790838.000000,,-38525590847.000000,,-44198640000.000000,,,,,,,,,,-31579177580.000000,5648077016.000000,-25931100564.000000,,,,,,-29100000000.000000,,,,,88800000000.000000,,6468680000.000000,,-3924543401.000000,-42338403974.000000,285117921668.000000,339580997588.000000,-21486743871.000000,,,-21486743871.000000,,,,,,,40500000000.000000,4400000100.000000,,-15638383308.000000,6197881550.000000,,,,,-1241645992.000000,,-3719114399.000000,,,,,,,,,,,-63475070000.000000,,,,,,,,285117921668.000000,30281960780.000000,303816233713.000000,-2566219233.000000,,-228783898.000000,,331303191362.000000
12M 2018,-180881129894.000000,5211396884803.000000,,-5087700013661.000000,,-5087700013661.000000,,4405464047.000000,-116053130896.000000,-72490291238.000000,-120440042949.000000,-304578001036.000000,-180881129894.000000,-147791761348.000000,2135392132.000000,,-66414018588.000000,,-60946742000.000000,,,,,,,,,,-56416023595.000000,15093942156.000000,-41322081439.000000,,,,,,-5730000000.000000,,,,,30401121624.000000,,,,-5915433077.000000,-147791761348.000000,602646029748.000000,-12540385298.000000,147990599122.000000,,,147990599122.000000,,,,,,,7177298953.000000,5430000000.000000,,-60304553437.000000,10868587706.000000,,,,,-339530987.000000,,-4784623882.000000,,,,,,,,,,,-30025070781.000000,,,,560001736660.000000,-9128028308.000000,-11700000000.000000,,602646029748.000000,273973138506.000000,331303191362.000000,-4082724384.000000,,,14219290.000000,601207824774.000000
12M 2019,24237022949.000000,5786589809237.000000,-5390739668106.000000,,,-5390739668106.000000,,,-150707366109.000000,-90251797548.000000,-130653954525.000000,-371613118182.000000,24237022949.000000,-367029138866.000000,2158034427.000000,,-98486466600.000000,,-27299160000.000000,,,,,,,,,,-258001438432.000000,32944073558.000000,-225057364874.000000,,,,,,-17000000000.000000,,26325771100.000000,,,,,,-2400000000.000000,-25269952919.000000,-367029138866.000000,153150987917.000000,187932299901.000000,-2079146795.000000,,,-2079146795.000000,,,,,,,91950000000.000000,14020000000.000000,,47074637967.000000,-56844015871.000000,,,5000000000.000000,,-1320072870.000000,,-7044295380.000000,,,,,233282736800.000000,29160342100.000000,,,,,-128725070000.000000,,-8325614435.000000,,,,-250930813500.000000,,153150987917.000000,-189641128000.000000,601207824774.000000,-3322535530.000000,,,5906903591.000000,414151064835.000000
12M 2020,487519335448.000000,5889811141672.000000,-5047959682722.000000,,,-5047959682722.000000,,,-267063138294.000000,-87268985208.000000,,-354332123502.000000,487519335448.000000,-45192709168.000000,4485891477.000000,,-67953690434.000000,,,,,,,,,,,,,,,,,,,-57789357755.000000,-3940000000.000000,,85693703177.000000,,,,,,-1920000000.000000,-3769255633.000000,-45192709168.000000,-370752082705.000000,-313838609363.000000,,,,,,,,,,-479999998.000000,12251000000.000000,50000000.000000,,-32736156611.000000,,16736158694.000000,,-15253780000.000000,-20625216667.000000,,,,-16855478760.000000,,,,,,,,,,,,,,,,,,-370752082705.000000,71574543575.000000,422318175017.000000,-1072168174.000000,31051019.000000,,,492851601437.000000
12M 2021,-16291346596.000000,6319481228935.000000,-6040009174619.000000,,,-6040009174619.000000,,,-239677066860.000000,-56086334052.000000,,-295763400912.000000,-16291346596.000000,202965238354.000000,1770392015.000000,,-21940808807.000000,,,,61200000000.000000,,,1851209408.000000,,,,,,,,,,,,,,113535949815.000000,49534994803.000000,,,,,,,-2986498880.000000,202965238354.000000,-194556648582.000000,-416382518743.000000,,,,,15000000000.000000,,,,,,,,,440851781848.000000,,-46642144296.000000,,-142556220000.000000,-30750316667.000000,,,,-14069333480.000000,,,,,,,,,,,,,-7897244.000000,,,,,-194556648582.000000,-7882756824.000000,492851601437.000000,-7198943985.000000,16081557340.000000,,,493851457968.000000
12M 2022,269599884159.000000,7628730747043.000000,-7124132665407.000000,,,-7124132665407.000000,,,-115705555443.000000,-119292642034.000000,,-234998197477.000000,269599884159.000000,22903820659.000000,5296564016.000000,,-14662416898.000000,,,,,,,15320199999.000000,,-14691589478.000000,,,,,,,,-460000.000000,,,,3000000000.000000,28838673020.000000,,,,,,,-197150000.000000,22903820659.000000,-314721718119.000000,-144676750111.000000,-58331662879.000000,,,-58331662879.000000,-9000000000.000000,,,,-1110218899.000000,,,,,-39529299848.000000,,26303713585.000000,,,-48562916667.000000,,,,-11814890428.000000,,,,,,,,,,,,,-27999692872.000000,,,,,-314721718119.000000,-22218013301.000000,493851457968.000000,3626808761.000000,,,,475260253428.000000
12M 2023,-583609723413.000000,9387324755392.000000,-9700697252862.000000,,,-9700697252862.000000,,,-113514044254.000000,-156723181689.000000,,-270237225943.000000,-583609723413.000000,379961676157.000000,3577323680.000000,-35700000000.000000,-34051097548.000000,-5565018182.000000,,,,,,180044707460.000000,,,,,,,,,,,,,,248779079450.000000,26930172630.000000,,,,,,,-4053491333.000000,379961676157.000000,444611810996.000000,795054179219.000000,,198000000000.000000,-87009549984.000000,110990450016.000000,-6000000000.000000,,,,,,,,,-237576369863.000000,,-79878933164.000000,,,-95774790608.000000,,,,-14203031732.000000,,,,,,,,,,,,,-27999692872.000000,,,,,444611810996.000000,240963763740.000000,475260253428.000000,-525294912.000000,,,,715698722256.000000
