Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Obligasi Konversi,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Obligasi,Obligasi Konversi,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,270495399540.000000,556490352422.000000,554013783330.000000,2476569092.000000,556490352422.000000,11329005121.000000,11329005121.000000,,11329005121.000000,348646722259.000000,,405436706527.000000,1592398185869.000000,,61408754771.000000,1119025029.000000,8500000000.000000,138659681754.000000,,20657100454.000000,8139908600.000000,6999079447.000000,35879534672.000000,281363084727.000000,1873761270596.000000,,,1514119052330.000000,756385170761.000000,,,394581488815.000000,9033479889.000000,403614968704.000000,,5151831291.000000,5000000000.000000,10151831291.000000,294837158392.000000,15669879309.000000,,9140981744.000000,1037220621.000000,764429293.000000,,10942631658.000000,,,22517412215.000000,1514119052330.000000,48645536907.000000,,32327451875.000000,,2400323351.000000,491995959.000000,,35219771185.000000,226730222.000000,,,801726500.000000,12397309000.000000,48645536907.000000,1562764589237.000000,,150000000000.000000,14500000000.000000,43021224078.000000,,,43021224078.000000,103475457281.000000,,310996681359.000000,1873761270596.000000,1500000000.000000
12M 2014,,,281227449486.000000,505771210334.000000,494418698888.000000,11352511446.000000,505771210334.000000,43856637657.000000,43856637657.000000,,43856637657.000000,439406834703.000000,,308765201582.000000,1579027333762.000000,,50381504681.000000,1091775924.000000,,251093831232.000000,,17643758858.000000,19425690242.000000,4988199901.000000,50878456502.000000,395503217340.000000,1974530551102.000000,,,1475243367734.000000,726745259723.000000,,,285543727200.000000,211743252.000000,285755470452.000000,,19589297742.000000,24300000000.000000,43889297742.000000,265016908469.000000,23375789740.000000,,28400969752.000000,1230080851.000000,2141751993.000000,,31772802596.000000,,,98687839012.000000,1475243367734.000000,93155061072.000000,,68153174373.000000,,2793297507.000000,3147973233.000000,,74094445113.000000,364424715.000000,,,4751976810.000000,13944214434.000000,93155061072.000000,1568398428806.000000,,150000000000.000000,14500000000.000000,103410832595.000000,,,103410832595.000000,138068634938.000000,152654763.000000,406132122296.000000,1974530551102.000000,1500000000.000000
12M 2015,,,231250871641.000000,631050334792.000000,591195209443.000000,39855125349.000000,631050334792.000000,54958374275.000000,9958374275.000000,45000000000.000000,54958374275.000000,482919093136.000000,,259811679689.000000,1659990353533.000000,,29427148906.000000,1091775924.000000,,497081619299.000000,,12949026843.000000,19625867276.000000,4203266726.000000,55221644563.000000,619600349537.000000,2279590703070.000000,,,1467711531415.000000,729088438785.000000,,,256072367811.000000,128306214.000000,256200674025.000000,,24668772120.000000,39750070131.000000,64418842251.000000,274331114640.000000,25346145939.000000,,50477833521.000000,1474093898.000000,2175307801.000000,,54127235220.000000,,,64199080555.000000,1467711531415.000000,110486366979.000000,,75430422604.000000,,1659875182.000000,1575081852.000000,,78665379638.000000,363525343.000000,,,20205512477.000000,11251949521.000000,110486366979.000000,1578197898394.000000,,187500000000.000000,225841891284.000000,136085493093.000000,,,136085493093.000000,152933403516.000000,-967983217.000000,701392804676.000000,2279590703070.000000,1500000000.000000
12M 2016,,,275070557483.000000,841099103111.000000,794332773396.000000,46766329715.000000,841099103111.000000,131165191681.000000,131165191681.000000,,131165191681.000000,475479066925.000000,,266866307990.000000,1989680227190.000000,,25926582611.000000,1091775924.000000,,531915248747.000000,,14235172337.000000,20266862786.000000,7342682383.000000,69581600818.000000,670359925606.000000,2660040152796.000000,,,1698517621707.000000,845818099605.000000,,,339993337346.000000,139367520.000000,340132704866.000000,,19103500440.000000,74710070131.000000,93813570571.000000,259500672206.000000,40488875669.000000,,33495518240.000000,1283675797.000000,1797637621.000000,,36576831658.000000,,,82186867132.000000,1698517621707.000000,203464443695.000000,,168184494155.000000,,628317143.000000,891524559.000000,,169704335857.000000,153275292.000000,,,17745451724.000000,15861380822.000000,203464443695.000000,1901982065402.000000,,187501000000.000000,245606781957.000000,164574770853.000000,,,164574770853.000000,160882124724.000000,-506590140.000000,758058087394.000000,2660040152796.000000,1875010000.000000
12M 2017,,,331303191362.000000,1058936689915.000000,1003100971948.000000,55835717967.000000,1058936689915.000000,54299219316.000000,54299219316.000000,,54299219316.000000,675903894296.000000,,440283672658.000000,2560726667547.000000,,28236788021.000000,,,515634041247.000000,,15496250069.000000,24481389447.000000,14830033872.000000,98614442580.000000,697292945236.000000,3258019612783.000000,,,2238524515731.000000,1198752158205.000000,,,434532274675.000000,379836020.000000,434912110695.000000,,26035733995.000000,69835070131.000000,95870804126.000000,342381764840.000000,48740308566.000000,,34043787355.000000,476061327.000000,3755215907.000000,,38275064589.000000,,,79592304710.000000,2238524515731.000000,215628763760.000000,,146149481169.000000,,194285621.000000,5055140121.000000,,151398906911.000000,261568297.000000,,,35171782150.000000,28796506402.000000,215628763760.000000,2454153279491.000000,,187501000000.000000,224253371183.000000,186123928758.000000,,,186123928758.000000,207631091055.000000,-1643057704.000000,803866333292.000000,3258019612783.000000,1875010000.000000
12M 2018,,,601207824774.000000,1266187607309.000000,1225850186017.000000,40337421292.000000,1266187607309.000000,36825924979.000000,36825924979.000000,,36825924979.000000,749087994849.000000,,461762816930.000000,3115072168841.000000,,23271679407.000000,,,533769489762.000000,,22483648502.000000,29503385829.000000,13962556027.000000,222915755279.000000,845906514806.000000,3960978683647.000000,,,2227303210086.000000,1209695844198.000000,,,407549704464.000000,193825809.000000,407743530273.000000,,24188800689.000000,11300000000.000000,35488800689.000000,415791653975.000000,44831787511.000000,,40906801300.000000,209056758.000000,6060990283.000000,,47176848341.000000,,,66574745099.000000,2227303210086.000000,851327901006.000000,,265410594366.000000,,121759203.000000,6009230748.000000,,271541584317.000000,391598470.000000,,523512287885.000000,19986143081.000000,35896287253.000000,851327901006.000000,3078631111092.000000,,187501000000.000000,224253371183.000000,186567420859.000000,,,186567420859.000000,261472536989.000000,22553243524.000000,882347572555.000000,3960978683647.000000,1875010000.000000
12M 2019,,,414151064835.000000,1186296567512.000000,1126120219017.000000,60176348495.000000,1186296567512.000000,43032506074.000000,43032506074.000000,,43032506074.000000,962812068136.000000,,637243348127.000000,3243535554684.000000,,66242383426.000000,,,616814508565.000000,,455759744672.000000,39900342233.000000,14758923506.000000,157433599325.000000,1350909501727.000000,4594445056411.000000,,,2775529007473.000000,1396515921243.000000,,,451467755281.000000,4742246375.000000,456210001656.000000,,56753564710.000000,11300000000.000000,68053564710.000000,494075092913.000000,69398274414.000000,,47703562497.000000,2275970364.000000,5992895541.000000,15000000000.000000,70972428402.000000,,,220303724135.000000,2775529007473.000000,895279068514.000000,,256534686374.000000,,2587293327.000000,4348902543.000000,,263470882244.000000,271835942.000000,,537354670505.000000,50509409320.000000,43672270503.000000,895279068514.000000,3670808075987.000000,,231536135500.000000,568208840748.000000,177665682313.000000,,,177665682313.000000,129961132251.000000,-183734810388.000000,923636980424.000000,4594445056411.000000,2315361355.000000
12M 2020,,,492851601437.000000,1086459700331.000000,1025120471344.000000,61339228987.000000,1086459700331.000000,26403111967.000000,26403111967.000000,,26403111967.000000,471813552980.000000,157317794300.000000,517789892060.000000,2752635653075.000000,,203867078311.000000,,,704167189885.000000,,209209436527.000000,38092398127.000000,108457605870.000000,88354737840.000000,1352148446560.000000,4104784099635.000000,,,2947726284418.000000,1140269651073.000000,,,294746565313.000000,5058692622.000000,299805257935.000000,,101783999982.000000,25000000000.000000,126783999982.000000,924935079531.000000,89081683621.000000,,96363034758.000000,,,153141271173.000000,249504305931.000000,,,117346306345.000000,2947726284418.000000,829925779942.000000,,178230242394.000000,988020385.000000,,,4450475618.000000,183668738397.000000,904714942.000000,,551144033664.000000,17773252709.000000,76435040230.000000,829925779942.000000,3777652064360.000000,,231536135500.000000,572849215002.000000,-476934429906.000000,,,-476934429906.000000,185202843218.000000,-185521728539.000000,327132035275.000000,4104784099635.000000,2315361355.000000
12M 2021,,,493851457968.000000,1213787498499.000000,1159850086519.000000,53937411980.000000,1213787498499.000000,41900435331.000000,41619783993.000000,280651338.000000,41900435331.000000,479515849055.000000,,627321786979.000000,2856377027832.000000,,347731324958.000000,,,494177499474.000000,116996400000.000000,100849563027.000000,27485946863.000000,83684455201.000000,88445454648.000000,1259370644171.000000,4115747672003.000000,,,3272632857196.000000,752275133527.000000,15000000000.000000,,451212661778.000000,5871534713.000000,457084196491.000000,,149783348578.000000,437701249998.000000,587484598576.000000,1136545600521.000000,83725490653.000000,,98119254461.000000,,,6290943756.000000,104410198217.000000,,,136107639211.000000,3272632857196.000000,791415222810.000000,,126616979695.000000,,,,7480339841.000000,134097319536.000000,2382081109.000000,,559993839416.000000,8451501905.000000,86490480844.000000,791415222810.000000,4064048080006.000000,,231536135500.000000,572849215002.000000,-761277762881.000000,,,-761277762881.000000,195122500502.000000,-186530496126.000000,51699591997.000000,4115747672003.000000,2315361355.000000
12M 2022,,,475260253428.000000,1415778486844.000000,1415778486844.000000,,1415778486844.000000,37326975867.000000,36421737188.000000,905238679.000000,37326975867.000000,702244819040.000000,,370716579793.000000,3001327114972.000000,,379678958077.000000,,,460528794581.000000,117123050000.000000,18645265971.000000,32425685779.000000,97424780088.000000,109910653191.000000,1215737187687.000000,4217064302659.000000,,,3353753528335.000000,610441533444.000000,6000000000.000000,,637476111690.000000,1931346359.000000,639407458049.000000,,56596991319.000000,538008481.000000,57134999800.000000,1255359768417.000000,76791085571.000000,,88689423976.000000,,,14975071327.000000,103664495303.000000,,419591400304.000000,185362787447.000000,3353753528335.000000,701558205030.000000,,77942698323.000000,,,,4612155226.000000,82554853549.000000,1377342987.000000,,559993839416.000000,,57632169078.000000,701558205030.000000,4055311733365.000000,,231536135500.000000,572849215002.000000,-670830908753.000000,35806031813.000000,-706636940566.000000,-670830908753.000000,211626758457.000000,-183428630912.000000,161752569294.000000,4217064302659.000000,2315361355.000000
