Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Beban Operasional Lainnya,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,2570022676658.000000,-2173809189413.000000,396213487245.000000,-267963613520.000000,-22262659985.000000,-245700953535.000000,-267963613520.000000,128249873725.000000,-17162855955.000000,-34781560985.000000,15879912636.000000,,1990331959.000000,651463759.000000,-27249105.000000,,-875754219.000000,-17162855955.000000,111087017770.000000,-30702954617.000000,,-30702954617.000000,80384063153.000000,,,80384063153.000000,1097322257.000000,,1097322257.000000,81481385410.000000,80384063153.000000,59863941264.000000,20520121889.000000,80384063153.000000,81481385410.000000,59964314381.000000,21517071029.000000,81481385410.000000
12M 2015,2957110154883.000000,-2451943139531.000000,505167015352.000000,-339969385256.000000,-23736515888.000000,-316232869368.000000,-339969385256.000000,165197630096.000000,-74596575205.000000,-50336001951.000000,-30321392861.000000,,7870173820.000000,4882925.000000,,,-1814237138.000000,-74596575205.000000,90601054891.000000,-30737853832.000000,,-30737853832.000000,59863201059.000000,,,59863201059.000000,969743458.000000,,969743458.000000,60832944517.000000,59863201059.000000,36019530698.000000,23843670361.000000,59863201059.000000,60832944517.000000,36956750866.000000,23876193651.000000,60832944517.000000
12M 2016,4127143385727.000000,-3584619343613.000000,542524042114.000000,-381071520442.000000,-18914236794.000000,-362157283648.000000,-381071520442.000000,161452521672.000000,-55541341493.000000,-78862010880.000000,5212773374.000000,,3697026781.000000,,,,14410869232.000000,-55541341493.000000,105911180179.000000,-32697036487.000000,,-32697036487.000000,73214143692.000000,,,73214143692.000000,-372630921.000000,,-372630921.000000,72841512771.000000,73214143692.000000,40198301036.000000,33015842656.000000,73214143692.000000,72841512771.000000,40237473667.000000,32604039104.000000,72841512771.000000
12M 2017,4593876093254.000000,-3864700716713.000000,729175376541.000000,-530121041080.000000,-22797016067.000000,-507324025013.000000,-530121041080.000000,199054335461.000000,-84613566966.000000,-106535559987.000000,843329778.000000,,25426225052.000000,571547506.000000,,1476080070.000000,-6395189385.000000,-84613566966.000000,114440768495.000000,-36364690148.000000,,-36364690148.000000,78076078347.000000,1013261444.000000,,79089339791.000000,-1901065700.000000,76583746.000000,-1901065700.000000,77264857837.000000,79089339791.000000,34532592102.000000,44556747689.000000,79089339791.000000,77264857837.000000,32324358807.000000,44940499030.000000,77264857837.000000
12M 2018,5433508833578.000000,-4606212579586.000000,827296253992.000000,-578032799045.000000,-21745987612.000000,-556286811433.000000,-578032799045.000000,249263454947.000000,-133894461337.000000,-129368250002.000000,-17387751653.000000,,15942117044.000000,340055706.000000,,,-3420632432.000000,-133894461337.000000,115368993610.000000,-46709270561.000000,,-46709270561.000000,68659723049.000000,,,68659723049.000000,2695029525.000000,,2695029525.000000,71354752574.000000,68659723049.000000,10373009214.000000,58286713835.000000,68659723049.000000,71354752574.000000,11057346565.000000,60297406009.000000,71354752574.000000
12M 2019,5552209122095.000000,-4668479608437.000000,883729513658.000000,-641679609463.000000,-28127430927.000000,-613552178536.000000,-641679609463.000000,242049904195.000000,-129152524300.000000,-158723992088.000000,-196376611.000000,,26325771100.000000,721120293.000000,,,2720953006.000000,-129152524300.000000,112897379895.000000,-55527328735.000000,,-55527328735.000000,57370051160.000000,,,57370051160.000000,2564945510.000000,,2564945510.000000,59934996670.000000,57370051160.000000,3633815296.000000,53736235864.000000,57370051160.000000,59934996670.000000,6146483498.000000,53788513172.000000,59934996670.000000
12M 2020,6135530654817.000000,-5225266632329.000000,910264022488.000000,-756473214462.000000,-22315396637.000000,-734157817825.000000,-756473214462.000000,153790808026.000000,-681057728858.000000,-264187875326.000000,-4160286655.000000,,103731703177.000000,,,,-516441270054.000000,-681057728858.000000,-527266920832.000000,-47151426348.000000,,-47151426348.000000,-574418347180.000000,,1409690100.000000,-574781858158.000000,2459914596.000000,,2459914596.000000,-572321943562.000000,-574781858158.000000,-615018256689.000000,40236398531.000000,-574781858158.000000,-572321943562.000000,-612950674499.000000,40628730937.000000,-572321943562.000000
12M 2021,6459797692062.000000,-5498229491978.000000,961568200084.000000,-862736135615.000000,-28663938480.000000,-834072197135.000000,-862736135615.000000,98832064469.000000,-256175368393.000000,-183381030346.000000,-1329194799.000000,,79152391768.000000,,,-3075395392.000000,-147542139624.000000,-256175368393.000000,-157343303924.000000,-95017022277.000000,,-95017022277.000000,-252360326201.000000,,1077176310.000000,-251283149891.000000,-2206555070.000000,,-2206555070.000000,-253489704961.000000,-251283149891.000000,-275604355941.000000,24321206050.000000,-251283149891.000000,-253489704961.000000,-285262534045.000000,31772829084.000000,-253489704961.000000
12M 2022,7809976522248.000000,-6816262998843.000000,993713523405.000000,-627977796587.000000,-19432431644.000000,-608545364943.000000,-627977796587.000000,365735726818.000000,-119607028517.000000,-144953730781.000000,-33101659794.000000,,67316519910.000000,,,56118778772.000000,-64986936624.000000,-119607028517.000000,246128698301.000000,-101501846412.000000,-1049791336.000000,-101501846412.000000,143577060553.000000,,,143577060553.000000,,,,147565480524.000000,143577060553.000000,68786548156.000000,74790512397.000000,143577060553.000000,147565480524.000000,73394615060.000000,74170865464.000000,147565480524.000000
12M 2023,10207024936502.000000,-8989060267432.000000,1217964669070.000000,-674523508205.000000,-24959233008.000000,-649564275197.000000,-674523508205.000000,543441160865.000000,-19376134512.000000,-168371238239.000000,-3146129474.000000,,70254476987.000000,,,99776167806.000000,-17889411592.000000,-19376134512.000000,524065026353.000000,-180446385722.000000,-1083171313.000000,-180446385722.000000,342535469318.000000,,,342535469318.000000,,,,341171112631.000000,342535469318.000000,235158456582.000000,107377012736.000000,342535469318.000000,341171112631.000000,235487372429.000000,105683740202.000000,341171112631.000000
