Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2014,67 B,(69 B),(2 B),0.29
12M 2015,(88 B),(214 B),(303 B),-58.91
12M 2016,(2 B),(94 B),(96 B),-50.96
12M 2017,(212 B),(87 B),(299 B),-113.33
12M 2018,(181 B),(133 B),(314 B),-67.93
12M 2019,24 B,(151 B),(127 B),10.47
12M 2020,488 B,(72 B),416 B,210.56
12M 2021,(16 B),(25 B),(41 B),-10.77
12M 2022,270 B,(15 B),255 B,116.44
12M 2023,(584 B),(44 B),(627 B),-252.06
12M 2024,894 B,(52 B),842 B,382.86
