Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan Badan,Penerimaan Restitusi Pajak,Pembayaran Beban Keuangan,Penerimaan Pendapatan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pencairan Deposito Yang Dijaminkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Pencairan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pencairan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Kepada Pihak Berelasi,Pembagian Dividen Tunai,Penambahan Setoran Modal Melalui Penawaran Umum Perdana Saham,Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,29431702051.000000,325511015863.000000,-217422275175.000000,-61760217435.000000,-10594760739.000000,,-6945360559.000000,643300096.000000,29431702051.000000,-72598030345.000000,-56757999774.000000,,-23040030571.000000,7200000000.000000,-72598030345.000000,43544372010.000000,10000000000.000000,62999200000.000000,-60998200000.000000,64919600000.000000,-33183778376.000000,-56449619.000000,-135999995.000000,,,,,,43544372010.000000,378043716.000000,-59539122.000000,24619395772.000000,24937900366.000000
12M 2020,34220680615.000000,423636583398.000000,-287961553299.000000,-85589843109.000000,-8053864289.000000,,-8021696214.000000,211054128.000000,34220680615.000000,-25077223746.000000,-19645276851.000000,2769498300.000000,-8201445195.000000,,-25077223746.000000,-15496000073.000000,,95574358677.000000,-100069520534.000000,,-10610247810.000000,-254590410.000000,-135999996.000000,,,,,,-15496000073.000000,-6352543204.000000,461473753.000000,24937900366.000000,19046830915.000000
12M 2021,63938984976.000000,670568360463.000000,-467968179907.000000,-119545452259.000000,-13227830469.000000,,-5925904348.000000,37991496.000000,63938984976.000000,-67605607991.000000,-46307079774.000000,675832909.000000,-21974361126.000000,,-67605607991.000000,5649964109.000000,,90375466451.000000,-94878500000.000000,,-13740579412.000000,-512738537.000000,-144239965.000000,24550555572.000000,,,,,5649964109.000000,1983341094.000000,148162.000000,19046830915.000000,21030320171.000000
12M 2022,-19006319498.000000,840135586780.000000,-672703462185.000000,-145069564661.000000,-30466564184.000000,,-11007660172.000000,105344924.000000,-19006319498.000000,-65857300501.000000,-72230821163.000000,11014728080.000000,-4641207418.000000,,-65857300501.000000,95930212220.000000,,182984233415.000000,-170886038010.000000,116300000000.000000,-17532983252.000000,-858419008.000000,-326025353.000000,46578378362.000000,-60328933934.000000,,,,95930212220.000000,11066592221.000000,-244153.000000,19968590171.000000,31034938239.000000
12M 2023,-1082655534.000000,933201518940.000000,-736304233146.000000,-182181050741.000000,-9845589870.000000,11280125567.000000,-17634601973.000000,401175689.000000,-1082655534.000000,-34242935450.000000,-32625770859.000000,475000000.000000,-2092164591.000000,,-34242935450.000000,63142762545.000000,,267762117431.000000,-250862117431.000000,700000000.000000,-25488213220.000000,-1341486123.000000,-337662370.000000,35000000000.000000,,-3750000000.000000,44250000000.000000,-2789875742.000000,63142762545.000000,27817171561.000000,37442.000000,31034938239.000000,58852147242.000000
12M 2024,87816803248.000000,1302914904807.000000,-988580714956.000000,-195299513445.000000,-13970049367.000000,,-17413478314.000000,165654523.000000,87816803248.000000,-36310834995.000000,-26562348689.000000,220000000.000000,-9968486306.000000,,-36310834995.000000,-6489705610.000000,,595323485558.000000,-594034676200.000000,46000000000.000000,-32946617929.000000,-1713656417.000000,-368240622.000000,,,-18750000000.000000,,,-6489705610.000000,45016262643.000000,-149035.000000,58852147242.000000,103868260850.000000
