Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,1.18,0.94,0.88,2.36,0.0,0.0,0.61,0.37,1.36
12M 2020,0.89,0.65,0.54,1.9,0.0,0.0,0.38,0.28,0.9
12M 2021,1.21,0.72,0.39,1.82,0.0,0.0,0.28,0.21,0.82
12M 2022,1.16,0.61,0.83,2.31,0.0,0.0,0.68,0.36,1.31
12M 2023,1.7,0.89,0.69,1.99,0.0,0.0,0.49,0.35,0.99
12M 2024,1.9,1.25,0.63,1.96,0.0,0.0,0.32,0.32,0.96
