Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,5 B,(14 B),(9 B),-3.20
12M 2018,123 B,(58 B),65 B,18.58
12M 2019,94 B,(292 B),(199 B),-55.91
12M 2020,(81 B),(65 B),(146 B),-41.07
12M 2021,(99 B),(45 B),(144 B),-40.46
12M 2022,(286 B),(124 B),(409 B),-115.14
12M 2023,310 B,(277 B),33 B,9.36
12M 2024,(38 B),(319 B),(357 B),-100.46
