Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Distribusi Dan Transmisi,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,1762663840122.000000,-1602762852995.000000,159900987127.000000,-85990045328.000000,,-13730462717.000000,-72259582611.000000,-85990045328.000000,73910941799.000000,-48707964149.000000,-1599598942.000000,,,-52574098797.000000,5465733590.000000,-48707964149.000000,25202977650.000000,-7957400900.000000,-10589343933.000000,2631943033.000000,,-7957400900.000000,17245576750.000000,,17245576750.000000,-2907246739.000000,14338330011.000000,17245576750.000000,12391176082.000000,4854400668.000000,17245576750.000000,14338330011.000000,14096173275.000000,242156736.000000,14338330011.000000
12M 2018,2001284460551.000000,-1740556023277.000000,260728437274.000000,-107449310248.000000,,-20570729261.000000,-86878580987.000000,-107449310248.000000,153279127026.000000,-46580951683.000000,-4574223068.000000,,,-41920018781.000000,-86709834.000000,-46580951683.000000,106698175343.000000,-22526055980.000000,-20810796500.000000,-1715259480.000000,,-22526055980.000000,84172119363.000000,,84172119363.000000,13681546795.000000,97853666158.000000,84172119363.000000,84516372785.000000,-344253422.000000,84172119363.000000,97853666158.000000,99781765985.000000,-1928099827.000000,97853666158.000000
12M 2019,1953747315540.000000,-1767808433414.000000,185938882126.000000,-117431740681.000000,-22833875789.000000,,-94597864892.000000,-117431740681.000000,68507141445.000000,-35132464999.000000,-11440567414.000000,,,-34323934947.000000,10632037362.000000,-35132464999.000000,33374676446.000000,-7764880415.000000,-6575535500.000000,-1189344915.000000,,-7764880415.000000,25609796031.000000,,25609796031.000000,4986140812.000000,30595936843.000000,25609796031.000000,13404818577.000000,12204977454.000000,25609796031.000000,30595936843.000000,17941115284.000000,12654821559.000000,30595936843.000000
12M 2020,4106566376814.000000,-3941247197915.000000,165319178899.000000,-142964404225.000000,-49307014046.000000,,-93657390179.000000,-142964404225.000000,22354774674.000000,-67169686821.000000,-16601796356.000000,,,-53808903971.000000,3241013506.000000,-67169686821.000000,-44814912147.000000,-4771278469.000000,-2271546437.000000,-2499732032.000000,,-4771278469.000000,-49586190616.000000,,-49586190616.000000,375795675.000000,-49210394941.000000,-49586190616.000000,-51748219447.000000,2162028831.000000,-49586190616.000000,-49210394941.000000,-51343817614.000000,2133422673.000000,-49210394941.000000
12M 2021,7313139597522.000000,-6488088769186.000000,825050828336.000000,-642583009516.000000,-559036202569.000000,,-83546806947.000000,-642583009516.000000,182467818820.000000,-73045530431.000000,-6567513515.000000,,,-65988195242.000000,-489821674.000000,-73045530431.000000,109422288389.000000,-19639005815.000000,-17248443837.000000,-2390561978.000000,,-19639005815.000000,89783282574.000000,,89783282574.000000,2309277243.000000,92092559817.000000,89783282574.000000,78537148077.000000,11246134497.000000,89783282574.000000,92092559817.000000,80861529593.000000,11231030224.000000,92092559817.000000
12M 2022,7505700941167.000000,-6777091553853.000000,728609387314.000000,-628072342947.000000,-520924037064.000000,,-107148305883.000000,-628072342947.000000,100537044367.000000,-107159585233.000000,-14465936917.000000,,,-95604259344.000000,2910611028.000000,-107159585233.000000,-6622540866.000000,-28168061647.000000,-23364772361.000000,-4803289286.000000,,-28168061647.000000,-34790602513.000000,,-34790602513.000000,6059263794.000000,-28731338719.000000,-34790602513.000000,-20104462276.000000,-14686140237.000000,-34790602513.000000,-28731338719.000000,-14612771595.000000,-14118567124.000000,-28731338719.000000
12M 2023,5425478049944.000000,-5168126795489.000000,257351254455.000000,-301252390707.000000,-179246696878.000000,,-122005693829.000000,-301252390707.000000,-43901136252.000000,-120139097714.000000,-4139664368.000000,,,-117733374597.000000,1733941251.000000,-120139097714.000000,-164040233966.000000,-8233664397.000000,-3173062156.000000,-5060602241.000000,,-8233664397.000000,-172273898363.000000,,-172273898363.000000,8770741942.000000,-163503156421.000000,-172273898363.000000,-152233515056.000000,-20040383307.000000,-172273898363.000000,-163503156421.000000,-146426914988.000000,-17076241433.000000,-163503156421.000000
12M 2024,4685748870926.000000,-4333210279912.000000,352538591014.000000,-283828819402.000000,-166329943003.000000,,-117498876399.000000,-283828819402.000000,68709771612.000000,-88069008181.000000,-2445659821.000000,,,-100906503898.000000,15283155538.000000,-88069008181.000000,-19359236569.000000,-3621928315.000000,-2203307920.000000,-1418620395.000000,,-3621928315.000000,-22981164884.000000,,-22981164884.000000,3298837210.000000,-19682327674.000000,-22981164884.000000,-20850947852.000000,-2130217032.000000,-22981164884.000000,-19682327674.000000,-18003902105.000000,-1678425569.000000,-19682327674.000000
