Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Operasional Lainnya,Pembayaran Pajak,Penerimaan Bunga,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Uang Muka Pembangunan Pabrik,Uang Muka Pembelian Mesin,Pencairan (Penempatan) Dana Yang Dibatasi Penggunaannya Dari Aktivitas Investasi,Perolehan Aset Takberwujud,Perolehan Aset Keuangan,Kenaikan Uang Muka,Arus Kas Atas Akuisisi Entitas Anak,Kas Diterima Dari Pelepasan Entitas Anak,Aset Keuangan Tersedia Untuk Di Jual,Perolehan Properti Investasi,Pembelian Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Modal Treasury,Pembayaran Biaya Emisi,Perolehan Pinjaman Bank,Perolehan Pinjaman Pihak Berelasi,Pembayaran Utang Pihak Ketiga,Pembayaran Pinjaman Bank,Pembayaran Pihak Berelasi,Penerimaan Setoran Modal Dari Kepentingan Non-Pengendali,Perolehan Surat Utang Jangka Menengah,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penerimaan Dari Mesop Program,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,4837498297.000000,1771939164121.000000,-1600383373666.000000,-87117825493.000000,-27026367868.000000,,-52574098797.000000,4837498297.000000,-9595943331.000000,-13841385319.000000,3104769191.000000,,,,,,,-1925295203.000000,,,3465968000.000000,,-400000000.000000,-9595943331.000000,-2527538900.000000,17500000000.000000,,,98017855387.000000,,,-72722423907.000000,-19532036338.000000,,,-25000000000.000000,,,-790934042.000000,-2527538900.000000,-7285983934.000000,30963321384.000000,23677337450.000000
12M 2018,122943639753.000000,1995257770769.000000,-1665357485459.000000,-163379211483.000000,-1657415293.000000,,-41920018781.000000,122943639753.000000,-67282474276.000000,-57565123664.000000,1147156545.000000,,,,,,,-10614507157.000000,,,,,-250000000.000000,-67282474276.000000,35009385203.000000,158329800000.000000,,-1641649000.000000,982264299743.000000,,,-1103175812546.000000,,,,,,,-767252994.000000,35009385203.000000,90670550680.000000,23677337450.000000,114347888130.000000
12M 2019,93749435868.000000,1973638520320.000000,-1612404301174.000000,-168842457727.000000,-64318390604.000000,,-34323934947.000000,93749435868.000000,-319945262877.000000,-292464226077.000000,1111222168.000000,,,,,,,-28192258968.000000,,,,,-400000000.000000,-319945262877.000000,210350146820.000000,27365852000.000000,,-129007700.000000,1138625626094.000000,,,-933357594772.000000,,,,-21110628000.000000,,,-1044100802.000000,210350146820.000000,-15845680189.000000,114347888130.000000,98502207941.000000
12M 2020,-80614240392.000000,4076592187006.000000,-3813011202311.000000,-188458334497.000000,-101927986619.000000,,-53808903971.000000,-80614240392.000000,-72210362426.000000,-65358270151.000000,1450327320.000000,,,,,,,-2614439520.000000,,,,-5337980075.000000,-350000000.000000,-72210362426.000000,80505892017.000000,,-19614252965.000000,,1429272340919.000000,90000000000.000000,,-1415120983286.000000,,,,-3525289800.000000,,,-505922851.000000,80505892017.000000,-72318710801.000000,98502207941.000000,26183497140.000000
12M 2021,-98875630079.000000,7332110417497.000000,-6907821501029.000000,-445289680697.000000,-11886670608.000000,,-65988195242.000000,-98875630079.000000,-73938691601.000000,-44927898551.000000,3649478311.000000,,,,,,,-31410271361.000000,,,,,-1250000000.000000,-73938691601.000000,237393895158.000000,,,,858105724758.000000,-90000000000.000000,,-530168707905.000000,,,,,,,-543121695.000000,237393895158.000000,64579573478.000000,26183497140.000000,90763070618.000000
12M 2022,-285731779283.000000,7444734572921.000000,-7037492306200.000000,-662024102655.000000,64654315995.000000,,-95604259344.000000,-285731779283.000000,-133106928106.000000,-123516756566.000000,2033378981.000000,,,,,-1668550520.000000,,,-8000000000.000000,,,-755000001.000000,-1200000000.000000,-133106928106.000000,785679609278.000000,,,,10063442796141.000000,,,-9341714298154.000000,,,90000000000.000000,-24677106877.000000,,,-1371781832.000000,785679609278.000000,366840901889.000000,90763070618.000000,457603972507.000000
12M 2023,309791872061.000000,5412548218998.000000,-4449726203833.000000,-505405737113.000000,-29891031394.000000,,-117733374597.000000,309791872061.000000,-274598033253.000000,-175789221986.000000,1261338612.000000,-89727554665.000000,,-5509008920.000000,,-1423418590.000000,,,,,,-3410167704.000000,,-274598033253.000000,234338342194.000000,,,,10688205961943.000000,,,-10429380676193.000000,-19675000000.000000,,,,,,-4811943556.000000,234338342194.000000,269532181002.000000,457603972507.000000,727136153509.000000
12M 2024,-38007531399.000000,4682427023895.000000,-4285410771758.000000,-325032481381.000000,-9290233251.000000,,-100701068904.000000,-38007531399.000000,-316942414331.000000,-319070298604.000000,7871463345.000000,,,,,-569599349.000000,,,,,,-5173979723.000000,,-316942414331.000000,380655762932.000000,,,,12001683637000.000000,,,-11607386742265.000000,-12190903750.000000,10560000000.000000,,,-7050266667.000000,,-4959961386.000000,380655762932.000000,25705817202.000000,727136153510.000000,752841970712.000000
