Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Piutang Lain-Lain,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pemegang Saham,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Utang Usaha,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,11108258740.000000,42256473539.000000,,51757944464.000000,16989305975.000000,122111982718.000000,,230701022549.000000,332912401.000000,,59291673110.000000,290325608060.000000,412437590778.000000,,,138925278661.000000,80394372874.000000,48416663639.000000,799033357.000000,,757448082.000000,,7748812282.000000,808948427.000000,,8557760709.000000,,,138925278661.000000,21819561974.000000,,,2109289128.000000,,2109289128.000000,18378623239.000000,,1331649607.000000,21819561974.000000,160744840635.000000,,216000000000.000000,,27543788557.000000,,27543788557.000000,27543788557.000000,263155667.000000,7885805919.000000,251692750143.000000,412437590778.000000,2160000000.000000
12M 2018,,,9613556973.000000,62429041389.000000,,99725903461.000000,15385791239.000000,187154293062.000000,,358275742712.000000,419944761.000000,1651137214.000000,3071675436.000000,363418500123.000000,550572793185.000000,,,196455406732.000000,169249675319.000000,23692106319.000000,661447488.000000,102987657.000000,1069972480.000000,,896908777.000000,782308692.000000,,1679217469.000000,,,196455406732.000000,2706777826.000000,,,1397101015.000000,,1397101015.000000,,,1309676811.000000,2706777826.000000,199162184558.000000,,301920000000.000000,30707054878.000000,10504093318.000000,5000000000.000000,5504093318.000000,10504093318.000000,261686660.000000,8017773771.000000,351410608627.000000,550572793185.000000,3019200000.000000
12M 2019,,,25283677378.000000,88488287828.000000,3046526.000000,65809073010.000000,22857306817.000000,202441391559.000000,,398017942249.000000,584846769.000000,,4643903945.000000,403246692963.000000,605688084522.000000,,,247879166484.000000,207741221004.000000,19807051821.000000,273815239.000000,452648721.000000,2075401712.000000,,,1365302451.000000,,1365302451.000000,15089874452.000000,1073851084.000000,247879166484.000000,3236445959.000000,,,1866876660.000000,,1866876660.000000,,,1369569299.000000,3236445959.000000,251115612443.000000,,301920000000.000000,30707054878.000000,13606670961.000000,5000000000.000000,8606670961.000000,13606670961.000000,261187200.000000,8077559040.000000,354572472079.000000,605688084522.000000,3019200000.000000
12M 2020,,,20859461393.000000,107760850204.000000,11313985466.000000,99378985967.000000,16451761192.000000,255765044222.000000,,379819806996.000000,1012443359.000000,,4338251981.000000,385170502336.000000,640935546558.000000,,,231201000022.000000,178304991262.000000,24927951128.000000,1133972080.000000,,1971029887.000000,,5550000000.000000,1030630427.000000,163641626.000000,6744272053.000000,3329478067.000000,14789305545.000000,231201000022.000000,53202325605.000000,,49609800000.000000,1402665606.000000,433596150.000000,51446061756.000000,,,1756263849.000000,53202325605.000000,284403325627.000000,,301920000000.000000,30707054878.000000,15750511967.000000,5000000000.000000,10750511967.000000,15750511967.000000,263017986.000000,7891636100.000000,356532220931.000000,640935546558.000000,3019200000.000000
12M 2021,,,27185494354.000000,138614787205.000000,35467610287.000000,105065740253.000000,12566026105.000000,318899658204.000000,,354649333900.000000,9310531498.000000,1862287500.000000,175719775.000000,365997872673.000000,684897530877.000000,,,228862581182.000000,192500891670.000000,17259572955.000000,2327074718.000000,1766218383.000000,3537101393.000000,,4560000000.000000,1555354430.000000,185334235.000000,6300688665.000000,3477968398.000000,1693065000.000000,228862581182.000000,169689113584.000000,,166907832014.000000,388625122.000000,204741152.000000,167501198288.000000,,,2187915296.000000,169689113584.000000,398551694766.000000,,301920000000.000000,30707054878.000000,-54515845207.000000,5000000000.000000,-59515845207.000000,-54515845207.000000,237170053.000000,7997456387.000000,286345836111.000000,684897530877.000000,3019200000.000000
12M 2022,,,25832910257.000000,109396876992.000000,36175676346.000000,101596862120.000000,11406624293.000000,284408950008.000000,,359756895543.000000,13638974404.000000,,290394522.000000,373686264469.000000,658095214477.000000,,,262892524518.000000,221766967304.000000,13794799998.000000,1714120931.000000,1826105104.000000,11952602959.000000,,1800000000.000000,622138630.000000,204741152.000000,2626879782.000000,9193310863.000000,17737577.000000,262892524518.000000,167569069977.000000,,164329625711.000000,453286505.000000,,164782912216.000000,,,2786157761.000000,167569069977.000000,430461594495.000000,,301920000000.000000,30707054878.000000,-112554595091.000000,5000000000.000000,-117554595091.000000,-112554595091.000000,219909877.000000,7341250318.000000,227633619982.000000,658095214477.000000,3019200000.000000
12M 2023,,,22013842407.000000,90695348635.000000,34327857864.000000,104186321347.000000,34124357791.000000,285347728044.000000,,333986137600.000000,14494256252.000000,,217648385.000000,348698042237.000000,634045770281.000000,,,33134530946.000000,,15421213368.000000,1912693621.000000,,1784848808.000000,,3721453402.000000,556089511.000000,,4277542913.000000,9063426768.000000,674805468.000000,33134530946.000000,398474527494.000000,,378394435762.000000,1890468032.000000,,380284903794.000000,,14616541780.000000,3573081920.000000,398474527494.000000,431609058440.000000,,301920000000.000000,30707054878.000000,-137634430316.000000,5000000000.000000,-142634430316.000000,-137634430316.000000,189831633.000000,7254255646.000000,202436711841.000000,634045770281.000000,3019200000.000000
