Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kas Untuk Beban Usaha,Penerimaan Kas Lainnya Dari Aktivitas Operasi,Penerimaan Penghasilan Keuangan,Pembayaran Biaya Keuangan,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak Masukan,Penerimaan (Pembayaran) Kas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan Kas Brutountuk Piutang Lain-Lain,Pembayaran Kas Brutountuk Piutang Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Penawaran Umum Saham,Pembayaran Utang Pemegang Saham,Penerimaan Dari Utang Pemegang Saham,Biaya Emisi,Kenaikan Piutang Lain-Lain,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Utang Lain-Lain - Pihak Berelasi,Pembayaran Utang Lain-Lain Jangka Panjang,Kenaikan (Penurunan) Utang Bank Jangka Panjang,Kenaikan (Penurunan) Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Sewa,Penerimaan Utang Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Bank Entitas Anak Baru,Kas Dan Setara Kas Akhir Periode
12M 2017,2428610763.000000,155542536052.000000,-118316931030.000000,-20261309752.000000,,33842626.000000,-14256268905.000000,-2328475482.000000,,2015217254.000000,2428610763.000000,-150764876566.000000,-91473203456.000000,-59291673110.000000,,,,-150764876566.000000,148892646012.000000,,-73185632.000000,,,,150000000000.000000,,,,,,,,7984835216.000000,-7794131095.000000,-1224872477.000000,,,148892646012.000000,,556380209.000000,2564670768.000000,7987207763.000000,11108258740.000000
12M 2018,-81244371426.000000,204690337144.000000,-249660419644.000000,-23745165631.000000,,23717870.000000,-14730488067.000000,-2079723626.000000,,4257370528.000000,-81244371426.000000,-81086626850.000000,-80067081560.000000,-1019545290.000000,,,,-81086626850.000000,160836296509.000000,97847361000.000000,,,,,102987656.000000,,,-18378623239.000000,,,,,88855302445.000000,-6851903505.000000,-738827848.000000,,,160836296509.000000,,-1494701767.000000,11108258740.000000,,9613556973.000000
12M 2019,17870825296.000000,240864999507.000000,-184524787723.000000,-13279060617.000000,,106086542.000000,-24335815385.000000,-2820631479.000000,,1860034451.000000,17870825296.000000,-53772528969.000000,-51876156804.000000,-1896372165.000000,,,,-53772528969.000000,51571824078.000000,,15089874452.000000,,,,349661064.000000,,,,,,,,38491545685.000000,-896908777.000000,-1462348346.000000,,,51571824078.000000,,15670120405.000000,9613556973.000000,,25283677378.000000
12M 2020,3101856343.000000,189687631410.000000,-151184050998.000000,-12404403618.000000,,75347042.000000,-24765989597.000000,-1025170041.000000,,2718492145.000000,3101856343.000000,-8814306355.000000,-8368838325.000000,-445468030.000000,,,,-8814306355.000000,1288234027.000000,,-11760396385.000000,,,-11310938941.000000,,-452648721.000000,,,55159800000.000000,-29436229742.000000,,,,,-798883078.000000,-112469106.000000,,1288234027.000000,,-4424215985.000000,25283677378.000000,,20859461393.000000
12M 2021,-92703361517.000000,215458418667.000000,-250455987102.000000,-17513356091.000000,,70063465.000000,-34689977398.000000,-3474691096.000000,,-2097831962.000000,-92703361517.000000,-6676855467.000000,-6676855467.000000,,,,,-6676855467.000000,105706249945.000000,,,148490331.000000,,-26015912321.000000,1766218383.000000,,,,116308032014.000000,14348298267.000000,,,,,-641714340.000000,-207162389.000000,,105706249945.000000,,6326032961.000000,20859461393.000000,,27185494354.000000
12M 2022,3579783136.000000,344488344766.000000,-266583679345.000000,-20186871939.000000,,42831670.000000,-35859982540.000000,-188020971.000000,,-18132838505.000000,3579783136.000000,-33678465611.000000,-33383116610.000000,-114674747.000000,,,-180674254.000000,-33678465611.000000,-327181955346.000000,,-71325003722.000000,,,,,,,,-5338206303.000000,,,,,-249464856669.000000,-868554417.000000,-185334235.000000,,-327181955346.000000,,-1352584097.000000,27185494354.000000,,25832910257.000000
12M 2023,4479199773.000000,261282974630.000000,-212376074300.000000,-49721883569.000000,,22623450.000000,-4554130354.000000,-4265642.000000,10995246724.000000,-1165291166.000000,4479199773.000000,-1859072670.000000,-1844603649.000000,,,,-14469021.000000,-1859072670.000000,-6439194953.000000,,-129884095.000000,,,,,,,,-5780703851.000000,,,,,,-323865855.000000,-204741152.000000,,-6439194953.000000,,-3819067850.000000,,,22013842407.000000
