Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Pendapatan Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,634060327.000000,-626208788.000000,7851539.000000,-12329852.000000,-4754613.000000,-3409299.000000,-4165940.000000,-12329852.000000,-4478313.000000,-626478.000000,,,-707386.000000,80908.000000,-626478.000000,-5104791.000000,658978.000000,-208683.000000,867661.000000,658978.000000,-4445813.000000,,-4445813.000000,-4445813.000000,-4445813.000000,,-4445813.000000,-4445813.000000,-4445813.000000,,-4445813.000000
12M 2014,609848167.000000,-595172818.000000,14675349.000000,-7709421.000000,-3530839.000000,-3197491.000000,-981091.000000,-7709421.000000,6965928.000000,-1089865.000000,,,-1164837.000000,74972.000000,-1089865.000000,5876063.000000,-1570749.000000,-634667.000000,-936082.000000,-1570749.000000,4305314.000000,,4305314.000000,4305314.000000,4305314.000000,,4305314.000000,4305314.000000,4305314.000000,,4305314.000000
12M 2015,516633633.000000,-499483774.000000,17149859.000000,-11604167.000000,-3247693.000000,-3433527.000000,-4922947.000000,-11604167.000000,5545692.000000,-2159528.000000,,,-2280055.000000,120527.000000,-2159528.000000,3386164.000000,-1211941.000000,-1187141.000000,-24800.000000,-1211941.000000,2174223.000000,,2174223.000000,2174223.000000,2174223.000000,,2174223.000000,2174223.000000,2174223.000000,,2174223.000000
12M 2016,466334138.000000,-445847980.000000,20486158.000000,-7430147.000000,-3225481.000000,-3772908.000000,-431758.000000,-7430147.000000,13056011.000000,-3390553.000000,826934.000000,,-4277888.000000,60401.000000,-3390553.000000,9665458.000000,-2438453.000000,-2543628.000000,105175.000000,-2438453.000000,7227005.000000,,7227005.000000,7227005.000000,7227005.000000,,7227005.000000,7227005.000000,7227005.000000,,7227005.000000
12M 2017,620635053.000000,-597685764.000000,22949289.000000,-7794783.000000,-3700237.000000,-3974539.000000,-120007.000000,-7794783.000000,15154506.000000,-4530627.000000,-395007.000000,,-4202293.000000,66673.000000,-4530627.000000,10623879.000000,-3040208.000000,-3135760.000000,95552.000000,-3040208.000000,7583671.000000,,7583671.000000,7583671.000000,7583671.000000,,7583671.000000,7583671.000000,7583671.000000,,7583671.000000
12M 2018,737231548.000000,-714062071.000000,23169477.000000,-8205527.000000,-3505468.000000,-4254652.000000,-445407.000000,-8205527.000000,14963950.000000,-6460493.000000,-2638961.000000,,-3885562.000000,64030.000000,-6460493.000000,8503457.000000,-2126016.000000,-2134122.000000,8106.000000,-2126016.000000,6377441.000000,,6377441.000000,6377441.000000,6377441.000000,,6377441.000000,6377441.000000,6377441.000000,,6377441.000000
12M 2019,583827527.000000,-564012287.000000,19815240.000000,-6259749.000000,-3883845.000000,-3238235.000000,862331.000000,-6259749.000000,13555491.000000,-5598416.000000,2082792.000000,,-7876293.000000,195085.000000,-5598416.000000,7957075.000000,-2026023.000000,-2143332.000000,117309.000000,-2026023.000000,5931052.000000,,5931052.000000,5931052.000000,5931052.000000,,5931052.000000,5931052.000000,5931052.000000,,5931052.000000
12M 2020,451052811.000000,-436367465.000000,14685346.000000,-6899381.000000,-3481694.000000,-2227717.000000,-1189970.000000,-6899381.000000,7785965.000000,-1996298.000000,-369671.000000,69370.000000,-2193057.000000,497060.000000,-1996298.000000,5789667.000000,-1285382.000000,-1345940.000000,60558.000000,-1285382.000000,4504285.000000,,4504285.000000,4504285.000000,4504285.000000,,4504285.000000,4504285.000000,4504285.000000,,4504285.000000
12M 2021,720730364.000000,-704045518.000000,16684846.000000,-5708101.000000,-3178808.000000,-2685144.000000,155851.000000,-5708101.000000,10976745.000000,-1829591.000000,1007068.000000,-4586.000000,-2925984.000000,93911.000000,-1829591.000000,9147154.000000,-2172319.000000,-2191055.000000,18736.000000,-2172319.000000,6974835.000000,,6974835.000000,6974835.000000,6974835.000000,,6974835.000000,6974835.000000,6974835.000000,,6974835.000000
12M 2022,722627365.000000,-707817158.000000,14810207.000000,-5545541.000000,-3067535.000000,-2993935.000000,515929.000000,-5545541.000000,9264666.000000,-2529269.000000,-1446600.000000,11055.000000,-1256747.000000,163023.000000,-2529269.000000,6735397.000000,-1510135.000000,-1555252.000000,45117.000000,-1510135.000000,5225262.000000,,5225262.000000,5225262.000000,5225262.000000,,5225262.000000,5225262.000000,5225262.000000,,5225262.000000
