Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Keuangan Lainnya,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,5416278.000000,89831276.000000,37421704.000000,52409572.000000,89831276.000000,978470.000000,,,978470.000000,25684118.000000,4695847.000000,126605989.000000,,16814988.000000,437880.000000,25403458.000000,42656326.000000,169262315.000000,,,154034785.000000,92943648.000000,,37150207.000000,21822738.000000,58972945.000000,,5025.000000,521608.000000,526633.000000,1499986.000000,20086.000000,71487.000000,154034785.000000,,,,154034785.000000,,12438142.000000,23918280.000000,,-21128892.000000,15227530.000000,169262315.000000,18367000.000000
12M 2014,,,11918554.000000,84622621.000000,33071994.000000,51550627.000000,84622621.000000,1083757.000000,,,1083757.000000,22392854.000000,3471229.000000,123489015.000000,,15615523.000000,,36472465.000000,52087988.000000,175577003.000000,,,155545957.000000,93500000.000000,,40990984.000000,18774619.000000,59765603.000000,,41327.000000,427144.000000,468471.000000,1562702.000000,47644.000000,201537.000000,155545957.000000,498202.000000,498202.000000,498202.000000,156044159.000000,,12438142.000000,23918280.000000,,-16823578.000000,19532844.000000,175577003.000000,18367000.000000
12M 2015,,,22822441.000000,51707143.000000,20435420.000000,31271723.000000,51707143.000000,1425484.000000,,,1425484.000000,17934637.000000,2392245.000000,96281950.000000,,13689220.000000,,20766593.000000,34455813.000000,130737763.000000,,,108507694.000000,39068467.000000,,55906550.000000,11081596.000000,66988146.000000,,,346993.000000,346993.000000,1264331.000000,50208.000000,789549.000000,108507694.000000,523002.000000,523002.000000,523002.000000,109030696.000000,,12438142.000000,23918280.000000,,-14649355.000000,21707067.000000,130737763.000000,18367000.000000
12M 2016,,,11101721.000000,70140255.000000,33191748.000000,36948507.000000,70140255.000000,428898.000000,,,428898.000000,15891281.000000,1678334.000000,99240489.000000,,11835671.000000,,18722915.000000,30558586.000000,129799075.000000,,,100447176.000000,41848765.000000,,47084240.000000,9355669.000000,56439909.000000,,1146.000000,221164.000000,222310.000000,1277588.000000,63108.000000,595496.000000,100447176.000000,417827.000000,417827.000000,417827.000000,100865003.000000,,12438142.000000,23918280.000000,,-7422350.000000,28934072.000000,129799075.000000,367340000.000000
12M 2017,,,9356331.000000,87009568.000000,32981178.000000,54028390.000000,87009568.000000,228569.000000,,,228569.000000,31840775.000000,4663462.000000,133098705.000000,,10386302.000000,,21335663.000000,31721965.000000,164820670.000000,,,127980652.000000,51877768.000000,,64733515.000000,8291246.000000,73024761.000000,,1155.000000,467002.000000,468157.000000,1640888.000000,59405.000000,909673.000000,127980652.000000,322275.000000,322275.000000,322275.000000,128302927.000000,,12438142.000000,23918280.000000,,161321.000000,36517743.000000,164820670.000000,367340000.000000
12M 2018,,,11373573.000000,111989305.000000,42483681.000000,69505624.000000,111989305.000000,1200.000000,,,1200.000000,23032253.000000,1709377.000000,148105708.000000,,9473126.000000,,33375322.000000,42848448.000000,190954156.000000,,,147744803.000000,61453629.000000,,67334368.000000,15067374.000000,82401742.000000,,,519468.000000,519468.000000,1974339.000000,83637.000000,1311988.000000,147744803.000000,314169.000000,314169.000000,314169.000000,148058972.000000,,12438142.000000,23918280.000000,,6538762.000000,42895184.000000,190954156.000000,367340000.000000
12M 2019,,,6965340.000000,73751642.000000,26512921.000000,47238721.000000,73751642.000000,163100.000000,,,163100.000000,30588491.000000,2728952.000000,114197525.000000,,9351624.000000,,30441342.000000,39792966.000000,153990491.000000,,,105922479.000000,48564851.000000,,42241853.000000,12545860.000000,54787713.000000,,,532352.000000,532352.000000,1269034.000000,70937.000000,697592.000000,105922479.000000,196860.000000,196860.000000,196860.000000,106119339.000000,,12438142.000000,23918280.000000,,11514730.000000,47871152.000000,153990491.000000,367340000.000000
12M 2020,,,38238332.000000,66720222.000000,21052963.000000,45667259.000000,66720222.000000,84009.000000,74695.000000,9314.000000,84009.000000,18751919.000000,2869704.000000,126664186.000000,,9075738.000000,,21093322.000000,30169060.000000,156833246.000000,,,105276591.000000,49634882.000000,,43098123.000000,10180656.000000,53278779.000000,,,339950.000000,339950.000000,1285233.000000,10112.000000,727635.000000,105276591.000000,136302.000000,136302.000000,136302.000000,105412893.000000,,12438142.000000,23918280.000000,,15063931.000000,51420353.000000,156833246.000000,367340000.000000
12M 2021,,,29761292.000000,53847935.000000,3194273.000000,50653662.000000,53847935.000000,126674.000000,36443.000000,90231.000000,126674.000000,28156882.000000,6049844.000000,117942627.000000,,8303660.000000,,20989811.000000,29293471.000000,147236098.000000,,,89678428.000000,37007380.000000,,40368277.000000,10157689.000000,50525966.000000,,,370533.000000,370533.000000,1194233.000000,48666.000000,531650.000000,89678428.000000,117566.000000,117566.000000,117566.000000,89795994.000000,,12438142.000000,23918280.000000,,21083682.000000,57440104.000000,147236098.000000,367340000.000000
12M 2022,,,30690286.000000,49284043.000000,6742744.000000,42541299.000000,49284043.000000,,,,,27402356.000000,3467388.000000,110844073.000000,,7482697.000000,,16565177.000000,24047874.000000,134891947.000000,,,73256152.000000,26698875.000000,,36931963.000000,7528365.000000,44460328.000000,,4911.000000,533793.000000,538704.000000,1077843.000000,14866.000000,465536.000000,73256152.000000,72449.000000,72449.000000,72449.000000,73328601.000000,,12438142.000000,23918280.000000,,25206924.000000,61563346.000000,134891947.000000,367340000.000000
