Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Penghasilan Bunga,Pembayaran Ke Pemasok Dan Karyawan,Pembayaran Untuk Beban Bunga,Pembayaran Untuk Beban Usaha,Penerimaan (Pembayaran) Pajak - Bersih,Penerimaan (Pembayaran) Lain-Lain,Penerimaan Dari Estimasi Klaim Pajak,Penerimaan Dari Pembayaran Kembali,Pembayaran Kas Untuk Piutang Direksi Dan Karyawan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hasil Penjualan Operasi Dalam Penghentian,Penempatan Deposito Berjangka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Hutang Bank Jangka Pendek,Pembayaran Hutang Bank Jangka Pendek,Pembayaran Hutang Deviden,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,-5461001.000000,639348545.000000,80549.000000,-632052154.000000,-713569.000000,-8499236.000000,801768.000000,-4426904.000000,,,,,-5461001.000000,-1209453.000000,-1222509.000000,13056.000000,,,-1209453.000000,,31924821.000000,-31924821.000000,,,,-6670454.000000,11799943.000000,,5129489.000000
12M 2014,6792403.000000,612188265.000000,72776.000000,-588973772.000000,-756207.000000,-7031029.000000,-7546150.000000,-1161480.000000,,,,,6792403.000000,-846479.000000,-870604.000000,24125.000000,,,-846479.000000,556352.000000,57000000.000000,-56443648.000000,,,556352.000000,6502276.000000,5416278.000000,,11918554.000000
12M 2015,66032777.000000,549536758.000000,122681.000000,-485813349.000000,-1448937.000000,-5724523.000000,15415736.000000,-6055589.000000,,,,,66032777.000000,-166499.000000,-184893.000000,18394.000000,,,-166499.000000,-54962391.000000,52050070.000000,-107012461.000000,,,-54962391.000000,10903887.000000,11918554.000000,,22822441.000000
12M 2016,-13972876.000000,448804505.000000,60362.000000,-452674173.000000,-2722199.000000,-6588312.000000,420047.000000,-1273106.000000,,,,,-13972876.000000,-59783.000000,-64273.000000,4490.000000,,,-59783.000000,2311939.000000,69780669.000000,-67468730.000000,,,2311939.000000,-11720720.000000,22822441.000000,,11101721.000000
12M 2017,-11940360.000000,604254140.000000,66341.000000,-595129333.000000,-3394535.000000,-7687373.000000,-7334406.000000,-2715194.000000,,,,,-11940360.000000,-239624.000000,-246679.000000,7055.000000,,,-239624.000000,10434594.000000,154628322.000000,-144193728.000000,,,10434594.000000,-1745390.000000,11101721.000000,,9356331.000000
12M 2018,-10021741.000000,711879301.000000,63406.000000,-695544383.000000,-3988214.000000,-9341923.000000,-11242144.000000,-1847784.000000,,,,,-10021741.000000,-440603.000000,-447779.000000,7176.000000,,,-440603.000000,12479586.000000,205929005.000000,-193449419.000000,,,12479586.000000,2017242.000000,9356331.000000,,11373573.000000
12M 2019,12417076.000000,621861539.000000,193751.000000,-597159138.000000,-4306650.000000,-6654177.000000,1272257.000000,-2790506.000000,,,,,12417076.000000,-1070121.000000,-1245007.000000,174886.000000,,,-1070121.000000,-15755188.000000,124175247.000000,-139000899.000000,-929536.000000,,-15755188.000000,-4408233.000000,11373573.000000,,6965340.000000
12M 2020,29867150.000000,458125524.000000,115756.000000,-426057764.000000,-2139960.000000,-7870121.000000,8771810.000000,-1078095.000000,,,,,29867150.000000,-881676.000000,-952216.000000,70540.000000,,,-881676.000000,2287518.000000,78243591.000000,-75001843.000000,-954230.000000,,2287518.000000,31272992.000000,6965340.000000,,38238332.000000
12M 2021,4188868.000000,733678625.000000,94426.000000,-713569261.000000,-1779310.000000,-7529542.000000,-6948113.000000,242043.000000,,,,,4188868.000000,-326203.000000,-326203.000000,,,,-326203.000000,-12339705.000000,61175695.000000,-72573954.000000,-941446.000000,,-12339705.000000,-8477040.000000,38238332.000000,,29761292.000000
12M 2022,12523478.000000,727557666.000000,163010.000000,-712024169.000000,-1193133.000000,-6472144.000000,6949409.000000,-2457161.000000,,,,,12523478.000000,-206983.000000,-218038.000000,11055.000000,,,-206983.000000,-8397092.000000,130368821.000000,-137686917.000000,-1078996.000000,,-8397092.000000,3919403.000000,29761292.000000,-2990409.000000,30690286.000000
12M 2023,-15872405.000000,738038915.000000,391117.000000,-734985686.000000,-2998665.000000,-6301886.000000,-11118441.000000,1102241.000000,,,,,-15872405.000000,-742024.000000,-767898.000000,25874.000000,,,-742024.000000,13984842.000000,214637971.000000,-199207294.000000,-1445835.000000,,13984842.000000,-2629587.000000,30690286.000000,-3663024.000000,24397675.000000
12M 2024,2853325.000000,839775579.000000,264087.000000,-827343042.000000,-2700197.000000,-5546599.000000,-21188354.000000,583860.000000,19007991.000000,,,,2853325.000000,-635689.000000,-649590.000000,13901.000000,,,-635689.000000,-10576856.000000,281386137.000000,-290115313.000000,-1847680.000000,,-10576856.000000,-8359220.000000,24397675.000000,-1864849.000000,14173606.000000
