Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Real Estat,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,308202099960.000000,39753500000.000000,223803159091.000000,,223803159091.000000,223803159091.000000,4440428237.000000,,4440428237.000000,4440428237.000000,9848027719.000000,15129803686.000000,601177018693.000000,,,,11953338163.000000,,291764559880.000000,2322470585.000000,398749190263.000000,25324959085.000000,730114517976.000000,1331291536669.000000,,,189786823535.000000,777210553.000000,,9321861060.000000,24966886655.000000,34288747715.000000,52056508980.000000,,,52056508980.000000,32950711398.000000,63354562441.000000,,,,,,,6359082448.000000,189786823535.000000,257282834150.000000,,,198596697785.000000,198596697785.000000,,58686136365.000000,257282834150.000000,447069657685.000000,,400000000000.000000,36709233000.000000,453015012762.000000,18170553759.000000,434844459003.000000,453015012762.000000,744133222.000000,-6246500000.000000,884221878984.000000,1331291536669.000000,1599999998.000000
12M 2009,,,433020053528.000000,,202690452255.000000,,202690452255.000000,202690452255.000000,4688935951.000000,,4688935951.000000,4688935951.000000,11414356496.000000,19846498160.000000,671660296390.000000,,70993736701.000000,,2901229364.000000,,295222730203.000000,2094085772.000000,418927935781.000000,67637468117.000000,857777185938.000000,1529437482328.000000,,,340836749289.000000,,,14354785471.000000,47082313669.000000,61437099140.000000,69407215514.000000,,,69407215514.000000,40663667562.000000,75762802720.000000,,,79853813884.000000,,79853813884.000000,,13712150469.000000,340836749289.000000,220456853760.000000,,,119319284795.000000,119319284795.000000,,101137568965.000000,220456853760.000000,561293603049.000000,,400000000000.000000,36709233000.000000,530644494049.000000,19492884605.000000,511151609444.000000,530644494049.000000,790152230.000000,,968143879279.000000,1529437482328.000000,1599999998.000000
12M 2010,,,328348583300.000000,,241503393898.000000,,241503393898.000000,241503393898.000000,6539936238.000000,,,6539936238.000000,10524743349.000000,24146420543.000000,611063077328.000000,,43082939777.000000,,2180973756.000000,,243613767890.000000,1890605318.000000,642595483087.000000,24761540384.000000,958125310212.000000,1569188387540.000000,,,305531455272.000000,,,30624403543.000000,54773695325.000000,85398098868.000000,93153296735.000000,,,93153296735.000000,38614111506.000000,67964015350.000000,,,,,,,20401932813.000000,305531455272.000000,185681023858.000000,,,119593647975.000000,119593647975.000000,,66087375883.000000,185681023858.000000,491212479130.000000,,400000000000.000000,36709233000.000000,608402105355.000000,20866782605.000000,587535322750.000000,608402105355.000000,32864570055.000000,,1077975908410.000000,1569188387540.000000,1599999998.000000
12M 2011,,,400236840673.000000,,145237120179.000000,,145237120179.000000,145237120179.000000,3005428872.000000,,,3005428872.000000,9574960044.000000,20602827421.000000,578657177189.000000,,17750391117.000000,2500000000.000000,239478861.000000,43671227528.000000,178698299073.000000,461814307.000000,827920284166.000000,87133234543.000000,1158374729595.000000,1737031906784.000000,,,426262590838.000000,,,8359676619.000000,24619512319.000000,32979188938.000000,100824930969.000000,,,100824930969.000000,46155637223.000000,72087867623.000000,,,119866109303.000000,,119866109303.000000,,54348856782.000000,426262590838.000000,131544066210.000000,,50000000000.000000,,50000000000.000000,,81544066210.000000,131544066210.000000,557806657048.000000,,400000000000.000000,36709233000.000000,703923138546.000000,22284358605.000000,681638779941.000000,703923138546.000000,38592878190.000000,,1179225249736.000000,1737031906784.000000,1599999998.000000
12M 2012,,,553221981521.000000,,136971731350.000000,,136971731350.000000,136971731350.000000,717707840.000000,,,717707840.000000,6249996967.000000,23426546288.000000,720587963966.000000,,22075099250.000000,1500000000.000000,135906346.000000,104190707497.000000,239922748164.000000,181254406125.000000,994368013804.000000,124228433893.000000,1667675315079.000000,2388263279045.000000,,,460380547365.000000,,,33701685528.000000,22546180790.000000,56247866318.000000,128204676788.000000,,,128204676788.000000,36728288842.000000,104446580450.000000,,60000000000.000000,,,60000000000.000000,,74753134967.000000,460380547365.000000,617806340011.000000,,140000000000.000000,296479682040.000000,436479682040.000000,3985974253.000000,177340683718.000000,617806340011.000000,1078186887376.000000,,400000000000.000000,36709233000.000000,810074451017.000000,23903568936.000000,786170882081.000000,810074451017.000000,54216382610.000000,9076325042.000000,1310076391669.000000,2388263279045.000000,1599999998.000000
12M 2013,,,416652173213.000000,,227613437744.000000,,227613437744.000000,227613437744.000000,839262213.000000,,,839262213.000000,5488985261.000000,16121912579.000000,666715771010.000000,,18590462177.000000,,110730628.000000,203620340088.000000,193086658163.000000,283901797473.000000,1185418701488.000000,75631531746.000000,1960360221763.000000,2627075992773.000000,,,443357575308.000000,,,17357890638.000000,14465485793.000000,31823376431.000000,85957174817.000000,,,85957174817.000000,54390753206.000000,59742009602.000000,,100000000000.000000,,,100000000000.000000,,111444261252.000000,443357575308.000000,713184720715.000000,,140000000000.000000,297370852943.000000,437370852943.000000,4741084142.000000,271072783630.000000,713184720715.000000,1156542296023.000000,,400000000000.000000,36709233000.000000,923064793355.000000,25685082059.000000,897379711296.000000,923064793355.000000,101683345353.000000,9076325042.000000,1470533696750.000000,2627075992773.000000,1599999998.000000
12M 2014,,,322966887128.000000,,150048103773.000000,,150048103773.000000,150048103773.000000,570037752.000000,,,570037752.000000,7621919818.000000,19487622747.000000,500694571218.000000,,49497355116.000000,,3598594775.000000,434247533173.000000,247218256870.000000,276577280460.000000,1267689072567.000000,127494632624.000000,2406322725585.000000,2907017296803.000000,,,559106472934.000000,,,17120548655.000000,47828620642.000000,64949169297.000000,28815694315.000000,,,28815694315.000000,69558123462.000000,107111320405.000000,,95000000000.000000,99204847511.000000,,194204847511.000000,,94467317944.000000,559106472934.000000,729727438190.000000,,145000000000.000000,199024170005.000000,344024170005.000000,1244874124.000000,384458394061.000000,729727438190.000000,1288833911124.000000,,400000000000.000000,36709233000.000000,1072784340800.000000,27606985481.000000,1045177355319.000000,1072784340800.000000,99613486837.000000,9076325042.000000,1618183385679.000000,2907017296803.000000,1599999998.000000
12M 2015,,,309941964897.000000,,142285392854.000000,,142285392854.000000,142285392854.000000,3580772785.000000,,,3580772785.000000,7124520735.000000,150176214201.000000,613108865472.000000,,45892202207.000000,,487259142.000000,275431134490.000000,300466599339.000000,282110165613.000000,1483776941248.000000,128903943553.000000,2517068245592.000000,3130177111064.000000,,,519711023026.000000,,,16102439128.000000,93999585742.000000,110102024870.000000,34909907523.000000,,,34909907523.000000,69358560146.000000,59984817005.000000,,90000000000.000000,,,90000000000.000000,,155355713482.000000,519711023026.000000,821928326687.000000,,139535836661.000000,199075394114.000000,338611230775.000000,13776212650.000000,469540883262.000000,821928326687.000000,1341639349713.000000,,400000000000.000000,36709233000.000000,1245298462077.000000,29958580955.000000,1215339881122.000000,1245298462077.000000,106530066274.000000,,1788537761351.000000,3130177111064.000000,1599999998.000000
12M 2016,,,753938901799.000000,,112463193710.000000,,112463193710.000000,112463193710.000000,12435204727.000000,2639041096.000000,9796163631.000000,12435204727.000000,9692442668.000000,27144519420.000000,915674262324.000000,,74045524725.000000,,1452512251.000000,551289073117.000000,254206206824.000000,269636974851.000000,1565215915945.000000,137030565197.000000,2852876772910.000000,3768551035234.000000,,,1028727062548.000000,,,22859975538.000000,71271740615.000000,94131716153.000000,,10099034912.000000,43170294296.000000,53269329208.000000,61895260837.000000,86677782074.000000,,390000000000.000000,199544769842.000000,,589544769842.000000,,143208204434.000000,1028727062548.000000,911711483303.000000,,49571673321.000000,296268170738.000000,345839844059.000000,16007977793.000000,549863661451.000000,911711483303.000000,1940438545851.000000,,400000000000.000000,36709233000.000000,1261778500696.000000,32867186672.000000,1228911314024.000000,1261778500696.000000,129624755687.000000,,1828112489383.000000,3768551035234.000000,1599999998.000000
12M 2017,,,425416403789.000000,,100317915837.000000,,100317915837.000000,100317915837.000000,19879766902.000000,6491940400.000000,13387826502.000000,19879766902.000000,7022219262.000000,134987545610.000000,687623851400.000000,,55478580702.000000,,4627424914.000000,568039188338.000000,295472734345.000000,258207050786.000000,1729307714017.000000,149513255818.000000,3060645948920.000000,3748269800320.000000,,,659103623673.000000,,,8984560703.000000,52610896764.000000,61595457467.000000,,9960377248.000000,30067526064.000000,40027903312.000000,32774841569.000000,123600387529.000000,,300000000000.000000,,,300000000000.000000,,101105033796.000000,659103623673.000000,1098728439377.000000,,197847816667.000000,297536251146.000000,495384067813.000000,31328902194.000000,572015469370.000000,1098728439377.000000,1757832063050.000000,,400000000000.000000,40404433000.000000,1413484941481.000000,34175432722.000000,1379309508759.000000,1413484941481.000000,134196481369.000000,2351881420.000000,1990437737270.000000,3748269800320.000000,1599999998.000000
