Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Penerimaan Klaim Kasus Hukum,Penerimaan Klaim Asuransi,Pembayaran Beban Bunga Dan Keuangan,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Dividen Dari Entitas Asosiasi,Penambahan Aset Lain-Lain,Pencairan Deposito Berjangka,Pencairan Dana Dibatasi Penggunaannya,Penempatan Deposito Berjangka Dibatasi Penggunaannya,Hasil Pelepasan Investasi Jangka Pendek,Perolehan Aset Real Estat,Penempatan Investasi,Penarikan (Penambahan) Uang Muka Setoran Investasi,Penerimaan Pengembalian Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Pelepasan Entitas Anak,Penyertaan Investasi Ventura Bersama,Pembagian Keuntungan Entitas Ventura Bersama,Pembayaran Kepada Kepentingan Non Pengendali,Penerimaan Pelepasan Kepemilikan Entitas Asosiasi,Pembayaran Pengembalian Uang Muka Setoran Modal,Pencairan (Penempatan) Investasi Jangka Pendek,Pencairan Aset Keuangan Dimiliki Hingga Jatuh Tempo,Penempatan Dana Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Provisi Bank,Pembayaran Dividen,Pembayaran Dividen Entitas Anak,Pembayaran Liabilitas Sewa,Pembayaran Biaya Emisi Obligasi,Penerimaan Utang Obligasi,Pembayaran Utang Obligasi,Pembayaran Utang Bank,Pembayaran Hutang Sewa Guna Usaha,Pembayaran Pengembalian Uang Muka Setoran Modal,Pembayaran Kepada Kepentingan Nonpengendali,Hasil Penerbitan Modal Di Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,302732674010.000000,906300989581.000000,-345235520649.000000,-139823481335.000000,16356117141.000000,,155418445.000000,-19066680553.000000,,-115954168620.000000,302732674010.000000,-210657152393.000000,3742619698.000000,,-269460000.000000,,,,,-88003133046.000000,,,,-101127179045.000000,,,,,,,,-25000000000.000000,,,-210657152393.000000,-55542789436.000000,777210553.000000,,-56319999989.000000,,,,,,,,,,,-55542789436.000000,36532732181.000000,,271669367779.000000,308202099960.000000
12M 2009,309952727342.000000,925684193363.000000,-376619426483.000000,-152157876845.000000,24199090551.000000,,5383587237.000000,-20698464778.000000,,-95838375703.000000,309952727342.000000,-124597563296.000000,700226108.000000,,-1809369291.000000,,,,46418525973.000000,-79536296282.000000,,,,-90370649804.000000,,,,,,,,,,,-124597563296.000000,-60537210478.000000,,,-59759999925.000000,,,,,,-777210553.000000,,,,,-60537210478.000000,124817953568.000000,,308202099960.000000,433020053528.000000
12M 2010,374808822184.000000,959111346693.000000,-321942611783.000000,-155425655633.000000,18840785576.000000,,6768500.000000,-16767043759.000000,,-109014767410.000000,374808822184.000000,-335480292494.000000,618269949.000000,,-1180464742.000000,,,,,-125874500061.000000,,,,-209043597640.000000,,,,,,,,,,,-335480292494.000000,-143999999918.000000,,,-63999999918.000000,,,,,-80000000000.000000,,,,,,-143999999918.000000,-104671470228.000000,,433020053528.000000,328348583300.000000
12M 2011,413203960125.000000,1078232715767.000000,-386334025156.000000,-167030087579.000000,11482245805.000000,,,-13236220814.000000,,-109910667898.000000,413203960125.000000,-324915702835.000000,461912050.000000,,-1404743531.000000,,,,,-31427250394.000000,-43750000000.000000,,,-248795620960.000000,,,,,,,,,,,-324915702835.000000,-16399999917.000000,50000000000.000000,,-66399999917.000000,,,,,,,,,,,-16399999917.000000,71888257373.000000,,328348583300.000000,400236840673.000000
12M 2012,462997308365.000000,1188915220957.000000,-525843651121.000000,-159973159088.000000,10171468372.000000,4500000000.000000,970017411.000000,-11550786780.000000,,-44191801386.000000,462997308365.000000,-564491849647.000000,571590598.000000,583398902.000000,,,,-40000000000.000000,,-48000000000.000000,-156227297266.000000,,,-321419541881.000000,,,,,,,,,,,-564491849647.000000,254479682130.000000,150000000000.000000,,-71999999910.000000,,,-3520317960.000000,300000000000.000000,-120000000000.000000,,,,,,254479682130.000000,152985140848.000000,,400236840673.000000,553221981521.000000
12M 2013,232849399683.000000,1276871062460.000000,-733166803073.000000,-184551888775.000000,8585462273.000000,,206278757.000000,-48211922793.000000,,-86882789166.000000,232849399683.000000,-330219208090.000000,1510407500.000000,,,,,,,-44500000000.000000,,,,-287229615590.000000,,,,,,,,,,,-330219208090.000000,-39199999901.000000,100000000000.000000,,-79199999901.000000,,,,,,-60000000000.000000,,,,,-39199999901.000000,-136569808308.000000,,553221981521.000000,416652173213.000000
12M 2014,366964305102.000000,1255525698339.000000,-595773613200.000000,-182543234913.000000,13294810289.000000,,665542476.000000,-58822095944.000000,,-65382801945.000000,366964305102.000000,-375209591294.000000,6372285454.000000,,,,,,,-223961832880.000000,,,,-157620043868.000000,,,,,,,,,,,-375209591294.000000,-85439999893.000000,100000000000.000000,,-85439999893.000000,,,,,,-100000000000.000000,,,,,-85439999893.000000,-93685286085.000000,,416652173213.000000,322966887128.000000
12M 2015,326230317556.000000,1148236830851.000000,-554171998351.000000,-188400161942.000000,8638082542.000000,,550043481.000000,-37725417497.000000,,-50897061528.000000,326230317556.000000,-134847869787.000000,897035000.000000,,,,,,,-235744904787.000000,,100000000000.000000,,,,,,,,,,,,,-134847869787.000000,-205599999870.000000,100000000000.000000,,-103999999870.000000,,,,,-100000000000.000000,-110000000000.000000,,,,8400000000.000000,-205599999870.000000,-14217552101.000000,1192629870.000000,322966887128.000000,309941964897.000000
12M 2016,534557797420.000000,1417599100699.000000,-550282201575.000000,-189263199671.000000,16666016358.000000,,7161776309.000000,-45484866735.000000,,-121838827965.000000,534557797420.000000,-488699695282.000000,1606863993.000000,,,,,,,-278868075497.000000,,,,,,,,,,,,-211438483778.000000,,,-488699695282.000000,398404636797.000000,300000000000.000000,,-110399999863.000000,,,,298768800000.000000,,-89964163340.000000,,,,,398404636797.000000,444262738935.000000,-265802033.000000,309941964897.000000,753938901799.000000
12M 2017,224409067369.000000,1346375256383.000000,-743688290969.000000,-181781114151.000000,31146306932.000000,,76862195.000000,-70744313798.000000,,-156975639223.000000,224409067369.000000,-363617218376.000000,370350000.000000,,-4420643343.000000,,,,,-261094223005.000000,,-98472702028.000000,,,,,,,,,,,,,-363617218376.000000,-189599999938.000000,200000000000.000000,,-49599999938.000000,,,,,-200000000000.000000,-140000000000.000000,,,,,-189599999938.000000,-328808150945.000000,285652935.000000,753938901799.000000,425416403789.000000
