Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba Dari Ventura Bersama,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,854372253824.000000,-472900036600.000000,381472217224.000000,-185758894390.000000,-46934698312.000000,-138824196078.000000,,,,,-185758894390.000000,195713322834.000000,-3874600169.000000,,,,-3874600169.000000,191838722665.000000,-59548096594.000000,-60803973963.000000,1255877369.000000,,-59548096594.000000,132290626071.000000,-57541484.000000,132233084587.000000,,,132233084587.000000,132290626071.000000,-57541484.000000,132233084587.000000,,,,
12M 2009,898321610420.000000,-523142249228.000000,375179361192.000000,-188953935331.000000,-43496502026.000000,-145457433305.000000,,,,,-188953935331.000000,186225425861.000000,4709616627.000000,,,,4709616627.000000,190935042488.000000,-53479509223.000000,-44427400424.000000,-9052108799.000000,,-53479509223.000000,137455533265.000000,-66052053.000000,137389481212.000000,,,137389481212.000000,137455533265.000000,-66052053.000000,137389481212.000000,,,,
12M 2010,921926345518.000000,-535324381662.000000,386601963856.000000,-188365938452.000000,-35652114741.000000,-152713823711.000000,,,,,-188365938452.000000,198236025404.000000,-11466673181.000000,,,,-11466673181.000000,186769352223.000000,-44914204948.000000,-44193949340.000000,-720255608.000000,,-44914204948.000000,141855147275.000000,-97536051.000000,141757611224.000000,,,141757611224.000000,141855147275.000000,-97536051.000000,141757611224.000000,,,,
12M 2011,932949889202.000000,-512621452845.000000,420328436357.000000,-197853839068.000000,-44225692729.000000,-172265458473.000000,12211786440.000000,-690282720.000000,181266817.000000,6934541597.000000,-197853839068.000000,222474597289.000000,-13850122964.000000,-13236220814.000000,,-613902150.000000,-13850122964.000000,208624474325.000000,-46685248392.000000,-44743753497.000000,-1941494895.000000,,-46685248392.000000,161939225933.000000,,161939225933.000000,,161939225933.000000,161939225933.000000,161921033108.000000,18192825.000000,161939225933.000000,161939225933.000000,161921033108.000000,18192825.000000,161939225933.000000
12M 2012,1053738348352.000000,-596651020871.000000,457087327481.000000,-205147907431.000000,-50514693449.000000,-163541544899.000000,8265636701.000000,523838276.000000,3004973212.000000,-2886117272.000000,-205147907431.000000,251939420050.000000,-12793239040.000000,-8542340664.000000,-682236343.000000,-3568662033.000000,-12793239040.000000,239146181010.000000,-61296939381.000000,-57207392613.000000,-4089546768.000000,,-61296939381.000000,177849241629.000000,,177849241629.000000,9076325042.000000,186925566671.000000,177849241628.000000,178151312381.000000,-302070753.000000,177849241628.000000,186925566670.000000,187227637423.000000,-302070753.000000,186925566670.000000
12M 2013,1241637263489.000000,-748355151267.000000,493282112222.000000,-206157088991.000000,-43551817284.000000,-176042780457.000000,6420642160.000000,588513731.000000,1989734110.000000,4438618749.000000,-206157088991.000000,287125023231.000000,-25121049817.000000,-29629486375.000000,-2421196033.000000,6929632591.000000,-25121049817.000000,262003973414.000000,-71899043561.000000,-71118757954.000000,-780285607.000000,,-71899043561.000000,190104929853.000000,,190104929853.000000,,190104929853.000000,190104929855.000000,192190342239.000000,-2085412384.000000,190104929855.000000,190104929855.000000,192190342239.000000,-2085412384.000000,190104929855.000000
12M 2014,1101364125686.000000,-602089376120.000000,499274749566.000000,-216554826939.000000,-42347481082.000000,-196237966844.000000,13294810289.000000,4434238409.000000,127343498.000000,4174228791.000000,-216554826939.000000,282719922627.000000,21783843080.000000,-41090748992.000000,55743201703.000000,7131390369.000000,21783843080.000000,304503765707.000000,-71414076885.000000,,,,-71414076885.000000,233089688822.000000,,233089688822.000000,,233089688822.000000,233089688822.000000,235159547338.000000,-2069858516.000000,233089688822.000000,233089688822.000000,235159547338.000000,-2069858516.000000,233089688822.000000
12M 2015,1131489537123.000000,-591324278554.000000,540165258569.000000,-119719452850.000000,-44272606433.000000,-176122566875.000000,8638082542.000000,-678698015.000000,967010228.000000,91749325703.000000,-119719452850.000000,420445805719.000000,-5842719938.000000,-36142217775.000000,20654063639.000000,9645434198.000000,-5842719938.000000,414603085781.000000,-125183165110.000000,-89179850199.000000,,-36003314911.000000,-125183165110.000000,289419920671.000000,,289419920671.000000,-11841605.000000,289408079066.000000,289419920671.000000,290860571657.000000,-1440650986.000000,289419920671.000000,289408079066.000000,290849475643.000000,-1441396577.000000,289408079066.000000
12M 2016,1283534956671.000000,-703295055756.000000,580239900915.000000,-339970397824.000000,-46584993247.000000,-215773490743.000000,16666016358.000000,678806181.000000,-265802033.000000,-94690934340.000000,-339970397824.000000,240269503091.000000,29127177090.000000,-45484866735.000000,10192588976.000000,64419454849.000000,29127177090.000000,269396680181.000000,-115503175446.000000,-92770384570.000000,,-22732790876.000000,-115503175446.000000,153893504735.000000,,153893504735.000000,-3913071041.000000,149980433694.000000,153893504735.000000,130824605046.000000,23068899689.000000,153893504735.000000,149980433694.000000,126880038481.000000,23100395213.000000,149980433694.000000
12M 2017,1240030154039.000000,-640764948420.000000,599265205619.000000,-205225155369.000000,-47302249302.000000,-203387979673.000000,31229214330.000000,-138947974.000000,285652935.000000,14089154315.000000,-205225155369.000000,394040050250.000000,-45581707100.000000,-70744313798.000000,8352227525.000000,16810379173.000000,-45581707100.000000,348458343150.000000,-124303755073.000000,-112794469469.000000,,-11509285604.000000,-124303755073.000000,224154588077.000000,,224154588077.000000,-19009369482.000000,205145218595.000000,224154588077.000000,220218637478.000000,3935950599.000000,224154588077.000000,205145218595.000000,201306440723.000000,3838777872.000000,205145218595.000000
