Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.64,552.17,0.64,552.17,1 B,199 B,199 B,(109 B),411 B
12M 2009,0.84,604.60,0.84,604.60,80 B,119 B,199 B,(234 B),331 B
12M 2010,1.29,653.19,1.29,653.19,,120 B,120 B,(209 B),306 B
12M 2011,1.40,712.90,1.40,712.90,120 B,50 B,170 B,(230 B),152 B
12M 2012,0.94,784.91,0.94,784.91,60 B,436 B,496 B,(57 B),260 B
12M 2013,1.27,855.53,1.27,855.53,100 B,437 B,537 B,121 B,223 B
12M 2014,1.87,949.11,1.87,949.11,194 B,344 B,538 B,215 B,(58 B)
12M 2015,1.93,1051.25,1.93,1051.25,90 B,339 B,429 B,119 B,93 B
12M 2016,1.90,1061.55,1.90,1061.55,590 B,346 B,935 B,181 B,(113 B)
12M 2017,1.14,1160.15,1.14,1160.15,300 B,495 B,795 B,370 B,29 B
12M 2018,1.01,1245.41,1.01,1245.41,896 B,401 B,"1,296 B",506 B,(242 B)
12M 2019,0.74,1330.48,0.74,1330.48,268 B,699 B,967 B,489 B,17 B
12M 2020,0.55,1088.12,0.55,1088.12,999 B,,999 B,666 B,"(1,106 B)"
12M 2021,0.61,922.66,0.61,922.66,516 B,"1,115 B","1,631 B",787 B,(163 B)
12M 2022,0.75,966.23,0.75,966.23,389 B,728 B,"1,116 B",610 B,(372 B)
12M 2023,0.92,1029.48,0.92,1029.48,190 B,682 B,873 B,461 B,(179 B)
12M 2024,0.52,1071.44,0.52,1071.44,245 B,565 B,810 B,517 B,(175 B)
