Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0
12M 2020,2.84,2.83,0.0,1.35,0.0,0.0,-0.0,0.0,0.35
12M 2021,4.9,3.95,0.12,1.18,0.0,0.0,0.01,0.1,0.18
12M 2022,11.36,9.09,0.0,1.02,0.0,0.0,-0.15,0.0,0.02
12M 2023,3.89,2.99,0.14,1.2,0.0,0.0,0.0,0.12,0.2
12M 2024,1.12,0.67,0.35,1.41,0.0,0.0,0.3,0.25,0.41
