Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,,,,-57902765.000000,-57902765.000000,-57902765.000000,-57902765.000000,-1359418.000000,1938.000000,-1361356.000000,,,,-1359418.000000,-59262183.000000,,-59262183.000000,-59262183.000000,,-59262183.000000,-59262183.000000,-59262183.000000,,-59262183.000000,-59262183.000000,-59262183.000000,,-59262183.000000
12M 2020,,,,-144728357.000000,-144728357.000000,-144728357.000000,-144728357.000000,5196283.000000,702220.000000,4494063.000000,,,,5196283.000000,-139532074.000000,,-139532074.000000,-139532074.000000,,-139532074.000000,-139532074.000000,-139532074.000000,,-139532074.000000,-139532074.000000,-139532074.000000,,-139532074.000000
12M 2021,252933150474.000000,-157947375557.000000,94985774917.000000,-3263074267.000000,-3263074267.000000,-3263074267.000000,91722700650.000000,-1566287228.000000,882734167.000000,686779116.000000,-100602740.000000,-3035197771.000000,,-1566287228.000000,90156413422.000000,,90156413422.000000,90156413422.000000,,90156413422.000000,90156413422.000000,90156413422.000000,,90156413422.000000,90156413422.000000,90156413422.000000,,90156413422.000000
12M 2022,371326582170.000000,-209547365141.000000,161779217029.000000,-17541431771.000000,-17541431771.000000,-17541431771.000000,144237785258.000000,-1718740983.000000,4074621824.000000,-42183597.000000,-1295260274.000000,-4455918936.000000,,-1718740983.000000,142519044275.000000,,142519044275.000000,142519044275.000000,-10247769.000000,142508796506.000000,142519044275.000000,142519044275.000000,,142519044275.000000,142508796506.000000,142508796506.000000,,142508796506.000000
12M 2023,575675705805.000000,-338721497595.000000,236954208210.000000,-27545311181.000000,-27545311181.000000,-27545311181.000000,209408897029.000000,-11237358427.000000,2099978081.000000,2984990633.000000,-9414218749.000000,-6908108392.000000,,-11237358427.000000,198171538602.000000,,198171538602.000000,198171538602.000000,-13286122.000000,198158252480.000000,198171538602.000000,198171538602.000000,,198171538602.000000,198158252480.000000,198158252480.000000,,198158252480.000000
12M 2024,748198618716.000000,-539170864359.000000,209027754357.000000,-46155402743.000000,-46155402743.000000,-46155402743.000000,162872351614.000000,-21341675687.000000,6666157483.000000,-6744902847.000000,-12284546999.000000,-8978383324.000000,,-21341675687.000000,141530675927.000000,,141530675927.000000,141530675927.000000,45629409.000000,141576305336.000000,141530675927.000000,141530675927.000000,,141530675927.000000,141576305336.000000,141576305336.000000,,141576305336.000000
