Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang Lainnya,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,440737817.000000,,,,,,279500000000.000000,,279500000000.000000,279500000000.000000,,,279940737817.000000,,,,,279940737817.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,280000000000.000000,,-59262183.000000,,,-59262183.000000,,279940737817.000000,279940737817.000000,2800000.000000
12M 2020,,,870858286.000000,,,,,,278000000000.000000,,278000000000.000000,278000000000.000000,1462879267.000000,100000000.000000,280433737553.000000,,98000000000.000000,,98000000000.000000,378433737553.000000,,,98632531810.000000,,9000000.000000,1523531810.000000,1532531810.000000,,,,97100000000.000000,97100000000.000000,,,,,,,98632531810.000000,,,,,,,98632531810.000000,,280000000000.000000,,-198794257.000000,,,-198794257.000000,,279801205743.000000,378433737553.000000,2800000.000000
12M 2021,,,41481112555.000000,55000000000.000000,13950431858.000000,13950431858.000000,,13950431858.000000,397222222.000000,397222222.000000,,397222222.000000,28486714888.000000,7207191256.000000,146522672779.000000,,285167586592.000000,4370000000.000000,289537586592.000000,436060259371.000000,,,29920089461.000000,,19758198672.000000,327599358.000000,20085798030.000000,,,,,,732488117.000000,101803314.000000,,9000000000.000000,9000000000.000000,,29920089461.000000,36182550754.000000,,36000000000.000000,36000000000.000000,182550754.000000,36182550754.000000,66102640215.000000,,280000000000.000000,,89957619156.000000,,,89957619156.000000,,369957619156.000000,436060259371.000000,2800000.000000
12M 2022,,,105140947087.000000,,29251730511.000000,29251730511.000000,,29251730511.000000,5704756108.000000,5704756108.000000,,5704756108.000000,37084330656.000000,8216095580.000000,185397859942.000000,,521944316529.000000,8905839686.000000,530850156215.000000,716248016157.000000,,,16319021173.000000,,12427205682.000000,176669726.000000,12603875408.000000,,,,,,3548445765.000000,166700000.000000,,,,,16319021173.000000,515904154.000000,,,,515904154.000000,515904154.000000,16834925327.000000,,350000000000.000000,150904294324.000000,198508796506.000000,56000000000.000000,142508796506.000000,198508796506.000000,,699413090830.000000,716248016157.000000,7000000000.000000
12M 2023,,,121628771516.000000,,99578208349.000000,99578208349.000000,,99578208349.000000,4665715377.000000,4665715377.000000,,4665715377.000000,72807360697.000000,15926573922.000000,314606629861.000000,,710765453569.000000,20454381865.000000,731219835434.000000,1045826465295.000000,,,80861323430.000000,,43996129180.000000,129856993.000000,44125986173.000000,,,,,,6300206133.000000,510131124.000000,,29925000000.000000,29925000000.000000,,80861323430.000000,95883798555.000000,94768750000.000000,,94768750000.000000,1115048555.000000,95883798555.000000,176745121985.000000,,350000000000.000000,150904294324.000000,368177048986.000000,70000000000.000000,298177048986.000000,368177048986.000000,,869081343310.000000,1045826465295.000000,7000000000.000000
12M 2024,,,54046280445.000000,,65567755391.000000,65567755391.000000,,65567755391.000000,3821972783.000000,3821972783.000000,,3821972783.000000,109843105486.000000,37130002639.000000,270409116744.000000,,1066401148415.000000,36573652869.000000,1102974801284.000000,1373383918028.000000,,,240622978394.000000,,57432729478.000000,29619081.000000,57462348559.000000,125750428309.000000,,,,,1011062619.000000,539138908.000000,,55859999999.000000,55859999999.000000,,240622978394.000000,161723290988.000000,159938749989.000000,,159938749989.000000,1784540999.000000,161723290988.000000,402346269382.000000,,350000000000.000000,150904294324.000000,470133354322.000000,70000000000.000000,400133354322.000000,470133354322.000000,,971037648646.000000,1373383918028.000000,7000000000.000000
