Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Karyawan,Pemasok,Total Pembayaran Kas Kepada:,Penerimaan Bunga,Pembayaran Kas Untuk Operasional Dan Lainnya,Pembayaran Kas Untuk:,Beban Keuangan,Pajak,Total Pembayaran Kas Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Piutang Lain-Lain Pihak Berelasi,Investasi Pada Ventura Bersama,Kenaikan Uang Muka Tidak Lancar,Perolehan Aset Takberwujud,Perolehan Aset Lainnya,Penambahan Beban Docking Ditangguhkan,Penambahan Deposito Berjangka,Pencairan Deposito Berjangka,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Utang Bank Jangka Pendek,Setoran Modal Saham,Pembayaran Biaya Emisi,Dividen,Pembayaran Utang Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-59262183.000000,,,,-59264121.000000,-59264121.000000,1938.000000,,,,,,-59262183.000000,,,,,,,,,,,,500000000.000000,,,,500000000.000000,,,,500000000.000000,440737817.000000,,440737817.000000
12M 2020,-169879531.000000,,,,-170581751.000000,-170581751.000000,702220.000000,,,,,,-169879531.000000,600000000.000000,1500000000.000000,,,,,,,,-900000000.000000,600000000.000000,,,,,,,,,,430120469.000000,440737817.000000,870858286.000000
12M 2021,75828879269.000000,238982718616.000000,,,-160604153521.000000,-160604153521.000000,485511945.000000,,,,-3035197771.000000,-3035197771.000000,75828879269.000000,16881375000.000000,278000000000.000000,,,,,-5700000000.000000,-55000000000.000000,,-200418625000.000000,16881375000.000000,-52100000000.000000,45000000000.000000,,,,,,-97100000000.000000,-52100000000.000000,40610254269.000000,870858286.000000,41481112555.000000
12M 2022,130756945378.000000,356025283517.000000,,,-223888400235.000000,-223888400235.000000,4471844046.000000,,,-1395863014.000000,-4455918936.000000,-5851781950.000000,130756945378.000000,-209043786014.000000,,,-630000000.000000,,,-6599286896.000000,55000000000.000000,,-256814499118.000000,-209043786014.000000,141946675168.000000,,,,179000000000.000000,-3095705676.000000,-33957619156.000000,,141946675168.000000,63659834532.000000,41481112555.000000,105140947087.000000
12M 2023,176010520264.000000,505349227967.000000,,,-314741358643.000000,-314741358643.000000,2099978081.000000,,,-9789218749.000000,-6908108392.000000,-16697327141.000000,176010520264.000000,-256032695835.000000,,,-2230000000.000000,-157500000.000000,,-17433592403.000000,,,-236211603432.000000,-256032695835.000000,96510000000.000000,150000000000.000000,-25000000000.000000,,,,-28490000000.000000,,96510000000.000000,16487824429.000000,105140947087.000000,121628771516.000000
12M 2024,198575964378.000000,782209071674.000000,,,-568711334456.000000,-568711334456.000000,6666157483.000000,,,-12609546999.000000,-8978383324.000000,-21587930323.000000,198575964378.000000,-443622217079.000000,,-807950000.000000,-2469163765.000000,,,-29371346393.000000,,,-410973756921.000000,-443622217079.000000,177463761630.000000,130000000000.000000,-38666666679.000000,125750428309.000000,,,-39620000000.000000,,177463761630.000000,-67582491071.000000,121628771516.000000,54046280445.000000
