Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Bunga,Pembayaran Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham,Tambahan Modal Agio Saham,Tambahan Modal Agio Waran,Pembayaran Deviden,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Piutang Lain-Lain,Penerimaan Utang Lain-Lain,Pembayaran Piutang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kas Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2020,-2311003259.000000,16801086830.000000,-16456396649.000000,-1638525601.000000,-30341250.000000,-986826589.000000,-2311003259.000000,-657379150.000000,-38439150.000000,-618940000.000000,-657379150.000000,4029056100.000000,,,,,4050000000.000000,-20943900.000000,,,,4029056100.000000,1060673691.000000,526577267.000000,1587250958.000000
12M 2021,-5561039224.000000,31591034525.000000,-31929835438.000000,-2297388996.000000,-577740211.000000,-2347109104.000000,-5561039224.000000,-246100946.000000,-234000000.000000,-12100946.000000,-246100946.000000,5087825225.000000,,,,,11834347760.000000,-4393596651.000000,,,-2352925884.000000,5087825225.000000,-719314945.000000,1587250958.000000,867936013.000000
12M 2022,929910092.000000,51053025722.000000,-41272558652.000000,-4184184544.000000,-783915920.000000,-3882456514.000000,929910092.000000,-33399320552.000000,-26552168544.000000,-6847152008.000000,-33399320552.000000,33141144876.000000,38224083496.000000,,,-6476931488.000000,1315718365.000000,-2274651381.000000,2352925884.000000,,,33141144876.000000,671734416.000000,867936013.000000,1539670429.000000
12M 2023,-134129760664.000000,25686291870.000000,-142554567623.000000,-2706430580.000000,-1364127151.000000,-13190927180.000000,-134129760664.000000,-5662112202.000000,-5662112202.000000,,-5662112202.000000,154404459701.000000,52600000000.000000,95410700000.000000,,,39936388843.000000,-32980235976.000000,-562393166.000000,,,154404459701.000000,14612586835.000000,1539670430.000000,16152257265.000000
12M 2024,8720177009.000000,69207031995.000000,-40927505745.000000,-4256739906.000000,-1445915128.000000,-13856694207.000000,8720177009.000000,-23005308163.000000,-6819065163.000000,-16186243000.000000,-23005308163.000000,2685730570.000000,102980670.000000,,1235768040.000000,,5311598850.000000,-2150456700.000000,-1832211290.000000,18051000.000000,,2685730570.000000,-11599400584.000000,16152257265.000000,4552856681.000000
