Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Utang Bank Jangka Pendek,Utang Pajak,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,1587250958.000000,504641549.000000,,,,,4501541750.000000,2996760000.000000,9590194257.000000,,99997996.000000,14473692.000000,593150833.000000,707622521.000000,10297816778.000000,,,1572262125.000000,,1288610663.000000,,18307125.000000,,,263907937.000000,263907937.000000,1436400.000000,1572262125.000000,3819721724.000000,,,3765148163.000000,3765148163.000000,54573561.000000,3819721724.000000,5391983849.000000,,200000000.000000,4705832930.000000,,4705832930.000000,4705832930.000000,,,4905832930.000000,10297816779.000000,200.000000
12M 2021,,,867936013.000000,443959804.000000,2377375884.000000,24450000.000000,2352925884.000000,2377375884.000000,8032479528.000000,6312890058.000000,18034641287.000000,,255154708.000000,17616214.000000,448752058.000000,721522980.000000,18756164267.000000,,,5115293618.000000,,,3876347760.000000,64144243.000000,,,1173277015.000000,1173277015.000000,1524600.000000,5115293618.000000,6490959021.000000,,,6420182434.000000,6420182434.000000,70776587.000000,6490959021.000000,11606252639.000000,,200000000.000000,6947143805.000000,,6947143805.000000,6947143805.000000,,2767823.000000,7149911628.000000,18756164267.000000,200.000000
12M 2022,,,1539670430.000000,429105482.000000,29132000.000000,29132000.000000,,29132000.000000,9516877928.000000,7078184138.000000,18592969978.000000,,26556917709.000000,24009351.000000,6989244829.000000,33570171889.000000,52163141867.000000,,,44695325477.000000,,602631741.000000,4008307575.000000,505035063.000000,,,1268948741.000000,1268948741.000000,38310402357.000000,44695325477.000000,5322796287.000000,,,5233617877.000000,5233617877.000000,89178410.000000,5322796287.000000,50018121764.000000,,200000000.000000,1939853647.000000,200000000.000000,1739853647.000000,1939853647.000000,,5166456.000000,2145020103.000000,52163141867.000000,200.000000
12M 2023,,,16152257265.000000,7819094923.000000,11859934.000000,11859934.000000,,11859934.000000,15239634165.000000,97237186008.000000,136460032295.000000,,30942056334.000000,48442061.000000,5963090594.000000,36953588989.000000,173413621284.000000,,,13581801204.000000,,319540899.000000,10470860662.000000,584151762.000000,,,1627512202.000000,1627512202.000000,579735679.000000,13581801204.000000,5574275129.000000,,,5368654198.000000,5368654198.000000,205620931.000000,5574275129.000000,19156076333.000000,,52800000000.000000,6077837976.000000,200000000.000000,5877837976.000000,6077837976.000000,855822.000000,95378851153.000000,154257544951.000000,173413621284.000000,4180000000.000000
12M 2024,,,4552856681.000000,1984318779.000000,1858475792.000000,26264502.000000,1832211290.000000,1858475792.000000,28404617801.000000,84978849258.000000,121779118311.000000,,36194026025.000000,36105165.000000,21148968518.000000,57379099708.000000,179158218019.000000,,,19840032738.000000,,635889549.000000,15160795997.000000,683100773.000000,18051000.000000,,2249175717.000000,2249175717.000000,1093019702.000000,19840032738.000000,3421764887.000000,,,3218197498.000000,3218197498.000000,203567389.000000,3421764887.000000,23261797625.000000,,52902980670.000000,6403490077.000000,200000000.000000,6203490077.000000,6403490077.000000,1377251.000000,96588572396.000000,155896420394.000000,179158218019.000000,5290298067.000000
