Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Operasi,Penerimaan Dari Pendapatan Bunga,Penghasilan Bunga,Penerimaan Dari Taksiran Tagihan Pajak,Pembayaran Pajak,Pembayaran Imbalan Karyawan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pencairan (Penempatan) Aset Keuangan Tersedia Untuk Dijual,Penambahan Aset Tidak Berwujud,Penambahan Investasi Pada Surat Berharga,Pembayaran Pembelian Saham Japan Bike Auction Ltd.,Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Pencairan Pinjaman Bank,Penerimaan Kas Dari Pinjaman Pihak Berelasi,Pembayaran Kas Dari Pinjaman Pihak Berelasi,Penerimaan Kas Dari Pemegang Saham,Penerimaan Kas Dari Aktivitas Ipo,Pembayaran Biaya Emisi,Pembayaran Kepada Kepentingan Non-Pengendali,Pembayaran Beban Keuangan,Setoran Modal Saham,Pembayaran Dividen,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-2514367889.000000,47290803821.000000,-10040103498.000000,-8833234522.000000,-27440972060.000000,1823448313.000000,,,-5210048943.000000,-104261000.000000,-2514367889.000000,-7876740412.000000,-7876740412.000000,,,,,,,,-7876740412.000000,10618000000.000000,,,,,,,,,,10618000000.000000,,,10618000000.000000,226891699.000000,53199765529.000000,53426657228.000000
12M 2019,26047583008.000000,191075251020.000000,-42422686736.000000,-51650338676.000000,-66139476492.000000,7425471668.000000,,,-12082154734.000000,-158483042.000000,26047583008.000000,-30680917197.000000,-17446608556.000000,8452206763.000000,-2836031271.000000,,-267482137.000000,,,-18583001996.000000,-30680917197.000000,93526000000.000000,,,,,,,,,,93526000000.000000,,,93526000000.000000,88892665811.000000,53426657228.000000,142319323039.000000
12M 2020,121736620086.000000,237119933720.000000,-42939712421.000000,-40198676459.000000,-26233792355.000000,7208661990.000000,,,-13025329980.000000,-194464409.000000,121736620086.000000,-110323235498.000000,-10348862864.000000,53636364.000000,-98356958998.000000,,-1671050000.000000,,,,-110323235498.000000,-35618540310.000000,-10618540310.000000,,,,,,,,,,-25000000000.000000,,-35618540310.000000,-24205155722.000000,142319323039.000000,118114167317.000000
12M 2021,-1269961346.000000,142334823446.000000,-49363518569.000000,-43139794105.000000,-43682219922.000000,3430349004.000000,,1573992260.000000,-12225941424.000000,-197652036.000000,-1269961346.000000,-238366391810.000000,-24217495865.000000,100072724.000000,-148781266.000000,,-7404287403.000000,,-206695900000.000000,,-238366391810.000000,209458553573.000000,-15550786907.000000,,225000000000.000000,,9340480.000000,,,,,,,,209458553573.000000,-30177799583.000000,118114167317.000000,87936367734.000000
12M 2022,-42405475235.000000,470247096711.000000,-81388940147.000000,-390031499813.000000,-44712091255.000000,10740967885.000000,,1254383874.000000,-8133835451.000000,-381557039.000000,-42405475235.000000,-46924823543.000000,-28386496130.000000,129326577.000000,-3961431785.000000,,-14706222205.000000,,,,-46924823543.000000,397007282266.000000,-12469602203.000000,,,-228882816044.000000,,652613376000.000000,-14253675487.000000,,,,,,397007282266.000000,307676983488.000000,87936367734.000000,395613351222.000000
12M 2023,42769811954.000000,706094575230.000000,-94562317605.000000,-503861549979.000000,-74151093389.000000,16789893754.000000,,,-7211681378.000000,-328014679.000000,42769811954.000000,-155868195288.000000,-12186678324.000000,63958860.000000,-472759169.000000,,-7277588861.000000,-135995127794.000000,,,-155868195288.000000,-35710111479.000000,-15710111480.000000,,,,,,,-19999999999.000000,,,,,-35710111479.000000,-148808494813.000000,395613351222.000000,246804856409.000000
12M 2024,40239371863.000000,859979376678.000000,-115687013407.000000,-620134114590.000000,-85486135104.000000,19811511851.000000,,,-17285985553.000000,-958268012.000000,40239371863.000000,-29948871716.000000,-18936582397.000000,76591333.000000,-183866613.000000,,-5872551539.000000,-5032462500.000000,,,-29948871716.000000,-18392057517.000000,-16442057517.000000,,,,,,,,,,-1950000000.000000,,-18392057517.000000,-8101557370.000000,246804856409.000000,238703299039.000000
