Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Investasi Jangka Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Telah Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,53426657228.000000,606403641.000000,606403641.000000,606403641.000000,6850355.000000,6850355.000000,,6850355.000000,,,9284477341.000000,63324388565.000000,,188117576.000000,8862617283.000000,5849687.000000,,4666910637.000000,13723495183.000000,77047883748.000000,,,27934960801.000000,,,,737659967.000000,737659967.000000,,10734341472.000000,11775075650.000000,22509417122.000000,776629783.000000,2665343157.000000,1245910772.000000,27934960801.000000,1986851000.000000,,1986851000.000000,1986851000.000000,29921811801.000000,,15618000000.000000,,31508071947.000000,,,31508071947.000000,,,47126071947.000000,77047883748.000000,14928.000000
12M 2019,,,142319323039.000000,39048427533.000000,39048427533.000000,39048427533.000000,670200266.000000,670200266.000000,,670200266.000000,,,20518636831.000000,202556587669.000000,,2647761245.000000,26612585715.000000,44801003015.000000,32649457327.000000,20313692688.000000,127024499990.000000,329581087659.000000,,,92695700497.000000,,,,,,,80646357565.000000,3455052809.000000,84101410374.000000,1789632750.000000,6804657373.000000,,92695700497.000000,10597873822.000000,6828840.000000,10591044982.000000,10597873822.000000,103293574319.000000,,109144000000.000000,,46583319274.000000,,,46583319274.000000,70560194066.000000,,226287513340.000000,329581087659.000000,108124.000000
12M 2020,,,118114167317.000000,45009238942.000000,45009238942.000000,45009238942.000000,61384440.000000,61384440.000000,,61384440.000000,,,8302318381.000000,171487109080.000000,,2119699582.000000,30945219292.000000,41107322972.000000,32649457327.000000,134931454165.000000,241753153338.000000,413240262418.000000,,,154379542306.000000,,,,,,,126575164883.000000,6379160811.000000,132954325694.000000,6958521776.000000,4633340375.000000,9833354461.000000,154379542306.000000,16571466738.000000,,16571466738.000000,16571466738.000000,170951009044.000000,,109144000000.000000,,54572543406.000000,,,54572543406.000000,78572709968.000000,,242289253374.000000,413240262418.000000,108124.000000
12M 2021,,,87936367735.000000,22368338716.000000,22368338716.000000,22368338716.000000,107167040.000000,107167040.000000,,107167040.000000,2174377089.000000,,10992405885.000000,123578656465.000000,,1858747998.000000,147813269262.000000,42393565170.000000,32649457327.000000,40390391946.000000,265105431703.000000,388684088168.000000,,,308145042290.000000,,,,,,,57778124517.000000,227879057182.000000,285657181699.000000,7931314911.000000,2556819853.000000,11999725827.000000,308145042290.000000,18936858059.000000,,18936858059.000000,18936858059.000000,327081900349.000000,,163153340480.000000,,12556401336.000000,12056401336.000000,500000000.000000,12556401336.000000,29923219925.000000,-144030773922.000000,61602187819.000000,388684088168.000000,10197083780.000000
12M 2022,,,395613351222.000000,39055220027.000000,39055220027.000000,39055220027.000000,12773151307.000000,12773151307.000000,,12773151307.000000,37134464158.000000,,5908239847.000000,490484426561.000000,,6816683440.000000,167473373342.000000,49736192507.000000,32649457327.000000,42499246760.000000,299174953376.000000,789659379937.000000,,,70293841487.000000,,,1056414895.000000,,1056414895.000000,,53051976376.000000,64078266.000000,53116054642.000000,8064676828.000000,3193002002.000000,4863693120.000000,70293841487.000000,14227561815.000000,,14227561815.000000,14227561815.000000,84521403302.000000,,203941676480.000000,597571364513.000000,14625045422.000000,14125045422.000000,500000000.000000,14625045422.000000,33030664142.000000,-144030773922.000000,705137976635.000000,789659379937.000000,12746354780.000000
12M 2023,,,246804856409.000000,62628180415.000000,62628180415.000000,62628180415.000000,11817214888.000000,11817214888.000000,,11817214888.000000,58553942954.000000,,146639841155.000000,526444035821.000000,,14336922377.000000,170145594977.000000,48548651120.000000,32649457327.000000,54463306452.000000,320143932253.000000,846587968074.000000,,,125194106939.000000,,,393867127.000000,2984480.000000,396851607.000000,,92721005946.000000,186017307.000000,92907023253.000000,9067988868.000000,11377030385.000000,11445212826.000000,125194106939.000000,16528950957.000000,,16528950957.000000,16528950957.000000,141723057896.000000,,203941676480.000000,597571364513.000000,37398402529.000000,36898402529.000000,500000000.000000,37398402529.000000,12320967124.000000,-146367500468.000000,704864910178.000000,846587968074.000000,12746354780.000000
12M 2024,,,238703299039.000000,99165779023.000000,99165779023.000000,99165779023.000000,8096369774.000000,8096369774.000000,,8096369774.000000,66692107174.000000,,137577903241.000000,550235458251.000000,,20512031108.000000,178461398750.000000,45107574038.000000,32649457327.000000,81167596836.000000,357898058059.000000,908133516310.000000,,,138903506264.000000,5000000000.000000,,475982560.000000,,475982560.000000,,101330769126.000000,1514701.000000,101332283827.000000,15478784662.000000,13559888962.000000,3056566253.000000,138903506264.000000,19005189940.000000,,19005189940.000000,19005189940.000000,157908696204.000000,,203941676480.000000,597571364513.000000,82652988047.000000,77152988047.000000,5500000000.000000,82652988047.000000,15814152684.000000,-149755361618.000000,750224820106.000000,908133516310.000000,12746354780.000000
