Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,2399834508000.000000,-2010905948000.000000,388928560000.000000,-154946819000.000000,-81761620000.000000,-73185199000.000000,-154946819000.000000,233981741000.000000,-10907254000.000000,55853000.000000,-35665408000.000000,14484371000.000000,10217930000.000000,-10907254000.000000,223074487000.000000,-88347216000.000000,134727271000.000000,-133396714000.000000,1330557000.000000,134727271000.000000,134727271000.000000,,134727271000.000000,1330557000.000000,1330557000.000000,,1330557000.000000
12M 2017,2184623635000.000000,-1855951132000.000000,328672503000.000000,-133195420000.000000,-79909330000.000000,-53286090000.000000,-133195420000.000000,195477083000.000000,-14835513000.000000,39900000.000000,-8413486000.000000,2578395000.000000,-9040322000.000000,-14835513000.000000,180641570000.000000,-58126560000.000000,122515010000.000000,-986399000.000000,121528611000.000000,122515010000.000000,122515010000.000000,,122515010000.000000,121528611000.000000,121528611000.000000,,121528611000.000000
12M 2018,2205541657000.000000,-1788657700000.000000,416883957000.000000,-178647882000.000000,-83025942000.000000,-95621940000.000000,-178647882000.000000,238236075000.000000,-45132094000.000000,24931000.000000,-31475492000.000000,-49406243000.000000,35724710000.000000,-45132094000.000000,193103981000.000000,-66012339000.000000,127091642000.000000,8346230000.000000,135437872000.000000,127091642000.000000,127091642000.000000,,127091642000.000000,135437872000.000000,135437872000.000000,,135437872000.000000
12M 2019,1841268073000.000000,-1537016351000.000000,304251722000.000000,-165855671000.000000,-94350454000.000000,-71505217000.000000,-165855671000.000000,138396051000.000000,43591401000.000000,58174000.000000,-26578332000.000000,28045081000.000000,42066478000.000000,43591401000.000000,181987452000.000000,-69334926000.000000,112652526000.000000,1942426000.000000,114594952000.000000,112652526000.000000,112652526000.000000,,112652526000.000000,114594952000.000000,114594952000.000000,,114594952000.000000
12M 2020,2893298079000.000000,-2464083162000.000000,429214917000.000000,-155961172000.000000,-94420122000.000000,-61541050000.000000,-155961172000.000000,273253745000.000000,15431435000.000000,19041000.000000,-22398088000.000000,-3401429000.000000,41211911000.000000,15431435000.000000,288685180000.000000,-70322306000.000000,218362874000.000000,-3153997000.000000,215208877000.000000,218362874000.000000,218362874000.000000,,218362874000.000000,215208877000.000000,215208877000.000000,,215208877000.000000
12M 2021,2159191248000.000000,-1946721501000.000000,212469747000.000000,-55855142000.000000,-39786899000.000000,-16068243000.000000,-55855142000.000000,156614605000.000000,9489244000.000000,,-5105310000.000000,274271000.000000,14320283000.000000,9489244000.000000,166103849000.000000,-47412267000.000000,118691582000.000000,1685202000.000000,120376784000.000000,118691582000.000000,118691582000.000000,,118691582000.000000,120376784000.000000,120376784000.000000,,120376784000.000000
12M 2022,2339387755000.000000,-2077414708000.000000,261973047000.000000,-43669028000.000000,-34969889000.000000,-8699139000.000000,-43669028000.000000,218304019000.000000,9244555000.000000,,-1089010000.000000,2331263000.000000,8002302000.000000,9244555000.000000,227548574000.000000,-52766472000.000000,174782102000.000000,2832000.000000,174784934000.000000,174782102000.000000,174782102000.000000,,174782102000.000000,174784934000.000000,174784934000.000000,,174784934000.000000
12M 2023,2747529515000.000000,-2449763171000.000000,297766344000.000000,-58108418000.000000,-44036989000.000000,-14071429000.000000,-58108418000.000000,239657926000.000000,-262295000.000000,,-953699000.000000,-4269559000.000000,4960963000.000000,-262295000.000000,239395631000.000000,-51693827000.000000,187701804000.000000,-1391600000.000000,186310204000.000000,187701804000.000000,187701804000.000000,,187701804000.000000,186310204000.000000,186310204000.000000,,186310204000.000000
12M 2024,2895902369000.000000,-2595139547000.000000,300762822000.000000,-66190324000.000000,-45610847000.000000,-20579477000.000000,-66190324000.000000,234572498000.000000,7098203000.000000,,-599546000.000000,-2991449000.000000,10689198000.000000,7098203000.000000,241670701000.000000,-55055073000.000000,186615628000.000000,5940994000.000000,192556622000.000000,186615628000.000000,186615628000.000000,,186615628000.000000,192556622000.000000,192556622000.000000,,192556622000.000000
