Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Direksi Dan Karyawan,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Penerimaan Dari Pengembalian Pajak Pertambahan Nilai,Penerimaan Dari Pengembalian Pajak Penghasilan Badan,Penerimaan Dari Pengembalian Pajak Lain-Lain,Penyelesaian Kurang Bayar Pajak Pertambahan Nilai,Pembayaran Biaya Keuangan,Penerimaan Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Atas Transfer Bisnis,Uang Muka Untuk Perolehan Aset Tetap,Hasil Dari Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman,Pembayaran Dividen,Pembayaran Pokok Liabilitas Sewa,Pembayaran Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,194570946000.000000,2730127438000.000000,-2350438912000.000000,-135162860000.000000,55853000.000000,-78811872000.000000,50744330000.000000,,,,-21943031000.000000,,194570946000.000000,-11307529000.000000,-11481479000.000000,,,173950000.000000,-11307529000.000000,-105528625000.000000,,,,-105528625000.000000,-105528625000.000000,77734792000.000000,-9660762000.000000,155444000.000000,68229474000.000000
12M 2017,227833077000.000000,2162617289000.000000,-1895210241000.000000,-115747398000.000000,39900000.000000,-70503742000.000000,167437431000.000000,,,-12386676000.000000,-8413486000.000000,,227833077000.000000,-26000304000.000000,-26106305000.000000,,,106001000.000000,-26000304000.000000,-247964600000.000000,,,,-247964600000.000000,-247964600000.000000,-46131827000.000000,68229474000.000000,-183000.000000,22097464000.000000
12M 2018,-162466358000.000000,2274742123000.000000,-2205733043000.000000,-163112473000.000000,24931000.000000,-57207858000.000000,,,,,-11180038000.000000,,-162466358000.000000,-58138901000.000000,-58152537000.000000,,,13636000.000000,-58138901000.000000,221704000000.000000,,,,221704000000.000000,221704000000.000000,1098741000.000000,22097464000.000000,,23196205000.000000
12M 2019,394388493000.000000,1960074627000.000000,-1625188785000.000000,-158224988000.000000,58174000.000000,-80799245000.000000,317318307000.000000,,,,-18849597000.000000,,394388493000.000000,-28322330000.000000,-28322330000.000000,,,,-28322330000.000000,-361425500000.000000,,,,-361425500000.000000,-361425500000.000000,4640663000.000000,23196205000.000000,,27836868000.000000
12M 2020,278374154000.000000,2730621433000.000000,-2245420280000.000000,-145483194000.000000,19041000.000000,-45417067000.000000,3407939000.000000,,,,-19353718000.000000,,278374154000.000000,-38719485000.000000,-38719485000.000000,,,,-38719485000.000000,-223000000000.000000,122000000000.000000,,,-345000000000.000000,-223000000000.000000,16654669000.000000,27836868000.000000,,44491537000.000000
12M 2021,461426081000.000000,2406428883000.000000,-2078039540000.000000,-82012349000.000000,,-49546131000.000000,269700528000.000000,,,,-5105310000.000000,,461426081000.000000,-1364769000.000000,-21693316000.000000,20328547000.000000,,,-1364769000.000000,-353487738000.000000,304947000000.000000,,-1540738000.000000,-656894000000.000000,-353487738000.000000,106573574000.000000,44491537000.000000,,151065111000.000000
12M 2022,188341075000.000000,2421425872000.000000,-2289728001000.000000,-76366339000.000000,,-55557692000.000000,188657152000.000000,,,,-89917000.000000,,188341075000.000000,-12227491000.000000,-12227491000.000000,,,,-12227491000.000000,-163097207000.000000,,-160272000000.000000,-2825207000.000000,,-163097207000.000000,13016377000.000000,151065111000.000000,,164081488000.000000
12M 2023,313682152000.000000,2439299462000.000000,-2347544475000.000000,-82678909000.000000,,-81563171000.000000,387122944000.000000,,,,-953699000.000000,,313682152000.000000,-24661124000.000000,-12606893000.000000,,-13304231000.000000,1250000000.000000,-24661124000.000000,-329951873000.000000,,-327870310000.000000,-2081563000.000000,,-329951873000.000000,-40930845000.000000,164081488000.000000,,123150643000.000000
12M 2024,49835382000.000000,3108333612000.000000,-3019617816000.000000,-83421703000.000000,,-87508724000.000000,116029310000.000000,15702613000.000000,917636000.000000,,-599546000.000000,,49835382000.000000,-54566004000.000000,-54566004000.000000,,,,-54566004000.000000,-2579484000.000000,,-42550000.000000,-2536934000.000000,,-2579484000.000000,-7310106000.000000,123150643000.000000,-1653300000.000000,114187237000.000000
