Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.57,597.75,1.57,597.75,"2,683 B",17 B,"2,700 B","1,169 B","(1,958 B)"
12M 2009,7.80,724.54,7.80,724.54,461 B,"1,949 B","2,410 B","1,510 B",(373 B)
12M 2010,20.41,881.82,20.41,881.82,892 B,"2,066 B","2,958 B","1,513 B",(34 B)
12M 2011,12.70,1417.79,12.70,1417.79,"2,924 B",732 B,"3,656 B","2,219 B","(1,939 B)"
12M 2012,5.57,1517.98,5.57,1517.98,244 B,"5,964 B","6,208 B","4,731 B",604 B
12M 2013,8.12,1046.50,8.12,1046.50,"1,661 B","6,787 B","8,449 B","6,236 B",521 B
12M 2014,12.12,548.64,12.12,548.64,"3,600 B","3,672 B","7,272 B","6,276 B","(2,433 B)"
12M 2015,23.13,340.51,23.13,340.51,42 B,"7,432 B","7,474 B","6,228 B","1,824 B"
12M 2016,13.28,451.86,13.28,451.86,,"6,469 B","6,469 B","5,665 B","1,828 B"
12M 2017,6.02,1761.83,6.02,1761.83,"1,344 B",,"1,344 B",550 B,99 B
12M 2018,7.05,2820.22,7.05,2820.22,"2,300 B",72 B,"2,372 B",(947 B),"1,365 B"
12M 2019,6.40,2483.87,6.40,2483.87,"5,122 B",,"5,122 B","2,696 B",(853 B)
12M 2020,4.40,3518.25,4.40,3518.25,395 B,"5,841 B","6,236 B",822 B,"7,512 B"
12M 2021,3.44,7710.89,3.44,7710.89,,,,"(14,000 B)","13,785 B"
12M 2022,23.70,886.19,23.70,886.19,"1,208 B",,"1,208 B","(27,276 B)","8,870 B"
12M 2023,22.84,871.38,22.84,871.38,"6,137 B",,"6,137 B","(5,209 B)","8,686 B"
12M 2024,18.95,1068.36,18.95,1068.36,"5,454 B",,"5,454 B","(9,284 B)","11,136 B"
