Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Eksplorasi Dan Evaluasi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Pajak Tangguhan,Biaya Pengupasan Tanah Yang Ditangguhkan,Properti Pertambangan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Pinjaman Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Jangka Panjang,Pinjaman Jangka Pendek,Pihak Ketiga,Total Pinjaman Jangka Pendek,Utang Sewa Pembiayaan,Liabilitas Derivatif,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Jangka Panjang,Investasi Pada Entitas Asosiasi,Utang Obligasi,Utang Sewa Pembiayaan,Senior Notes,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Telah Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1531696000000.000000,275117000000.000000,194498000000.000000,80619000000.000000,275117000000.000000,186684000000.000000,186684000000.000000,186684000000.000000,596605000000.000000,148866000000.000000,2738968000000.000000,,21861000000.000000,12000000.000000,21849000000.000000,21861000000.000000,4476000000.000000,1923058000000.000000,,276100000000.000000,189669000000.000000,569957000000.000000,,1023106000000.000000,4008227000000.000000,6747195000000.000000,,,4697351000000.000000,,1061322000000.000000,42545000000.000000,1103867000000.000000,360018000000.000000,,360018000000.000000,530329000000.000000,,,2576757000000.000000,,2576757000000.000000,,,,15143000000.000000,91588000000.000000,,19480000000.000000,169000000.000000,19649000000.000000,,4697351000000.000000,36996000000.000000,,1378000000.000000,,1378000000.000000,,,4250000000.000000,,11316000000.000000,6201000000.000000,13851000000.000000,36996000000.000000,4734347000000.000000,,333333000000.000000,1763137000000.000000,141262000000.000000,60000000000.000000,81262000000.000000,141262000000.000000,20358000000.000000,-245242000000.000000,2012848000000.000000,6747195000000.000000,3333333500.000000
12M 2009,,,900013000000.000000,561184000000.000000,489627000000.000000,71557000000.000000,561184000000.000000,13014000000.000000,13014000000.000000,13014000000.000000,724126000000.000000,116932000000.000000,2315269000000.000000,,60327000000.000000,6096000000.000000,54231000000.000000,60327000000.000000,,1962032000000.000000,,263961000000.000000,336078000000.000000,521007000000.000000,,1722049000000.000000,4865454000000.000000,7180723000000.000000,,,2687919000000.000000,,1233477000000.000000,122992000000.000000,1356469000000.000000,192362000000.000000,,192362000000.000000,633082000000.000000,,,397250000000.000000,,397250000000.000000,,,,5194000000.000000,58285000000.000000,,45108000000.000000,169000000.000000,45277000000.000000,,2687919000000.000000,2018780000000.000000,,1942093000000.000000,,1942093000000.000000,1480000000.000000,,543000000.000000,,6261000000.000000,23027000000.000000,45376000000.000000,2018780000000.000000,4706699000000.000000,,333333000000.000000,1763137000000.000000,277549000000.000000,60000000000.000000,217549000000.000000,277549000000.000000,58892000000.000000,41113000000.000000,2474024000000.000000,7180723000000.000000,3333333500.000000
12M 2010,,,1444684000000.000000,648144000000.000000,520544000000.000000,127600000000.000000,648144000000.000000,38871000000.000000,38871000000.000000,38871000000.000000,621547000000.000000,157875000000.000000,2911121000000.000000,,76255000000.000000,,76255000000.000000,76255000000.000000,,1852993000000.000000,,229048000000.000000,408187000000.000000,1040040000000.000000,,1854435000000.000000,5460958000000.000000,8372079000000.000000,,,2945288000000.000000,,1090021000000.000000,97339000000.000000,1187360000000.000000,228557000000.000000,,228557000000.000000,625725000000.000000,,,520583000000.000000,,520583000000.000000,,,,402000000.000000,370655000000.000000,,12006000000.000000,,12006000000.000000,,2945288000000.000000,2388568000000.000000,,1911734000000.000000,,1911734000000.000000,118726000000.000000,,,,154593000000.000000,152008000000.000000,51507000000.000000,2388568000000.000000,5333856000000.000000,,333333000000.000000,1763137000000.000000,1018343000000.000000,60000000000.000000,958343000000.000000,1018343000000.000000,98817000000.000000,-175407000000.000000,3038223000000.000000,8372079000000.000000,3333333500.000000
12M 2011,,,1437163000000.000000,678783000000.000000,671715000000.000000,7068000000.000000,678783000000.000000,22522000000.000000,22522000000.000000,22522000000.000000,1299844000000.000000,229119000000.000000,3667431000000.000000,,10807000000.000000,120000000.000000,10687000000.000000,10807000000.000000,,1949647000000.000000,,209563000000.000000,353666000000.000000,1555926000000.000000,4250731000000.000000,2388470000000.000000,10718810000000.000000,14386241000000.000000,,,5606892000000.000000,,1271166000000.000000,69746000000.000000,1340912000000.000000,331850000000.000000,,331850000000.000000,963568000000.000000,,,1194827000000.000000,,1194827000000.000000,,1664344000000.000000,1664344000000.000000,60000000.000000,65081000000.000000,,46250000000.000000,,46250000000.000000,,5606892000000.000000,2347829000000.000000,,731893000000.000000,,731893000000.000000,,,,,,1535489000000.000000,80447000000.000000,2347829000000.000000,7954721000000.000000,,333333000000.000000,1763137000000.000000,2583402000000.000000,66700000000.000000,2516702000000.000000,2583402000000.000000,1705561000000.000000,46087000000.000000,6431520000000.000000,14386241000000.000000,3333333500.000000
12M 2012,,,152769325.000000,88311338.000000,79629117.000000,8682221.000000,88311338.000000,1602495.000000,1602495.000000,1602495.000000,188130061.000000,29106305.000000,459919524.000000,,623048.000000,,623048.000000,623048.000000,,327339668.000000,,24808149.000000,31251109.000000,268926703.000000,486617213.000000,309619574.000000,1449185464.000000,1909104988.000000,,,397472851.000000,,196828892.000000,31390665.000000,228219557.000000,30608181.000000,,30608181.000000,91863215.000000,,,25194768.000000,,25194768.000000,,,,,,,14031942.000000,,14031942.000000,7555188.000000,397472851.000000,803941027.000000,,616777571.000000,,616777571.000000,,,,,,173708671.000000,13454785.000000,803941027.000000,1201413878.000000,,35685809.000000,195880073.000000,280055336.000000,8176536.000000,271878800.000000,280055336.000000,184431748.000000,11638144.000000,707691110.000000,1909104988.000000,3333333500.000000
12M 2013,,,181380887.000000,63195218.000000,57793175.000000,5402043.000000,63195218.000000,5102704.000000,5102704.000000,5102704.000000,149837224.000000,74631498.000000,474147531.000000,,3894734.000000,3440000.000000,454734.000000,3894734.000000,,282905550.000000,,24132039.000000,66645259.000000,,445760687.000000,269303053.000000,1092641322.000000,1566788853.000000,,,431456547.000000,,172179722.000000,21844750.000000,194024472.000000,20783870.000000,,20783870.000000,68664455.000000,,,130155211.000000,,130155211.000000,,,,102729.000000,5949941.000000,,4977997.000000,,4977997.000000,6797872.000000,431456547.000000,685491088.000000,,547150731.000000,,547150731.000000,,,251116.000000,,9016757.000000,115270674.000000,13801810.000000,685491088.000000,1116947635.000000,,35685809.000000,200202189.000000,47550726.000000,8176536.000000,39374190.000000,47550726.000000,163866005.000000,2536489.000000,449841218.000000,1566788853.000000,3333333500.000000
12M 2014,,,80078359.000000,52365267.000000,43821918.000000,8543349.000000,52365267.000000,5044471.000000,5044471.000000,5044471.000000,84960338.000000,100791568.000000,323240003.000000,,3919034.000000,3800880.000000,118154.000000,3919034.000000,,257925669.000000,,,62548361.000000,,325891489.000000,188131758.000000,838416311.000000,1161656314.000000,,,518794409.000000,,152868208.000000,15083791.000000,167951999.000000,,16112710.000000,16112710.000000,39849042.000000,,,281606474.000000,,281606474.000000,,,,134209.000000,7641440.000000,,4995165.000000,,4995165.000000,503370.000000,518794409.000000,387329860.000000,,292076380.000000,,292076380.000000,,,78288.000000,,2983484.000000,78055479.000000,14136229.000000,387329860.000000,906124269.000000,,35685809.000000,200202189.000000,-90825830.000000,8176536.000000,-99002366.000000,-90825830.000000,108535263.000000,1934614.000000,255532045.000000,1161656314.000000,3333333500.000000
12M 2015,,,90289274.000000,56334177.000000,53901199.000000,2432978.000000,56334177.000000,10267795.000000,10267795.000000,10267795.000000,90150644.000000,34516916.000000,281558806.000000,,5833644.000000,5742714.000000,90930.000000,5833644.000000,,259990067.000000,,,40429922.000000,,263654691.000000,86384598.000000,656292922.000000,937851728.000000,,,149337031.000000,,64002185.000000,3905701.000000,67907886.000000,,9859991.000000,9859991.000000,61010589.000000,,,,,,,,,70750.000000,2950151.000000,,5973752.000000,,5973752.000000,1563912.000000,149337031.000000,616354682.000000,,538769742.000000,,538769742.000000,,,,,,63433149.000000,14151791.000000,616354682.000000,765691713.000000,,35685809.000000,200202189.000000,-155543494.000000,8176536.000000,-163720030.000000,-155543494.000000,89880897.000000,1934614.000000,172160015.000000,937851728.000000,3333333500.000000
12M 2016,,,59767412.000000,61192052.000000,58602341.000000,2589711.000000,61192052.000000,7083552.000000,7083552.000000,7083552.000000,44890607.000000,51076300.000000,224009923.000000,,225054.000000,,225054.000000,225054.000000,,247142103.000000,,,39422650.000000,,213238784.000000,100648147.000000,600676738.000000,824686661.000000,,,87981651.000000,,25543709.000000,1005355.000000,26549064.000000,,20809078.000000,20809078.000000,34315969.000000,,,,,,,,,,,,5251328.000000,,5251328.000000,1056212.000000,87981651.000000,548554036.000000,,481432815.000000,,481432815.000000,,,,,,51242179.000000,15879042.000000,548554036.000000,636535687.000000,,35685809.000000,200202189.000000,-126865751.000000,8176536.000000,-135042287.000000,-126865751.000000,76049493.000000,3079234.000000,188150974.000000,824686661.000000,3333333500.000000
12M 2017,,,58668007.000000,89094171.000000,86015924.000000,3078247.000000,89094171.000000,8635383.000000,8635383.000000,8635383.000000,84388623.000000,69161110.000000,309947294.000000,,97473.000000,,97473.000000,97473.000000,,259468439.000000,,,37630902.000000,,212961427.000000,68707605.000000,578865846.000000,888813140.000000,,,302639425.000000,,56766489.000000,6036299.000000,62802788.000000,,69781712.000000,69781712.000000,56337388.000000,,,,,,99227979.000000,,99227979.000000,,,,4512814.000000,,4512814.000000,9976744.000000,302639425.000000,70569896.000000,,,,,,,,,,51895955.000000,18673941.000000,70569896.000000,373209321.000000,,35685809.000000,200202189.000000,186059018.000000,1886148.000000,184172870.000000,186059018.000000,82125201.000000,11531602.000000,515603819.000000,888813140.000000,3333333500.000000
