Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Pendapatan Keuangan,Others,Total Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan (Rugi) Atas Transaksi Derivatif,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,4876938000000.000000,-3937482000000.000000,939456000000.000000,-738303000000.000000,-522685000000.000000,-215618000000.000000,-738303000000.000000,201153000000.000000,-102350000000.000000,,28214000000.000000,5700000000.000000,33914000000.000000,-141699000000.000000,-79389000000.000000,,108588000000.000000,-1267000000.000000,-22497000000.000000,-102350000000.000000,98803000000.000000,-60306000000.000000,38497000000.000000,-17787000000.000000,20710000000.000000,,,,,20710000000.000000,38497000000.000000,-17787000000.000000,20710000000.000000,,,,
12M 2009,7752866000000.000000,-6613911000000.000000,1138955000000.000000,-773933000000.000000,-556596000000.000000,-217337000000.000000,-773933000000.000000,365022000000.000000,-173676000000.000000,,25394000000.000000,31424000000.000000,56818000000.000000,-118788000000.000000,-77392000000.000000,,323000000.000000,-5956000000.000000,-28681000000.000000,-173676000000.000000,191346000000.000000,-35146000000.000000,156200000000.000000,-19913000000.000000,136287000000.000000,,,,,136287000000.000000,156200000000.000000,-19913000000.000000,136287000000.000000,,,,
12M 2010,8745624000000.000000,-6702532000000.000000,2043092000000.000000,-735260000000.000000,-543263000000.000000,-191997000000.000000,-735260000000.000000,1307832000000.000000,-228051000000.000000,,31700000000.000000,,31700000000.000000,-130427000000.000000,55173000000.000000,,38000000.000000,-117246000000.000000,-67289000000.000000,-228051000000.000000,1079781000000.000000,-299062000000.000000,780719000000.000000,-39925000000.000000,740794000000.000000,,,,,740794000000.000000,780719000000.000000,-39925000000.000000,740794000000.000000,,,,
12M 2011,13235877000000.000000,-9386628000000.000000,3849249000000.000000,-1518278000000.000000,-774386000000.000000,-743892000000.000000,-1518278000000.000000,2330971000000.000000,224936000000.000000,,43352000000.000000,,43352000000.000000,-120809000000.000000,-103907000000.000000,,,118726000000.000000,287574000000.000000,224936000000.000000,2555907000000.000000,-682697000000.000000,1873210000000.000000,,1873210000000.000000,214760000000.000000,214760000000.000000,214760000000.000000,2087970000000.000000,1873210000000.000000,1831725000000.000000,41485000000.000000,1873210000000.000000,2087970000000.000000,2053219000000.000000,34751000000.000000,2087970000000.000000
12M 2012,1422880281.000000,-1164147320.000000,258732961.000000,-138895692.000000,-104545736.000000,-34349956.000000,-138895692.000000,119837269.000000,-41288271.000000,,1291557.000000,,1291557.000000,-32156513.000000,,,,,-10423315.000000,-41288271.000000,78548998.000000,-23602081.000000,54946917.000000,,54946917.000000,7502170.000000,7502170.000000,7502170.000000,62449087.000000,54946917.000000,56605734.000000,-1658817.000000,54946917.000000,62449087.000000,63778564.000000,-1329477.000000,62449087.000000
12M 2013,1147467928.000000,-984048198.000000,163419730.000000,-113378999.000000,-84653958.000000,-28725041.000000,-113378999.000000,50040731.000000,-117691762.000000,,2667304.000000,,2667304.000000,-37461201.000000,,,1567071.000000,,-84464936.000000,-117691762.000000,-67651031.000000,12435003.000000,-55216028.000000,,-55216028.000000,-4779539.000000,-4779539.000000,-4779539.000000,-59995567.000000,-55216028.000000,-36309968.000000,-18906060.000000,-55216028.000000,-59995567.000000,-41089507.000000,-18906060.000000,-59995567.000000
12M 2014,828259942.000000,-731234835.000000,97025107.000000,-105700651.000000,-76349619.000000,-29351032.000000,-105700651.000000,-8675544.000000,-191677793.000000,,2237111.000000,,2237111.000000,-38779131.000000,,,,,-155135773.000000,-191677793.000000,-200353337.000000,11336139.000000,-189017198.000000,,-189017198.000000,-601875.000000,-601875.000000,-601875.000000,-189619073.000000,-189017198.000000,-138376556.000000,-50640642.000000,-189017198.000000,-189619073.000000,-138978431.000000,-50640642.000000,-189619073.000000
12M 2015,465007423.000000,-342234106.000000,122773317.000000,-95981917.000000,-65630265.000000,-30351652.000000,-95981917.000000,26791400.000000,-94973704.000000,,2793933.000000,,2793933.000000,-32394565.000000,,,,,-65373072.000000,-94973704.000000,-68182304.000000,-13615750.000000,-81798054.000000,,-81798054.000000,-315182.000000,-315182.000000,-315182.000000,-82113236.000000,-81798054.000000,-64402482.000000,-17395572.000000,-81798054.000000,-82113236.000000,-64717664.000000,-17395572.000000,-82113236.000000
12M 2016,555483921.000000,-345075437.000000,210408484.000000,-91159042.000000,-65175121.000000,-25983921.000000,-91159042.000000,119249442.000000,-89746733.000000,,762112.000000,,762112.000000,-45826631.000000,,,,,-44682214.000000,-89746733.000000,29502709.000000,-11487276.000000,18015433.000000,,18015433.000000,1067151.000000,1067151.000000,1067151.000000,19082584.000000,18015433.000000,28755212.000000,-10739779.000000,18015433.000000,19082584.000000,29822363.000000,-10739779.000000,19082584.000000
12M 2017,1067376037.000000,-513796076.000000,553579961.000000,-106091092.000000,-80686487.000000,-25404605.000000,-106091092.000000,447488869.000000,-27406096.000000,,1143630.000000,,1143630.000000,-28949717.000000,,,,,399991.000000,-27406096.000000,420082773.000000,-82065574.000000,338017199.000000,,338017199.000000,1565346.000000,1565346.000000,1565346.000000,339582545.000000,338017199.000000,319811791.000000,18205408.000000,338017199.000000,339582545.000000,321377137.000000,18205408.000000,339582545.000000
12M 2018,1676717292.000000,-829789958.000000,846927334.000000,-152108634.000000,-125992720.000000,-26115914.000000,-152108634.000000,694818700.000000,1913572.000000,,3318660.000000,,3318660.000000,-4293880.000000,,,,,2888792.000000,1913572.000000,696732272.000000,-172422999.000000,524309273.000000,,524309273.000000,-28462886.000000,-28462886.000000,-28462886.000000,495846387.000000,524309273.000000,500436553.000000,23872720.000000,524309273.000000,495846387.000000,471973667.000000,23872720.000000,495846387.000000
12M 2019,1391589834.000000,-902228295.000000,489361539.000000,-172819598.000000,-146327516.000000,-26492082.000000,-172819598.000000,316541941.000000,-4916571.000000,,4978885.000000,,4978885.000000,-9554528.000000,,,,,-340928.000000,-4916571.000000,311625370.000000,-77414093.000000,234211277.000000,,234211277.000000,23036993.000000,23036993.000000,23036993.000000,257248270.000000,234211277.000000,223394384.000000,10816893.000000,234211277.000000,257248270.000000,246431377.000000,10816893.000000,257248270.000000
12M 2020,1395113268.000000,-932247494.000000,462865774.000000,-177791867.000000,-146718408.000000,-31073459.000000,-177791867.000000,285073907.000000,141561740.000000,,4960646.000000,,4960646.000000,-35954679.000000,,,,,172555773.000000,141561740.000000,426635647.000000,-82175777.000000,344459870.000000,,344459870.000000,-26239188.000000,-26239188.000000,-26239188.000000,318220682.000000,344459870.000000,328738867.000000,15721003.000000,344459870.000000,318220682.000000,302499679.000000,15721003.000000,318220682.000000
12M 2021,2852219928.000000,-1105766702.000000,1746453226.000000,-68177376.000000,-30000319.000000,-38177057.000000,-68177376.000000,1678275850.000000,-50702109.000000,,4110636.000000,,4110636.000000,-50549536.000000,,,,,-4263209.000000,-50702109.000000,1627573741.000000,-361616399.000000,1265957342.000000,,1265957342.000000,55973456.000000,55973456.000000,55973456.000000,1321930798.000000,1265957342.000000,1212763808.000000,53193534.000000,1265957342.000000,1321930798.000000,1268737264.000000,53193534.000000,1321930798.000000
12M 2022,4703622038.000000,-1543553155.000000,3160068883.000000,-217912697.000000,-140417246.000000,-77495451.000000,-217912697.000000,2942156186.000000,3153875.000000,,14791554.000000,,14791554.000000,-2673938.000000,,,,,-8963741.000000,3153875.000000,2945310061.000000,-643704514.000000,2301605547.000000,,2301605547.000000,-84106500.000000,-84106500.000000,-84106500.000000,2217499047.000000,2301605547.000000,2178474621.000000,123130926.000000,2301605547.000000,2217499047.000000,2094368121.000000,123130926.000000,2217499047.000000
12M 2023,3581375403.000000,-1917152140.000000,1664223263.000000,-57049163.000000,28442512.000000,-85491675.000000,-57049163.000000,1607174100.000000,25794396.000000,,25388234.000000,,25388234.000000,-6630453.000000,,,,,7036615.000000,25794396.000000,1632968496.000000,-353387654.000000,1279580842.000000,,1279580842.000000,56726008.000000,56726008.000000,56726008.000000,1336306850.000000,1279580842.000000,1238583086.000000,40997756.000000,1279580842.000000,1336306850.000000,1295309094.000000,40997756.000000,1336306850.000000
12M 2024,3446214954.000000,-2113429456.000000,1332785498.000000,-120052540.000000,-38792502.000000,-81260038.000000,-120052540.000000,1212732958.000000,-7210429.000000,,27805486.000000,,27805486.000000,-17838242.000000,,,,,-17177673.000000,-7210429.000000,1205522529.000000,-262147463.000000,943375066.000000,,943375066.000000,193984.000000,193984.000000,193984.000000,943569050.000000,943375066.000000,922642869.000000,20732197.000000,943375066.000000,943569050.000000,922836853.000000,20732197.000000,943569050.000000
