Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Non-Keuangan,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,215732214472.000000,202041077223.000000,13691137249.000000,215732214472.000000,-78630611488.000000,-78630611488.000000,,-78630611488.000000,137101602984.000000,-90965245112.000000,4527194537.000000,,-12449746491.000000,,-41440856666.000000,-41601836492.000000,,,-95492439649.000000,-90965245112.000000,,46136357872.000000,-450558199.000000,,45685799673.000000,-14082083115.000000,-14254544300.000000,172461185.000000,-14082083115.000000,31603716558.000000,,,,,31603716558.000000,31603716558.000000,,31603716558.000000,,,,
12M 2008,302924908891.000000,288105361868.000000,14819547023.000000,302924908891.000000,-128120347830.000000,-128120347830.000000,,-128120347830.000000,174804561061.000000,-120148138921.000000,8033606065.000000,,-12977617434.000000,,-49657858123.000000,-65546269429.000000,,,-128181744986.000000,-120148138921.000000,,54656422140.000000,643596337.000000,,55300018477.000000,-17642449313.000000,-18113933300.000000,471483987.000000,-17642449313.000000,37657569164.000000,,,,,37657569164.000000,37657569164.000000,,37657569164.000000,,,,
12M 2009,343023808950.000000,326463258731.000000,16560550219.000000,343023808950.000000,-166218970880.000000,-166218970880.000000,,-166218970880.000000,176804838070.000000,-124648492203.000000,13007446829.000000,,-6395860899.000000,,-53330163882.000000,-77929914251.000000,,,-137655939032.000000,-124648492203.000000,,52156345867.000000,-1041043329.000000,,51115302538.000000,-15470253555.000000,-15423392722.000000,-46860833.000000,-15470253555.000000,35645048983.000000,,,,,35645048983.000000,35645048983.000000,,35645048983.000000,,,,
12M 2010,452514133525.000000,440988768280.000000,11525365245.000000,452514133525.000000,-181216605600.000000,-181216605600.000000,,-181216605600.000000,271297527925.000000,-187388455664.000000,12858499698.000000,,-22619517916.000000,,-72011244303.000000,-105616193143.000000,,,-200246955362.000000,-187388455664.000000,,83909072261.000000,-2304949568.000000,,81604122693.000000,-21663274644.000000,-23545362780.000000,1882088136.000000,-21663274644.000000,59940848049.000000,,,,,59940848049.000000,59940848049.000000,,59940848049.000000,,,,
12M 2011,585141000000.000000,585141000000.000000,,585141000000.000000,-264902000000.000000,-264902000000.000000,,-264902000000.000000,320239000000.000000,-196902000000.000000,32228000000.000000,,5000000000.000000,-368000000.000000,-94318000000.000000,-139444000000.000000,,,-229130000000.000000,-196902000000.000000,,123337000000.000000,-1530000000.000000,,121807000000.000000,-31764000000.000000,-24256000000.000000,-7508000000.000000,-31764000000.000000,90043000000.000000,9381000000.000000,9381000000.000000,9381000000.000000,99424000000.000000,90043000000.000000,90043000000.000000,,90043000000.000000,99424000000.000000,99424000000.000000,,99424000000.000000
12M 2012,801920000000.000000,801920000000.000000,,801920000000.000000,-369500000000.000000,-369500000000.000000,,-369500000000.000000,432420000000.000000,-274583000000.000000,50803000000.000000,,-39873000000.000000,-396000000.000000,-130690000000.000000,-154427000000.000000,,,-325386000000.000000,-274583000000.000000,,157837000000.000000,2530000000.000000,,160367000000.000000,-41524000000.000000,-38006000000.000000,-3518000000.000000,-41524000000.000000,118843000000.000000,-27607000000.000000,-27607000000.000000,-27607000000.000000,91236000000.000000,118843000000.000000,118843000000.000000,,118843000000.000000,91236000000.000000,91236000000.000000,,91236000000.000000
12M 2013,1023761000000.000000,1023761000000.000000,,1023761000000.000000,-517931000000.000000,-517931000000.000000,,-517931000000.000000,505830000000.000000,-346040000000.000000,48478000000.000000,,-42714000000.000000,,-164510000000.000000,-187294000000.000000,,,-394518000000.000000,-346040000000.000000,,159790000000.000000,8305000000.000000,,168095000000.000000,-44430000000.000000,-39132000000.000000,-5298000000.000000,-44430000000.000000,123665000000.000000,-38519000000.000000,-38519000000.000000,-38519000000.000000,85146000000.000000,123665000000.000000,123665000000.000000,,123665000000.000000,85146000000.000000,85146000000.000000,,85146000000.000000
12M 2014,251564000000.000000,251564000000.000000,,251564000000.000000,-36252000000.000000,-36252000000.000000,,-36252000000.000000,215312000000.000000,-23264000000.000000,178117000000.000000,,-69309000000.000000,,-27546000000.000000,-104526000000.000000,,,-201381000000.000000,-23264000000.000000,,192048000000.000000,-3250000000.000000,,188798000000.000000,-50725000000.000000,-38050000000.000000,-12675000000.000000,-50725000000.000000,138073000000.000000,-143000000.000000,-143000000.000000,-143000000.000000,137930000000.000000,138073000000.000000,138073000000.000000,,138073000000.000000,137930000000.000000,137930000000.000000,,137930000000.000000
12M 2015,1549763000000.000000,1549763000000.000000,,1549763000000.000000,-779094000000.000000,-779094000000.000000,,-779094000000.000000,770669000000.000000,-405214000000.000000,202894000000.000000,,-23367000000.000000,,-241568000000.000000,-343173000000.000000,,,-608108000000.000000,-405214000000.000000,,365455000000.000000,-3361000000.000000,,362094000000.000000,-96864000000.000000,-86329000000.000000,-10535000000.000000,-96864000000.000000,265230000000.000000,-8204000000.000000,-8204000000.000000,-8204000000.000000,257026000000.000000,265230000000.000000,265230000000.000000,,265230000000.000000,257026000000.000000,257026000000.000000,,257026000000.000000
12M 2016,1773722000000.000000,1773722000000.000000,,1773722000000.000000,-868476000000.000000,-868476000000.000000,,-868476000000.000000,905246000000.000000,-491345000000.000000,234023000000.000000,,-50571000000.000000,,-297376000000.000000,-377421000000.000000,,,-725368000000.000000,-491345000000.000000,,413901000000.000000,5588000000.000000,,419489000000.000000,-109673000000.000000,-96111000000.000000,-13562000000.000000,-109673000000.000000,309816000000.000000,6722000000.000000,6722000000.000000,6722000000.000000,316538000000.000000,309816000000.000000,309816000000.000000,,309816000000.000000,316538000000.000000,316538000000.000000,,316538000000.000000
12M 2017,1990350000000.000000,1990350000000.000000,,1990350000000.000000,-903795000000.000000,-903795000000.000000,,-903795000000.000000,1086555000000.000000,-498377000000.000000,237560000000.000000,,-32868000000.000000,,-312690000000.000000,-390379000000.000000,,,-735937000000.000000,-498377000000.000000,,588178000000.000000,7314000000.000000,,595492000000.000000,-156767000000.000000,-157804000000.000000,1037000000.000000,-156767000000.000000,438725000000.000000,-7017000000.000000,-7017000000.000000,-7017000000.000000,431708000000.000000,438725000000.000000,438725000000.000000,,438725000000.000000,431708000000.000000,431708000000.000000,,431708000000.000000
12M 2018,2214687000000.000000,2214687000000.000000,,2214687000000.000000,-924860000000.000000,-924860000000.000000,,-924860000000.000000,1289827000000.000000,-560091000000.000000,257664000000.000000,,-113416000000.000000,,-446769000000.000000,-257570000000.000000,,,-817755000000.000000,-560091000000.000000,,729736000000.000000,4987000000.000000,,734723000000.000000,-196752000000.000000,-185437000000.000000,-11315000000.000000,-196752000000.000000,537971000000.000000,4213000000.000000,4213000000.000000,4213000000.000000,542184000000.000000,537971000000.000000,537971000000.000000,,537971000000.000000,542184000000.000000,542184000000.000000,,542184000000.000000
12M 2019,2438993000000.000000,2438993000000.000000,,2438993000000.000000,-1325908000000.000000,-1325908000000.000000,,-1325908000000.000000,1113085000000.000000,-441158000000.000000,331824000000.000000,,-80800000000.000000,,-452752000000.000000,-239430000000.000000,,,-772982000000.000000,-441158000000.000000,,671927000000.000000,939000000.000000,,672866000000.000000,-173075000000.000000,-172893000000.000000,-182000000.000000,-173075000000.000000,499791000000.000000,-15955000000.000000,-15955000000.000000,-15955000000.000000,483836000000.000000,499791000000.000000,499791000000.000000,,499791000000.000000,483836000000.000000,483836000000.000000,,483836000000.000000
12M 2020,2425276000000.000000,2425276000000.000000,,2425276000000.000000,-1178215000000.000000,-1178215000000.000000,,-1178215000000.000000,1247061000000.000000,-555659000000.000000,256382000000.000000,,-72186000000.000000,,-260648000000.000000,-479207000000.000000,,,-812041000000.000000,-555659000000.000000,,691402000000.000000,652000000.000000,,692054000000.000000,-156053000000.000000,-156053000000.000000,,-156053000000.000000,536001000000.000000,5825000000.000000,5825000000.000000,5825000000.000000,541826000000.000000,536001000000.000000,536001000000.000000,,536001000000.000000,541826000000.000000,541826000000.000000,,541826000000.000000
12M 2021,2465956000000.000000,2465956000000.000000,,2465956000000.000000,-952774000000.000000,-952774000000.000000,,-952774000000.000000,1513182000000.000000,-693476000000.000000,227773000000.000000,,-158585000000.000000,,-267326000000.000000,-495338000000.000000,,,-921249000000.000000,-693476000000.000000,,819706000000.000000,944000000.000000,,820650000000.000000,-191482000000.000000,-191482000000.000000,,-191482000000.000000,629168000000.000000,-1945000000.000000,-1945000000.000000,-1945000000.000000,627223000000.000000,629168000000.000000,629168000000.000000,,629168000000.000000,627223000000.000000,627223000000.000000,,627223000000.000000
12M 2022,2958461000000.000000,2958461000000.000000,,2958461000000.000000,-1065031000000.000000,-1065031000000.000000,,-1065031000000.000000,1893430000000.000000,-780337000000.000000,349070000000.000000,,-247885000000.000000,,-271945000000.000000,-609577000000.000000,,,-1129407000000.000000,-780337000000.000000,,1113093000000.000000,362000000.000000,,1113455000000.000000,-252884000000.000000,-252884000000.000000,,-252884000000.000000,860571000000.000000,-28497000000.000000,-28497000000.000000,-28497000000.000000,832074000000.000000,860571000000.000000,860571000000.000000,,860571000000.000000,832074000000.000000,832074000000.000000,,832074000000.000000
