Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Others,Total Pinjaman Yang Diberikan,Aset Pajak Tangguhan,Aset Tetap,Pihak Berelasi,Pihak Ketiga,Others,Total Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Pihak Ketiga,Total Liabilitas Akseptasi,Pinjaman Yang Diterima,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diterima,Efek-Efek Yang Diterbitkan,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Liabilitas Pajak Tangguhan,Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,42367185300.000000,60590556133.000000,146786068594.000000,,,146786068594.000000,,1164204352354.000000,81817028208.000000,1082387324146.000000,1164204352354.000000,-18506762593.000000,1145697589761.000000,1585291598.000000,,,,23725284273.000000,23725284273.000000,,,,,,42293776641.000000,1463045752300.000000,,,3622011438.000000,1240201308666.000000,221641751676.000000,1018559556990.000000,1240201308666.000000,22719238857.000000,,,,,,,,,,,,,,4724360672.000000,,4724360672.000000,,,11969266487.000000,1283236186120.000000,,150000000000.000000,6453099446.000000,24138066734.000000,2579998594.000000,21558068140.000000,24138066734.000000,-781600000.000000,179809566180.000000,1463045752300.000000,1500000000.000000
12M 2008,,55636019470.000000,72318748101.000000,246554516907.000000,,,246554516907.000000,,1525993987232.000000,134746243076.000000,1391247744156.000000,1525993987232.000000,-27251429156.000000,1498742558076.000000,2056775585.000000,,,,36317595222.000000,36317595222.000000,,,,,,65523948626.000000,1977150161987.000000,,,4908997924.000000,1493137599948.000000,368562494567.000000,1124575105381.000000,1493137599948.000000,257371397490.000000,,,,,,,,,,,,,,6300830304.000000,,6300830304.000000,,,14905200977.000000,1776624026643.000000,,150000000000.000000,6453099446.000000,46795635898.000000,3579998594.000000,43215637304.000000,46795635898.000000,-2722600000.000000,200526135344.000000,1977150161987.000000,1500000000.000000
12M 2009,,78013799008.000000,93460498541.000000,62458361093.000000,,,62458361093.000000,,1925244232365.000000,300654793228.000000,1624589439137.000000,1925244232365.000000,-28524627503.000000,1896719604862.000000,2009914752.000000,,,,38284605871.000000,38284605871.000000,,,,,,232748914515.000000,2403695698642.000000,,,6457400492.000000,2027791744340.000000,391005015809.000000,1636786728531.000000,2027791744340.000000,81435655543.000000,,,,,6142500000.000000,,,6142500000.000000,,,,,,8429315658.000000,,8429315658.000000,,,19814512258.000000,2150071128291.000000,,163795600000.000000,15494635470.000000,74940684881.000000,5462877052.000000,69477807829.000000,74940684881.000000,-606350000.000000,253624570351.000000,2403695698642.000000,1637956000.000000
12M 2010,,78958605535.000000,189324660984.000000,103700885733.000000,,,103700885733.000000,,2555781806319.000000,148670832971.000000,2407110973348.000000,2555781806319.000000,-48367044763.000000,2507414761556.000000,3892002887.000000,,,,60448729539.000000,60448729539.000000,,,,,,302023146666.000000,3245762792900.000000,,,8166006949.000000,2550806148653.000000,464222623749.000000,2086583524904.000000,2550806148653.000000,252880106627.000000,,,,,8776013106.000000,,8776013106.000000,8776013106.000000,,,,,,6884537609.000000,,6884537609.000000,,,24675488654.000000,2852188301598.000000,,231637300000.000000,46723353063.000000,122026051039.000000,7245129501.000000,114780921538.000000,122026051039.000000,-6812212800.000000,393574491302.000000,3245762792900.000000,2316373000.000000
12M 2011,,84810000000.000000,335969000000.000000,578855000000.000000,,,578855000000.000000,,3341776000000.000000,,,3341776000000.000000,-29855000000.000000,3311921000000.000000,,,,,87221000000.000000,87221000000.000000,,,,,,686986000000.000000,5085762000000.000000,,,1126000000.000000,4087992000000.000000,,,4087992000000.000000,206771000000.000000,,,,,3761000000.000000,,,3761000000.000000,245544000000.000000,37838000000.000000,,,37838000000.000000,10948000000.000000,10948000000.000000,10948000000.000000,4166000000.000000,,14442000000.000000,4612588000000.000000,,231637000000.000000,46724000000.000000,191221000000.000000,9027000000.000000,182194000000.000000,191221000000.000000,3592000000.000000,473174000000.000000,5085762000000.000000,2316373000.000000
12M 2012,,145266000000.000000,460141000000.000000,842639000000.000000,,,842639000000.000000,,5260844000000.000000,34447000000.000000,5226397000000.000000,5260844000000.000000,-56867000000.000000,5203977000000.000000,1517000000.000000,,,,131819000000.000000,131819000000.000000,,,,,,835950000000.000000,7621309000000.000000,,,3080000000.000000,6226709000000.000000,760814000000.000000,5465895000000.000000,6226709000000.000000,168182000000.000000,40000000.000000,19198000000.000000,,19198000000.000000,,,,,345113000000.000000,22367000000.000000,848000000.000000,21519000000.000000,22367000000.000000,19441000000.000000,19441000000.000000,19441000000.000000,,196058000000.000000,83214000000.000000,7083402000000.000000,,231637000000.000000,46724000000.000000,262322000000.000000,13529000000.000000,248793000000.000000,262322000000.000000,-2776000000.000000,537907000000.000000,7621309000000.000000,2316373000.000000
12M 2013,,115057000000.000000,595269000000.000000,293329000000.000000,,,293329000000.000000,,6199381000000.000000,33632000000.000000,6165749000000.000000,6199381000000.000000,-78493000000.000000,6120888000000.000000,9059000000.000000,,,,148977000000.000000,148977000000.000000,,,,,,948263000000.000000,8230842000000.000000,,,2064000000.000000,6802289000000.000000,811976000000.000000,5990313000000.000000,6802289000000.000000,284092000000.000000,,,,,,,,,272202000000.000000,28099000000.000000,956000000.000000,27143000000.000000,28099000000.000000,14895000000.000000,14895000000.000000,14895000000.000000,,196445000000.000000,52936000000.000000,7653022000000.000000,,231637000000.000000,46724000000.000000,355334000000.000000,19496000000.000000,335838000000.000000,355334000000.000000,-55875000000.000000,577820000000.000000,8230842000000.000000,2316373000.000000
12M 2014,,219262000000.000000,1021276000000.000000,,,453928000000.000000,453928000000.000000,,11468312000000.000000,31492000000.000000,11436820000000.000000,11468312000000.000000,-161680000000.000000,11306632000000.000000,,,,,312719000000.000000,312719000000.000000,1474492000000.000000,291270000000.000000,,,291270000000.000000,1353197000000.000000,16432776000000.000000,,,63220000000.000000,11303958000000.000000,318105000000.000000,10985853000000.000000,11303958000000.000000,136808000000.000000,,62056000000.000000,62056000000.000000,62056000000.000000,371550000000.000000,,371550000000.000000,371550000000.000000,105286000000.000000,45225000000.000000,568000000.000000,44657000000.000000,45225000000.000000,25892000000.000000,,25892000000.000000,71309000000.000000,227952000000.000000,115255000000.000000,12528511000000.000000,,521133000000.000000,1902455000000.000000,1615892000000.000000,34000000000.000000,1581892000000.000000,1615892000000.000000,-135215000000.000000,3904265000000.000000,16432776000000.000000,5211339040.000000
12M 2015,,205336000000.000000,1273386000000.000000,,,269835000000.000000,269835000000.000000,,13958921000000.000000,43276000000.000000,13915645000000.000000,13958921000000.000000,-183283000000.000000,13775638000000.000000,,,,,326607000000.000000,326607000000.000000,1474492000000.000000,,277959000000.000000,,277959000000.000000,2416270000000.000000,20019523000000.000000,,,34262000000.000000,14346247000000.000000,224524000000.000000,14121723000000.000000,14346247000000.000000,116809000000.000000,,92007000000.000000,92007000000.000000,92007000000.000000,689250000000.000000,,689250000000.000000,689250000000.000000,104033000000.000000,60558000000.000000,374000000.000000,60184000000.000000,60558000000.000000,56822000000.000000,56822000000.000000,56822000000.000000,79110000000.000000,224017000000.000000,80477000000.000000,15883592000000.000000,,521133000000.000000,1902455000000.000000,1847558000000.000000,40904000000.000000,1806654000000.000000,1847558000000.000000,-135215000000.000000,4135931000000.000000,20019523000000.000000,5211339040.000000
12M 2016,,238471000000.000000,1370368000000.000000,,,554868000000.000000,554868000000.000000,,16440835000000.000000,48283000000.000000,16392552000000.000000,16440835000000.000000,-180007000000.000000,16260828000000.000000,,,,,355551000000.000000,355551000000.000000,1474492000000.000000,,400357000000.000000,-38381000000.000000,361976000000.000000,2014080000000.000000,22630634000000.000000,,,48206000000.000000,14879609000000.000000,273612000000.000000,14605997000000.000000,14879609000000.000000,808028000000.000000,,103529000000.000000,103529000000.000000,103529000000.000000,1751425000000.000000,,1751425000000.000000,1751425000000.000000,101826000000.000000,74965000000.000000,494000000.000000,74471000000.000000,74965000000.000000,21968000000.000000,21968000000.000000,21968000000.000000,94913000000.000000,213617000000.000000,120658000000.000000,18218744000000.000000,,521133000000.000000,1902455000000.000000,2123517000000.000000,54165000000.000000,2069352000000.000000,2123517000000.000000,-135215000000.000000,4411890000000.000000,22630634000000.000000,5211339040.000000
