Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Bunga Dan Komisi,Penerimaan Dari Transaksi Operasional Lainnya,Pembayaran Bunga,Penerimaan Kembali Kredit,Pembayaran Beban Operasional,Penerimaan (Pembayaran) Dari Transaksi Non Operasional - Bersih,Pembayaran Pajak Penghasilan Badan,(Kenaikan)/Penurunan Dalam Aset Operasi :,Penempatan Pada Bank Lain Dan Bank Indonesia,Efek-Efek Dan Obligasi Pemerintah Untuk Diperdagangkan Dan Pinjaman Yang Diberikan Dan Piutang,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Surat-Surat Berharga,Pinjaman Yang Diberikan,Tagihan Akseptasi,Biaya Dibayar Dimuka,Aset Lain-Lain,Total (Kenaikan)/Penurunan Dalam Aset Operasi :,Kenaikan/(Penurunan) Dalam Liabilitas Operasi:,Liabilitas Segera,Kewajiban Kepada Bank Indonesia,Simpanan Nasabah,Giro,Tabungan,Deposito Berjangka,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Kewajiban Akseptasi,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Pinjaman Diterima,Pajak Tangguhan,Utang Pajak Kini,Kewajiban Lain-Lain,Dana Kelolaan,Biaya Yang Masih Harus Dibayar Dan Liabilitas Lain-Lain,Total Kenaikan/(Penurunan) Dalam Liabilitas Operasi:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penyertaan Saham,Perolehan Aset Tetap,Penerimaan Dividen,Hasil Penjualan Aset Tetap,Penambahan Perangkat Lunak,Efek-Efek Yang Dibeli Dengan Janji Untuk Dijual Kembali,Pembelian Efek-Efek Tersedia Untuk Dijual Dan Dimiliki Hingga Jatuh Tempo,Penjualan Efek-Efek Dan Obligasi Pemerintah Tersedia Untuk Dijual Dan Dimiliki Hingga Jatuh Tempo,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Yang Diterima,Penerimaan Atas Pinjaman Yang Diterima,Pembayaran Pinjaman Yang Diterima,Total Pinjaman Yang Diterima,Setoran Modal,Penerimaan Atas Efek-Efek Yang Diterbitkan Dan Obligasi Subordinasi,Pembayaran Atas Efek-Efek Yang Diterbitkan,Uang Muka Setoran Modal,Pembayaran Atas Biaya Emisi Efek-Efek Yang Diterbitkan,Penerimaan Atas Right Issue,Penerbitan Saham,Pencadangan Dividen,Penambahan Modal Dari Penawaran Umum Terbatas I Dengan Hak Memesan Efek Terlebih Dahulu,Pembayaran Dividen,Pembayaran Modal Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penambahan Dari Penggabungan Usaha,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2007,-4084640967.000000,211322785210.000000,4538203272.000000,-78479976330.000000,,-89183938947.000000,-18069079945.000000,,,18426678381.000000,,,-9893220880.000000,-432879457761.000000,,,378551898.000000,-423967448362.000000,,,-5800000.000000,,74497211151.000000,31189961392.000000,278558745086.000000,384245917629.000000,2031748254.000000,,,,,418518864.000000,3064429388.000000,,,389754814135.000000,,-4084640967.000000,36591846848.000000,,-9858973677.000000,,,,46450820525.000000,,,,36591846848.000000,,,,,,,,,,,,,,,,,,,32507205881.000000,,73638247564.000000,,,106145453445.000000
12M 2008,67140441059.000000,300225112185.000000,7658565065.000000,-128155400166.000000,,-107374328585.000000,-19276747834.000000,,,-101482516907.000000,,,-8259000000.000000,-361789634878.000000,,,-4562095940.000000,-476093247725.000000,,,-3465202.000000,,10216496382.000000,23608837318.000000,219280428073.000000,253105761773.000000,234472688141.000000,,,,,1703425480.000000,878077927.000000,,,490156488119.000000,,67140441059.000000,-16870382519.000000,,-16872932519.000000,,2550000.000000,,,,,,-16870382519.000000,-14970807500.000000,,,,,,,,,,,,,,-14970807500.000000,,-14970807500.000000,,35299251040.000000,,106145453445.000000,,,141444704485.000000
12M 2009,160023346642.000000,340130413114.000000,13007446829.000000,-168016220794.000000,3253299350.000000,-121858819788.000000,-1109222118.000000,-12490701420.000000,,150091638907.000000,,,,-399250245131.000000,,,-4523050655.000000,-253681656879.000000,,,-4100001.000000,,-16829569480.000000,53810570427.000000,497673143445.000000,534654144392.000000,-176184589293.000000,,,,,-804205948.000000,3127559198.000000,,,360788808348.000000,,160023346642.000000,-113755828519.000000,,-7904918004.000000,,,,,-105850910515.000000,,,-113755828519.000000,14953029024.000000,,6142500000.000000,,6142500000.000000,,-2160000000.000000,,,-843310976.000000,,13795600000.000000,,5518240000.000000,-7500000000.000000,,14953029024.000000,,61220547147.000000,,141444704485.000000,,,202665251632.000000
12M 2010,64018956299.000000,438659626899.000000,12839828341.000000,-179808431522.000000,1770784030.000000,-149281126215.000000,-36877948154.000000,-21250407000.000000,,-41541638.000000,,,,-630537573954.000000,,,-16404944181.000000,-646984059773.000000,,,-801378534.000000,,109884640479.000000,66825607726.000000,346304156100.000000,523014404305.000000,171444451083.000000,,,,,-6471305658.000000,-735384233.000000,,,686450786963.000000,-41500097270.000000,64018956299.000000,-37326376127.000000,,-26558045572.000000,,,,-3000000000.000000,-7768330555.000000,,,-37326376127.000000,90879693866.000000,,2633513106.000000,,2633513106.000000,34238591000.000000,,,,-432038008.000000,,67841700000.000000,,,-13402072232.000000,,90879693866.000000,,117572274038.000000,,416760540147.000000,,,534332814185.000000
12M 2011,695282000000.000000,574385000000.000000,31910000000.000000,-257526000000.000000,2224000000.000000,-209855000000.000000,-1530000000.000000,-22263000000.000000,,,,-108568000000.000000,,-801770000000.000000,,,-13242000000.000000,-923580000000.000000,,578000000.000000,,,48651000000.000000,90602000000.000000,1397933000000.000000,1537186000000.000000,-46109000000.000000,,,,,2071000000.000000,,,7791000000.000000,1501517000000.000000,,695282000000.000000,-257735000000.000000,,-35475000000.000000,,14000000.000000,,,-1102256000000.000000,879982000000.000000,,-257735000000.000000,219272000000.000000,,,-5015000000.000000,-5015000000.000000,,250000000000.000000,,,-4874000000.000000,,,,,-20839000000.000000,,219272000000.000000,,656819000000.000000,,534358000000.000000,,,1191177000000.000000
12M 2012,459130000000.000000,817925000000.000000,50767000000.000000,-365702000000.000000,1618000000.000000,-277935000000.000000,2570000000.000000,-33664000000.000000,,,,108568000000.000000,,-1933547000000.000000,,,-38031000000.000000,-1863010000000.000000,,1926000000.000000,,2138717000000.000000,,,,2138717000000.000000,-38589000000.000000,,,,,4151000000.000000,,,20356000000.000000,2126561000000.000000,,459130000000.000000,-52353000000.000000,,-57877000000.000000,,3867000000.000000,,,-1528886000000.000000,1530543000000.000000,,-52353000000.000000,261958000000.000000,,,-3761000000.000000,-3761000000.000000,,300000000000.000000,,,-8829000000.000000,,,,,-25452000000.000000,,261958000000.000000,,668735000000.000000,,1191177000000.000000,,,1859912000000.000000
12M 2013,-229087000000.000000,1026850000000.000000,48478000000.000000,-509912000000.000000,1173000000.000000,-349048000000.000000,-88786000000.000000,-39132000000.000000,,,,,,-960403000000.000000,19198000000.000000,,-48349000000.000000,-989554000000.000000,,-1170000000.000000,,575580000000.000000,,,,575580000000.000000,115910000000.000000,-19198000000.000000,,,,-4546000000.000000,,,4268000000.000000,670844000000.000000,,-229087000000.000000,-242796000000.000000,,-34478000000.000000,,2533000000.000000,,,-367157000000.000000,156306000000.000000,,-242796000000.000000,-116536000000.000000,,,,,,,-75000000000.000000,,,,,,,-41536000000.000000,,-116536000000.000000,,-588419000000.000000,97091000000.000000,1859912000000.000000,,,1368584000000.000000
12M 2014,-158566000000.000000,265844000000.000000,153686000000.000000,-59577000000.000000,,-149015000000.000000,,-56739000000.000000,,,,,,388755000000.000000,,,9150000000.000000,397905000000.000000,,-249774000000.000000,,-90639000000.000000,,,,-90639000000.000000,-383355000000.000000,,,,,161000000.000000,,,12937000000.000000,-710670000000.000000,,-158566000000.000000,-245978000000.000000,-138380000000.000000,-10194000000.000000,1529000000.000000,,,,-236534000000.000000,137601000000.000000,,-245978000000.000000,128150000000.000000,,371550000000.000000,-243400000000.000000,128150000000.000000,,,,,,,,,,,,128150000000.000000,,-276394000000.000000,,833438000000.000000,1385294000000.000000,,1942338000000.000000
12M 2015,802867000000.000000,1539626000000.000000,202894000000.000000,-899585000000.000000,,-465405000000.000000,,-53288000000.000000,,,,,,-2490609000000.000000,,,-5087000000.000000,-2495696000000.000000,,-58572000000.000000,,3042289000000.000000,,,,3042289000000.000000,9615000000.000000,,,,,-2111000000.000000,,,-16900000000.000000,2974321000000.000000,,802867000000.000000,-119870000000.000000,,-48134000000.000000,,,,,-1349344000000.000000,1277608000000.000000,,-119870000000.000000,292340000000.000000,,317700000000.000000,,317700000000.000000,,,,,,,,,,-25360000000.000000,,292340000000.000000,,975337000000.000000,,1942338000000.000000,,,2917675000000.000000
12M 2016,-871020000000.000000,1759760000000.000000,234023000000.000000,-868476000000.000000,,-676359000000.000000,,-132332000000.000000,,,,,,-2481914000000.000000,,,10625000000.000000,-2471289000000.000000,,13944000000.000000,,533362000000.000000,,,,533362000000.000000,691219000000.000000,,,,,1367000000.000000,,,43761000000.000000,1283653000000.000000,,-871020000000.000000,-846691000000.000000,,-93860000000.000000,,2050000000.000000,-73366000000.000000,,-3585195000000.000000,2903680000000.000000,,-846691000000.000000,1021596000000.000000,,7207788000000.000000,-6145613000000.000000,1062175000000.000000,,,,,,,,,,-40579000000.000000,,1021596000000.000000,,-696115000000.000000,,2917675000000.000000,,,2221560000000.000000
